Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
10 to 19 Unit	AL, 00100	0.0049505	0.0123762	0.0167079	0.112624	0.186881	0.110767	0.23453	0.0909653	0.230198	52	1616	1.19352e-05
2 Unit	AL, 00100	0.0497925	0.0474873	0.0650069	0.19041	0.274781	0.100507	0.0756109	0.0912863	0.105118	107	2169	1.60195e-05
20 to 49 Unit	AL, 00100	0.00702106	0	0	0.0310933	0.2668	0.269809	0.228686	0.178536	0.0180542	34	997	7.36351e-06
3 or 4 Unit	AL, 00100	0.0513986	0.0468531	0.101748	0.0706294	0.208741	0.236713	0.0629371	0.125175	0.0958042	127	2860	2.1123e-05
5 to 9 Unit	AL, 00100	0.0116067	0	0.032772	0.0441511	0.168411	0.213701	0.121302	0.17137	0.236686	139	4394	3.24526e-05
50 or more Unit	AL, 00100	0.036156	0.0152236	0.0827783	0.152236	0.3549	0.0371075	0.189343	0.0523311	0.0799239	58	1051	7.76231e-06
Mobile Home	AL, 00100	0.00578431	0.000392157	0.012451	0.0228431	0.152451	0.249706	0.343922	0.127451	0.085	468	10200	7.5334e-05
Single-Family Attached	AL, 00100	0.0344828	0.0840517	0	0.19181	0.269397	0.204741	0.0581897	0.0775862	0.0797414	30	464	3.42695e-06
Single-Family Detached	AL, 00100	0.0850681	0.0566918	0.12335	0.165458	0.19135	0.105779	0.121613	0.111951	0.0387394	3337	65618	0.000484632
10 to 19 Unit	AL, 00200	0	0.0113086	0.00242326	0.0743134	0.107431	0.243134	0.280291	0.154281	0.126817	36	1238	8.9081e-06
2 Unit	AL, 00200	0	0.0265957	0.043617	0.15	0.0904255	0.0382979	0.135106	0.192553	0.323404	34	940	6.76385e-06
20 to 49 Unit	AL, 00200	0	0	0	0.126801	0.181556	0.118156	0.118156	0.314121	0.14121	13	347	2.49686e-06
3 or 4 Unit	AL, 00200	0	0.0636364	0.0675325	0.0428571	0.174026	0.216883	0.15974	0.175325	0.1	26	770	5.54058e-06
5 to 9 Unit	AL, 00200	0	0	0	0.050779	0.143681	0.140219	0.347374	0.171956	0.14599	53	1733	1.24699e-05
50 or more Unit	AL, 00200	0	0.0386905	0	0.0952381	0.309524	0.10119	0.0922619	0.223214	0.139881	16	336	2.41771e-06
Mobile Home	AL, 00200	0.00288018	0.00529954	0	0.0368664	0.0900922	0.257028	0.347005	0.208756	0.0520737	284	8680	6.24574e-05
