Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=0%	Option=10%	Option=20%	Option=30%	Option=40%	Option=49%	Option=Void	source_count	source_weight	sampling_probability
AK	Electricity	Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heat Pump	<1940	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	<1940	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1940s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1950s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1960s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1970s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1980s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	1990s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	2000s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	2010s	1	0	0	0	0	0	0	0	0	0
AK	Electricity	None	<1940	1	0	0	0	0	0	0	0	0	0
AK	Fuel Oil	Ducted Heating	1940s	0	0.0305115	0.284726	0.498536	0.183692	0.00253468	0	16	16	1.58464e-06
