Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=Tenure	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	Option=Void	source_count	source_weight	sampling_probability
1A	Mobile Home	Central AC	Not Available	0	0	0	0	0.00161806	0.0258207	0.160612	0.47448	0.173528	0.154053	0.00988774	0	82	0	2.224e-05
1A	Mobile Home	Central AC	Owner	0	0	0	0	0.00187083	0.0278243	0.156115	0.444134	0.196574	0.162049	0.0114324	0	66	0	4.56821e-05
1A	Mobile Home	Central AC	Renter	0	0	0	0	0	0.0129951	0.189392	0.668732	0.0260078	0.102873	0	0	16	0	2.44216e-05
1A	Mobile Home	Ducted Heat Pump	Not Available	0	0	0	0	0	0.114006	0.0835882	0.645445	0.0845898	0.0723711	0	0	11	16405.8	4.03664e-05
1A	Mobile Home	Ducted Heat Pump	Owner	0	0.00398726	0.00633181	0.00673332	0.0350463	0.0654918	0.188887	0.273663	0.255361	0.124714	0.0397836	0	286	16405.8	8.50966e-05
1A	Mobile Home	Ducted Heat Pump	Renter	0	0	0.0285625	0.0122715	0.0800063	0.17943	0.101713	0.439	0.0701546	0.0888627	0	0	42	0	4.53545e-05
1A	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Mobile Home	Non-Ducted Heat Pump	Not Available	0	0	0	0	0	0	0.369252	0.221114	0.0648613	0.0694958	0.275277	0	33	0	6.47862e-07
1A	Mobile Home	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0.414729	0.193729	0.0282653	0.0540969	0.30918	0	29	0	1.31122e-06
1A	Mobile Home	Non-Ducted Heat Pump	Renter	0.03358	0.00527529	0.0198862	0.0198539	0.057816	0.237462	0.131577	0.147488	0.0567401	0.209362	0.0809593	0	56	0	7.14024e-07
1A	Mobile Home	None	Not Available	0	0	0	0	0	0.114006	0.0835882	0.645445	0.0845898	0.0723711	0	0	0	0	4.81609e-06
1A	Mobile Home	None	Owner	0	0.00398726	0.00633181	0.00673332	0.0350463	0.0654918	0.188887	0.273663	0.255361	0.124714	0.0397836	0	0	0	1.00875e-05
1A	Mobile Home	None	Renter	0	0.00199363	0.00316591	0.00336666	0.0175232	0.0897488	0.136238	0.459554	0.169976	0.0985427	0.0198918	0	0	0	5.09626e-06
1A	Mobile Home	Room AC	Not Available	0	0.0163941	0.016925	0	0	0.0579103	0.0307826	0.174461	0.00806042	0.159224	0.536243	0	70	0	1.24297e-05
1A	Mobile Home	Room AC	Owner	0	0	0.0238236	0	0	0.0626939	0.0193778	0.161141	0.0113458	0.187809	0.533809	0	50	0	2.54365e-05
1A	Mobile Home	Room AC	Renter	0	0.0566154	0	0	0	0.0461741	0.0587633	0.20714	0	0.0890943	0.542213	0	20	0	1.39361e-05
1A	Multi-Family with 2 - 4 Units	Central AC	Not Available	0	0	0.00328547	0	0.00298694	0.0478635	0.221143	0.350344	0.342427	0.0290447	0.00290509	0	46	108397	5.11141e-05
1A	Multi-Family with 2 - 4 Units	Central AC	Owner	0	0	0	0	0	0.0083349	0.31401	0.179662	0.407446	0.0823136	0.00823313	0	17	14256.7	7.41973e-05
1A	Multi-Family with 2 - 4 Units	Central AC	Renter	0	0	0.00507686	0	0.00461556	0.0694164	0.170507	0.443408	0.306976	0	0	0	29	94140.6	0.00029463
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0.0306827	0	0.0113924	0.0144031	0.0785946	0.183103	0.159539	0.192124	0.195048	0.0779098	0.0572029	0	63	14291.4	3.6964e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0.0920836	0	0	0	0	0	0.103074	0.309198	0.401186	0.094458	0	0	10	0	5.50901e-05
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0.0169475	0	0.0139408	0.017625	0.096176	0.224063	0.17217	0.165935	0.148936	0.0742081	0.069999	0	53	14291.4	0.000224361
1A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
