Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	347	2.21393e+06	0
100-150%	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	289	1.31094e+06	0
150-200%	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	202	872260	0
200-300%	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	270	1.14904e+06	0
300-400%	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	130	592755	0
400%+	Mobile Home	Not Available	0	0	0	0	0	0	0	0	1	150	693577	0
Not Available	Mobile Home	Not Available	0.0130562	0.0220449	0.0206607	0.019306	0.0224873	0.0150752	0.885066	0.00230389	0	974	6.8325e+06	0.0131485
0-100%	Mobile Home	Owner	0.0234108	0.0241634	0.022701	0.0235817	0.0354134	0.0203338	0.847025	0.00337041	0	242	1.4973e+06	0.00612723
100-150%	Mobile Home	Owner	0.0374641	0.0120969	0.0340462	0.0196227	0.0308086	0.0285513	0.834135	0.00327531	0	227	1.05407e+06	0.00518654
150-200%	Mobile Home	Owner	0	0.022661	0.012765	0.0185716	0.0186114	0.00897885	0.918412	0	0	157	702694	0.00450483
200-300%	Mobile Home	Owner	0	0.0213999	0.0126108	0.00548549	0.0011171	0.00927773	0.949981	0.000128009	0	230	957329	0.00750459
300-400%	Mobile Home	Owner	0	0.036528	0.0270091	0.0139971	0.0181535	0.00943356	0.886625	0.00825313	0	115	538172	0.00490356
400%+	Mobile Home	Owner	0	0.00811997	0.00676488	0.0256183	0.0105331	0.00289231	0.942147	0.00392483	0	136	631688	0.00698275
Not Available	Mobile Home	Owner	0	0	0	0	0	0	0	0	1	766	5.38126e+06	0
0-100%	Mobile Home	Renter	0.00384309	0.0248419	0.0284741	0.027927	0.0201281	0.0109646	0.883544	0.000277613	0	105	716623	0.00419836
100-150%	Mobile Home	Renter	0.0349608	0.0351241	0.01409	0.0457789	0.0409995	0.016211	0.812836	0	0	62	256871	0.00256561
150-200%	Mobile Home	Renter	0.0172723	0.0660711	0.0437044	0.0125383	0.00447152	0	0.855942	0	0	45	169566	0.00192275
200-300%	Mobile Home	Renter	0	0.0128573	0	0	0.0467116	0.0435209	0.89691	0	0	40	191711	0.00262865
300-400%	Mobile Home	Renter	0	0	0	0	0.00313453	0	0.996865	0	0	15	54582.4	0.00137791
400%+	Mobile Home	Renter	0	0	0	0	0.0441768	0	0.955823	0	0	14	61888.7	0.00143841
Not Available	Mobile Home	Renter	0	0	0	0	0	0	0	0	1	208	1.45124e+06	0
0-100%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	322	2.87033e+06	0
100-150%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	195	1.03184e+06	0
150-200%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	171	1.03685e+06	0
200-300%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	269	1.48595e+06	0
300-400%	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	172	956181	0
400%+	Multi-Family with 2 - 4 Units	Not Available	0	0	0	0	0	0	0	0	1	270	1.96065e+06	0
Not Available	Multi-Family with 2 - 4 Units	Not Available	0.00809769	0.0127928	0.0102259	0.00752673	0.0119986	0.00876996	0.937048	0.00354075	0	1013	9.3418e+06	0.0118498
0-100%	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	1	0	0	15	156347	0.000856083
100-150%	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	1	0	0	17	123676	0.000764025
150-200%	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	1	0	0	16	84775.9	0.000825314
200-300%	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0.024261	0.963936	0.0118026	0	34	213620	0.0017564
300-400%	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	1	0	0	28	135417	0.00159832
400%+	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	1	0	0	56	418643	0.00597538
Not Available	Multi-Family with 2 - 4 Units	Owner	0	0	0	0	0	0	0	0	1	122	1.13248e+06	0
0-100%	Multi-Family with 2 - 4 Units	Renter	0.0160892	0.0233414	0.026516	0.0176267	0.0269871	0.0184011	0.859963	0.0110758	0	307	2.71398e+06	0.0129587
100-150%	Multi-Family with 2 - 4 Units	Renter	0	0.0302521	0.0152678	0.0135022	0.00653179	0.00970044	0.924331	0.000414963	0	178	908161	0.00769668
150-200%	Multi-Family with 2 - 4 Units	Renter	0.0164178	0.00769306	0.00300854	0.00106323	0.0220985	0.00476475	0.944829	0.000125212	0	155	952075	0.00635543
200-300%	Multi-Family with 2 - 4 Units	Renter	0.00166569	0.00969722	2.2021e-06	0.00320417	0.00231677	0.00536212	0.977752	0	0	235	1.27233e+06	0.0100004
