Dependency=ASHRAE IECC Climate Zone 2004	Option=0.5	Option=0.8	Option=1.1	Option=1.4	Option=1.7	Option=2.0	Option=2.3	Option=2.6	source_count	source_weight	sampling_probability
1A	0	0.0340716	0.962521	0.00340716	0	0	0	0	587	587	0.0179403
2A	0	0.00281546	0.962631	0.0345534	0	0	0	0	7814	7814	0.115935
2B	0.00415061	0.0587015	0.249926	0.659947	0.0183813	0.00711533	0.00148236	0.000296472	3373	3373	0.0197434
3A	0.00133769	0.0285375	0.576694	0.380054	0.00951249	0.00267539	0.000445898	0.000743163	6728	6728	0.13305
3B	0.0023526	0.0686664	0.233789	0.636671	0.0399941	0.011763	0.00411704	0.00264667	6801	6801	0.0929123
3C	0.0105634	0.109155	0.21831	0.147887	0.193662	0.306338	0.0105634	0.00352113	284	284	0.0234445
4A	0.00183449	0.0387281	0.441908	0.253363	0.20852	0.050958	0.00224215	0.00244598	4906	4906	0.215302
4B	0.00424056	0.0582113	0.0805705	0.430609	0.398998	0.0239013	0.00231303	0.00115652	2594	2594	0.0077307
4C	0.0429448	0.610429	0.230061	0.0460123	0.0582822	0.00920245	0.00306748	0	326	326	0.0288003
5A	0.00167963	0.029261	0.32134	0.590347	0.0500354	0.0053925	0.00123762	0.000707214	11312	11312	0.225367
5B	0.065881	0.468408	0.246344	0.141985	0.0435894	0.0180321	0.0085191	0.00724123	7043	7043	0.037893
6A	0.00141443	0.0263083	0.472136	0.426025	0.0670438	0.00480905	0.00169731	0.000565771	3535	3535	0.0613171
6B	0.00726496	0.222222	0.631624	0.0465812	0.0474359	0.0239316	0.0123932	0.00854701	2340	2340	0.00923059
7A	0.0196629	0.0421348	0.640449	0.157303	0.120787	0.0168539	0.00280899	0	356	356	0.00789633
7AK	0	0	0.427313	0.528634	0.00881057	0.00440529	0.0220264	0.00881057	227	227	0.00178684
7B	0.263736	0.0659341	0.043956	0.164835	0.164835	0.186813	0.0659341	0.043956	91	91	0.00113165
8AK	0.0240964	0.144578	0.325301	0.349398	0.0240964	0.13253	0	0	83	83	0.000519458
# Created by: sources\smu\tsv_maker.py
# Description: The thermal conductivity (in Btu/hr-ft-F) of the ground using in foundation and geothermal heat pump heat transfer calculations.
# Source: Constructed using data from the SMU Geothermal Laboratory. The data is from the Thermal Conductivity Observation in Content Model Format dataset. The data is available at http://geothermal.smu.edu/static/DownloadFilesButtonPage.htm.
# Assumption: The data obtained is from surveyed oil and gas well data.
# Assumption: The latitude and longitudes were assigned to counties and the data was joined to the ResStock spatial lookup tables. In this process, 1482 of 59332 samples did not have a FIPS match or did not have data and were dropped.
# Assumption: Due to limited data in climate zone 1A, data was pulled from samples in 1A plus Florida 2A.
# Assumption: Samples less than 0.5 Btu/hr-ft-F are assigned a value of 0.5 Btu/hr-ft-F. Samples greater than 2.6 Btu/hr-ft-F are assigned a value of 2.6 Btu/hr-ft-F.
