Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None	resstock_probability
CR02	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0010808831964641478
CR05	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007216390180532524
CR03	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0009817207324972414
CR04	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002706786718575749
CR06	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007093051556527035
CR07	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.00263276431340104
CR08	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002595766364384223
CR09	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.005912636715822664
CR10	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007609040998128576
CR11	<1940	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0021113382341150875
CR02	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0009000509126616651
CR05	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0006009084598001163
CR03	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008174783770841319
CR04	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0022539399857488536
CR06	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0005906380585702961
CR07	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0021923015649159155
CR08	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002161493390741195
CR09	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.004923449721229499
CR10	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.000633604474308507
CR11	1950s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0017581103219748175
CR02	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0009124771310556175
CR05	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0006092046791041644
CR03	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008287645884562653
CR04	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002285058170415709
CR06	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0005987924833970764
CR07	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0022225687616353627
CR08	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0021913352458547085
CR09	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0049914234998535536
CR10	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.000642352098984382
CR11	1960s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.00178238301867918
CR02	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0013054342288820386
CR05	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008715578872400264
CR03	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.001185670987945232
CR04	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0032691155198556012
CR06	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008566616929012963
CR07	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0031797151279026625
CR08	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0031350309388959484
CR09	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0071409735825563895
CR10	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0009189802006745572
CR11	1970s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0025499639633380275
CR02	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0011410402420517828
CR05	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007618021656059727
CR03	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0010363588460809803
CR04	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0028574341637002854
CR06	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007487818564874726
CR07	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002779292007920545
CR08	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0027402349212347047
CR09	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.006241707199682911
CR10	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008032525633378696
CR11	1980s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.00222884572319075
CR02	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0011957087434588097
CR05	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007983009508612752
CR03	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0010860119458991652
CR04	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0029943369983609115
CR06	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007846568243162445
CR07	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0029124509653753058
CR08	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0028715226104206095
CR09	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.006540754302714559
CR10	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0008417372830442246
CR11	1990s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0023356321896655847
CR02	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0012176306333743887
CR05	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.000812936844142159
CR03	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0011059226762130856
CR04	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.003049234586429334
CR06	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0007990425688533387
CR07	2000s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002965847270952859
