Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Bottom	Option=Middle	Option=None	Option=Top	sampling_probability
Single-Family Detached	1	0.000000	0.000000	1.000000	0.000000	0.332082
Single-Family Detached	2	0.000000	0.000000	1.000000	0.000000	0.215671
Single-Family Detached	3	0.000000	0.000000	1.000000	0.000000	0.047265
Single-Family Detached	4	0.000000	0.000000	1.000000	0.000000	0.010835
Single-Family Detached	5	0.000000	0.000000	1.000000	0.000000	0.005078
Single-Family Detached	6	0.000000	0.000000	1.000000	0.000000	0.004340
Single-Family Detached	7	0.000000	0.000000	1.000000	0.000000	0.000924
Single-Family Detached	8	0.000000	0.000000	1.000000	0.000000	0.001050
Single-Family Detached	9	0.000000	0.000000	1.000000	0.000000	0.000820
Single-Family Detached	10	0.000000	0.000000	1.000000	0.000000	0.000974
Single-Family Detached	11	0.000000	0.000000	1.000000	0.000000	0.000525
Single-Family Detached	12	0.000000	0.000000	1.000000	0.000000	0.001088
Single-Family Detached	13	0.000000	0.000000	1.000000	0.000000	0.000542
Single-Family Detached	14	0.000000	0.000000	1.000000	0.000000	0.001001
Single-Family Detached	15	0.000000	0.000000	1.000000	0.000000	0.000727
Single-Family Detached	20	0.000000	0.000000	1.000000	0.000000	0.000959
Single-Family Detached	21	0.000000	0.000000	1.000000	0.000000	0.004486
Multi-Family with 5+ Units	1	1.000000	0.000000	0.000000	0.000000	0.092118
Multi-Family with 5+ Units	2	0.500000	0.000000	0.000000	0.500000	0.059826
Multi-Family with 5+ Units	3	0.333333	0.333333	0.000000	0.333333	0.013111
Multi-Family with 5+ Units	4	0.250000	0.500000	0.000000	0.250000	0.003006
Multi-Family with 5+ Units	5	0.200000	0.600000	0.000000	0.200000	0.001409
Multi-Family with 5+ Units	6	0.166667	0.666667	0.000000	0.166667	0.001204
Multi-Family with 5+ Units	7	0.142857	0.714286	0.000000	0.142857	0.000256
Multi-Family with 5+ Units	8	0.125000	0.750000	0.000000	0.125000	0.000291
