Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=290 Rated kWh	Option=318 Rated kWh	Option=None	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AL	Not Available	1940s	0	0	0	1	21	0	0
0-100%	Mobile Home	AL	Owner	1940s	0.227783	0.227783	0.544433	0	86	0	8.2901e-07
0-100%	Mobile Home	AL	Renter	1940s	0.111548	0.111548	0.776905	0	34	0	6.46851e-07
100-150%	Mobile Home	AL	Not Available	1940s	0	0	0	1	21	0	0
100-150%	Mobile Home	AL	Owner	1940s	0.227783	0.227783	0.544433	0	86	0	6.44098e-07
100-150%	Mobile Home	AL	Renter	1940s	0.111548	0.111548	0.776905	0	34	0	2.53368e-07
150-200%	Mobile Home	AL	Not Available	1940s	0	0	0	1	21	0	0
150-200%	Mobile Home	AL	Owner	1940s	0.227783	0.227783	0.544433	0	86	0	4.15473e-07
150-200%	Mobile Home	AL	Renter	1940s	0.111548	0.111548	0.776905	0	34	0	1.87266e-07
200-300%	Mobile Home	AL	Not Available	1940s	0	0	0	1	14	0	0
200-300%	Mobile Home	AL	Owner	1940s	0.312572	0.312572	0.374857	0	99	0	5.04632e-07
200-300%	Mobile Home	AL	Renter	1940s	0.301801	0.301801	0.396398	0	14	0	2.43354e-07
300-400%	Mobile Home	AL	Not Available	1940s	0	0	0	1	14	0	0
300-400%	Mobile Home	AL	Owner	1940s	0.312572	0.312572	0.374857	0	99	0	3.33362e-07
300-400%	Mobile Home	AL	Renter	1940s	0.301801	0.301801	0.396398	0	14	0	1.22284e-07
400%+	Mobile Home	AL	Not Available	1940s	0	0	0	1	553	0	0
400%+	Mobile Home	AL	Owner	1940s	0.420727	0.420727	0.158545	0	71	0	4.41717e-07
400%+	Mobile Home	AL	Renter	1940s	0.350925	0.350925	0.29815	0	42	0	1.1511e-07
Not Available	Mobile Home	AL	Not Available	1940s	0	0	1	0	196	0	1.43191e-06
Not Available	Mobile Home	AL	Owner	1940s	0	0	0	1	14	0	0
Not Available	Mobile Home	AL	Renter	1940s	0	0	0	1	14	0	0
0-100%	Mobile Home	AL	Not Available	1950s	0	0	0	1	14	76272.4	0
0-100%	Mobile Home	AL	Owner	1950s	0.227783	0.227783	0.544433	0	86	0	1.31115e-06
0-100%	Mobile Home	AL	Renter	1950s	0.111548	0.111548	0.776905	0	34	10896.1	8.79792e-07
100-150%	Mobile Home	AL	Not Available	1950s	0	0	0	1	14	0	0
100-150%	Mobile Home	AL	Owner	1950s	0.227783	0.227783	0.544433	0	86	0	9.97612e-07
100-150%	Mobile Home	AL	Renter	1950s	0.111548	0.111548	0.776905	0	34	0	3.49181e-07
150-200%	Mobile Home	AL	Not Available	1950s	0	0	0	1	14	61735.9	0
150-200%	Mobile Home	AL	Owner	1950s	0.227783	0.227783	0.544433	0	86	8819.41	6.42401e-07
150-200%	Mobile Home	AL	Renter	1950s	0.111548	0.111548	0.776905	0	34	0	2.5e-07
200-300%	Mobile Home	AL	Not Available	1950s	0	0	0	1	14	17779.8	0
200-300%	Mobile Home	AL	Owner	1950s	0.312572	0.312572	0.374857	0	99	2539.97	7.80658e-07
200-300%	Mobile Home	AL	Renter	1950s	0.301801	0.301801	0.396398	0	14	0	3.2624e-07
300-400%	Mobile Home	AL	Not Available	1950s	0	0	0	1	14	0	0
300-400%	Mobile Home	AL	Owner	1950s	0.312572	0.312572	0.374857	0	99	0	5.19706e-07
300-400%	Mobile Home	AL	Renter	1950s	0.301801	0.301801	0.396398	0	14	0	1.64182e-07
400%+	Mobile Home	AL	Not Available	1950s	0	0	0	1	553	0	0
400%+	Mobile Home	AL	Owner	1950s	0.420727	0.420727	0.158545	0	71	0	6.86769e-07
400%+	Mobile Home	AL	Renter	1950s	0.350925	0.350925	0.29815	0	42	0	1.46221e-07
Not Available	Mobile Home	AL	Not Available	1950s	0	0	1	0	98	1.09052e+06	2.36611e-06
Not Available	Mobile Home	AL	Owner	1950s	0	0	0	1	21	79515.6	0
Not Available	Mobile Home	AL	Renter	1950s	0	0	0	1	21	76272.4	0
0-100%	Mobile Home	AL	Not Available	1960s	0	0	0	1	28	54281.6	0
0-100%	Mobile Home	AL	Owner	1960s	0.149621	0.149621	0.700757	0	20	7754.52	9.15886e-06
0-100%	Mobile Home	AL	Renter	1960s	0.174919	0.174919	0.650163	0	57	0	4.87378e-06
100-150%	Mobile Home	AL	Not Available	1960s	0	0	0	1	14	27.093	0
100-150%	Mobile Home	AL	Owner	1960s	0.149621	0.149621	0.700757	0	20	3.87043	5.96983e-06
100-150%	Mobile Home	AL	Renter	1960s	0.174919	0.174919	0.650163	0	57	0	2.4143e-06
150-200%	Mobile Home	AL	Not Available	1960s	0	0	0	1	21	0	0
150-200%	Mobile Home	AL	Owner	1960s	0.149621	0.149621	0.700757	0	20	0	4.21527e-06
150-200%	Mobile Home	AL	Renter	1960s	0.174919	0.174919	0.650163	0	57	0	1.56382e-06
200-300%	Mobile Home	AL	Not Available	1960s	0	0	0	1	42	0	0
200-300%	Mobile Home	AL	Owner	1960s	0.379409	0.379409	0.241182	0	139	0	5.69052e-06
200-300%	Mobile Home	AL	Renter	1960s	0.219004	0.219004	0.561992	0	26	0	1.93585e-06
300-400%	Mobile Home	AL	Not Available	1960s	0	0	0	1	42	0	0
300-400%	Mobile Home	AL	Owner	1960s	0.379409	0.379409	0.241182	0	139	0	2.90321e-06
300-400%	Mobile Home	AL	Renter	1960s	0.219004	0.219004	0.561992	0	26	0	9.0314e-07
400%+	Mobile Home	AL	Not Available	1960s	0	0	0	1	14	0	0
400%+	Mobile Home	AL	Owner	1960s	0.465758	0.465758	0.0684844	0	88	0	3.28451e-06
400%+	Mobile Home	AL	Renter	1960s	0.377258	0.377258	0.245484	0	11	0	8.15372e-07
Not Available	Mobile Home	AL	Not Available	1960s	0	0	1	0	49	380161	1.35699e-05
Not Available	Mobile Home	AL	Owner	1960s	0	0	0	1	21	54308.7	0
Not Available	Mobile Home	AL	Renter	1960s	0	0	0	1	14	0	0
0-100%	Mobile Home	AL	Not Available	1970s	0	0	0	1	42	340458	0
0-100%	Mobile Home	AL	Owner	1970s	0.193689	0.193689	0.612622	0	15	31840.4	4.33643e-05
0-100%	Mobile Home	AL	Renter	1970s	0.174919	0.174919	0.650163	0	57	16796.5	2.34098e-05
100-150%	Mobile Home	AL	Not Available	1970s	0	0	0	1	42	5887.29	0
100-150%	Mobile Home	AL	Owner	1970s	0.193689	0.193689	0.612622	0	15	0	2.95473e-05
100-150%	Mobile Home	AL	Renter	1970s	0.174919	0.174919	0.650163	0	57	841.042	1.21649e-05
150-200%	Mobile Home	AL	Not Available	1970s	0	0	0	1	28	0	0
150-200%	Mobile Home	AL	Owner	1970s	0.193689	0.193689	0.612622	0	15	0	2.0588e-05
150-200%	Mobile Home	AL	Renter	1970s	0.174919	0.174919	0.650163	0	57	0	7.70687e-06
200-300%	Mobile Home	AL	Not Available	1970s	0	0	0	1	35	0	0
200-300%	Mobile Home	AL	Owner	1970s	0.379409	0.379409	0.241182	0	139	0	2.69578e-05
