Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=Day and Night Setup	Option=Day and Night Setup -1h	Option=Day and Night Setup -2h	Option=Day and Night Setup -3h	Option=Day and Night Setup -4h	Option=Day and Night Setup -5h	Option=Day and Night Setup +1h	Option=Day and Night Setup +2h	Option=Day and Night Setup +3h	Option=Day and Night Setup +4h	Option=Day and Night Setup +5h	Option=Day Setup	Option=Day Setup -1h	Option=Day Setup -2h	Option=Day Setup -3h	Option=Day Setup -4h	Option=Day Setup -5h	Option=Day Setup +1h	Option=Day Setup +2h	Option=Day Setup +3h	Option=Day Setup +4h	Option=Day Setup +5h	Option=Day Setup and Night Setback	Option=Day Setup and Night Setback -1h	Option=Day Setup and Night Setback -2h	Option=Day Setup and Night Setback -3h	Option=Day Setup and Night Setback -4h	Option=Day Setup and Night Setback -5h	Option=Day Setup and Night Setback +1h	Option=Day Setup and Night Setback +2h	Option=Day Setup and Night Setback +3h	Option=Day Setup and Night Setback +4h	Option=Day Setup and Night Setback +5h	Option=Night Setback	Option=Night Setback -1h	Option=Night Setback -2h	Option=Night Setback -3h	Option=Night Setback -4h	Option=Night Setback -5h	Option=Night Setback +1h	Option=Night Setback +2h	Option=Night Setback +3h	Option=Night Setback +4h	Option=Night Setback +5h	Option=Night Setup	Option=Night Setup -1h	Option=Night Setup -2h	Option=Night Setup -3h	Option=Night Setup -4h	Option=Night Setup -5h	Option=Night Setup +1h	Option=Night Setup +2h	Option=Night Setup +3h	Option=Night Setup +4h	Option=Night Setup +5h	Option=None	source_count	source_weight	sampling_probability
1A	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	139	0	0.000129464
1A	Yes	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0037678	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0121916	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.0686996	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0.00625012	0	137	16405.8	0.000208173
1A	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	76442.1	0.000558826
1A	Yes	Multi-Family with 2 - 4 Units	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0.00294669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.0857586	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0.00220384	0	10	75415.4	0.000551321
1A	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	440763	0.00368727
1A	Yes	Multi-Family with 5+ Units	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00461453	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0.00430987	0	0	0	0	0	0	0	0	0	0	0	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.0755189	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0.00646578	0	44	406949	0.0034044
1A	No	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	40239.3	0.000369588
1A	Yes	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00627217	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.00813376	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.07101	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0.00549318	0	25	134651	0.00123674
1A	No	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	118	400867	0.00325784
1A	Yes	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.00327445	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0135287	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.0701613	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0.00394463	0	111	558222	0.00453667
