Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electricity	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	Electricity	AL	Not Available	0	0	0	0	1	2.02511	22059.5	0
0-100%	Mobile Home	Electricity	AL	Owner	0.0480354	0	0.951965	0	0	0.882532	8863.71	0.000198411
0-100%	Mobile Home	Electricity	AL	Renter	0	0	1	0	0	0.926778	2956.87	0.000140439
0-100%	Mobile Home	Electricity	AR	Not Available	0	0	0	0	1	2.98222	4601.63	0
0-100%	Mobile Home	Electricity	AR	Owner	0	0	1	0	0	0.408967	194.711	7.47545e-05
0-100%	Mobile Home	Electricity	AR	Renter	0	0	1	0	0	0.78959	2903.2	5.58315e-05
0-100%	Mobile Home	Electricity	AZ	Not Available	0	0	0	0	1	0.670893	5204.04	0
0-100%	Mobile Home	Electricity	AZ	Owner	0	0	1	0	0	0.83265	2617.48	0.000120657
0-100%	Mobile Home	Electricity	AZ	Renter	0	0	1	0	0	0.438958	440.064	5.7089e-05
0-100%	Mobile Home	Electricity	CA	Not Available	0	0	0	0	1	0.775917	2132.36	0
0-100%	Mobile Home	Electricity	CA	Owner	0	0	1	0	0	1.10179	1191.02	8.63819e-05
0-100%	Mobile Home	Electricity	CA	Renter	0.0677357	0	0.932264	0	0	1.01935	136.103	5.95946e-05
0-100%	Mobile Home	Electricity	CO	Not Available	0	0	0	0	1	2.11422	601.008	0
0-100%	Mobile Home	Electricity	CO	Owner	0.111968	0	0.888032	0	0	1.02049	353.205	1.02434e-05
0-100%	Mobile Home	Electricity	CO	Renter	0	0	1	0	0	0.182756	32.7378	6.12299e-06
0-100%	Mobile Home	Electricity	CT	Not Available	0	0	0	0	1	3.21932e-20	1.16069e-57	0
0-100%	Mobile Home	Electricity	CT	Owner	0	0	1	0	0	2.79008e-20	1.16069e-57	4.3875e-07
0-100%	Mobile Home	Electricity	CT	Renter	0	0	1	0	0	3.21932e-20	1.16069e-57	1.62938e-07
