Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	sampling_probability
1A	No	Mobile Home	1	0	0	0	22	0	0.000107029
1A	Yes	Mobile Home	0	0.837324	0.139919	0.0227569	48	16405.8	0.000231388
1A	No	Multi-Family with 2 - 4 Units	1	0	0	0	23	55679.5	0.000551991
1A	Yes	Multi-Family with 2 - 4 Units	0	0.837465	0.162535	0	25	64849.2	0.000560722
1A	No	Multi-Family with 5+ Units	1	0	0	0	19	358743	0.00356703
1A	Yes	Multi-Family with 5+ Units	0	0.842816	0.157184	0	20	356129	0.00354103
1A	No	Single-Family Attached	1	0	0	0	22	19308.6	0.000222111
1A	Yes	Single-Family Attached	0	0.616081	0.383919	0	13	120656	0.00138793
1A	No	Single-Family Detached	1	0	0	0	20	246410	0.00281525
1A	Yes	Single-Family Detached	0	0.892252	0.0778598	0.029888	34	437396	0.00499727
2A	No	Mobile Home	1	0	0	0	65	752750	0.00704123
2A	Yes	Mobile Home	0	0.594526	0.250969	0.154504	43	463624	0.00433674
2A	No	Multi-Family with 2 - 4 Units	1	0	0	0	52	545200	0.00486247
2A	Yes	Multi-Family with 2 - 4 Units	0	0.775841	0.117647	0.106512	22	243481	0.00217153
2A	No	Multi-Family with 5+ Units	1	0	0	0	101	1.47885e+06	0.013262
2A	Yes	Multi-Family with 5+ Units	0	0.687616	0.222853	0.0895308	69	999151	0.00896015
2A	No	Single-Family Attached	1	0	0	0	55	367801	0.00294819
2A	Yes	Single-Family Attached	0	0.503614	0.374866	0.12152	38	204957	0.00164289
2A	No	Single-Family Detached	1	0	0	0	572	5.43034e+06	0.0409797
2A	Yes	Single-Family Detached	0	0.689967	0.22473	0.0853027	442	3.97512e+06	0.029998
2B	No	Mobile Home	1	0	0	0	24	169122	0.00131149
2B	Yes	Mobile Home	0	0.596935	0.246963	0.156102	166	57983.2	0.000449641
2B	No	Multi-Family with 2 - 4 Units	1	0	0	0	12	114872	0.000739289
2B	Yes	Multi-Family with 2 - 4 Units	0	0.560449	0.247899	0.191652	31	38688.1	0.000248987
2B	No	Multi-Family with 5+ Units	1	0	0	0	20	169246	0.00146116
2B	Yes	Multi-Family with 5+ Units	0	0.570078	0.242502	0.18742	27	225236	0.00194453
2B	No	Single-Family Attached	1	0	0	0	23	63238.1	0.000593294
2B	Yes	Single-Family Attached	0	0.715361	0.284639	0	17	43242.9	0.000405701
2B	No	Single-Family Detached	1	0	0	0	167	914792	0.00710576
2B	Yes	Single-Family Detached	0	0.628984	0.21131	0.159706	141	711821	0.00552917
