Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Mobile Home	AK	1940-59	0	1	7	802.902	4.23256e-06
Mobile Home	AK	1960-79	0	1	51	7510.05	7.32207e-05
Mobile Home	AK	1980-99	0	1	34	1281.42	3.14477e-05
Mobile Home	AK	2000-09	0	1	15	0	3.98281e-06
Mobile Home	AK	2010s	0	1	15	1911.57	3.83982e-06
Mobile Home	AK	<1940	0	1	7	0	6.29744e-07
Multi-Family with 2 - 4 Units	AK	1940-59	0.359452	0.640548	30	1444.59	2.40461e-05
Multi-Family with 2 - 4 Units	AK	1960-79	0.459186	0.540814	43	8497.92	9.88588e-05
Multi-Family with 2 - 4 Units	AK	1980-99	0.726744	0.273256	11	11996.1	0.000107282
Multi-Family with 2 - 4 Units	AK	2000-09	0.238482	0.761518	13	1113.17	3.57063e-05
Multi-Family with 2 - 4 Units	AK	2010s	0.238482	0.761518	13	1950.72	1.71514e-05
Multi-Family with 2 - 4 Units	AK	<1940	0.359452	0.640548	30	742.807	6.17105e-06
Multi-Family with 5+ Units	AK	1940-59	0.697051	0.302949	60	5469.04	1.87457e-05
Multi-Family with 5+ Units	AK	1960-79	0.762556	0.237444	11	12745.9	0.000106581
Multi-Family with 5+ Units	AK	1980-99	0.549252	0.450748	101	8240.47	0.000109262
Multi-Family with 5+ Units	AK	2000-09	0.570937	0.429063	119	3009.14	1.92411e-05
Multi-Family with 5+ Units	AK	2010s	0.570937	0.429063	119	2759.56	1.18847e-05
Multi-Family with 5+ Units	AK	<1940	0.697051	0.302949	60	0	4.29205e-06
Single-Family Attached	AK	1940-59	0.106425	0.893575	25	608.423	4.12481e-06
Single-Family Attached	AK	1960-79	0.0891522	0.910848	15	8168.55	3.39524e-05
Single-Family Attached	AK	1980-99	0.0188239	0.981176	21	12112.4	7.78962e-05
Single-Family Attached	AK	2000-09	0	1	14	4119.56	4.376e-05
Single-Family Attached	AK	2010s	0	1	14	3580.14	8.09814e-06
Single-Family Attached	AK	<1940	0.106425	0.893575	25	0	8.66296e-07
Single-Family Detached	AK	1940-59	0	1	15	8172.53	9.13419e-05
Single-Family Detached	AK	1960-79	0	1	47	39599.8	0.000410722
Single-Family Detached	AK	1980-99	0	1	70	59013.7	0.00059274
Single-Family Detached	AK	2000-09	0	1	45	34162.7	0.000276589
Single-Family Detached	AK	2010s	0	1	18	12212.1	6.22943e-05
Single-Family Detached	AK	<1940	0	1	15	5967.9	2.73354e-05
Mobile Home	AL	1940-59	0	1	14	22255.4	1.55885e-05
Mobile Home	AL	1960-79	0	1	26	57236.3	0.000334305
Mobile Home	AL	1980-99	0	1	13	106697	0.00137023
Mobile Home	AL	2000-09	0	1	30	53523.1	0.000380072
Mobile Home	AL	2010s	0	1	12	15759.6	0.000126838
Mobile Home	AL	<1940	0	1	14	0	4.48425e-06
Multi-Family with 2 - 4 Units	AL	1940-59	0.425913	0.574087	45	1970.24	0.000108412
