Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	sampling_probability
East North Central	Mobile Home	1	1940-59	0	1	0	0	131	2534.4	0.000121446
East North Central	Mobile Home	2	1940-59	0	1	0	0	131	2534.4	0
East North Central	Mobile Home	3	1940-59	0	1	0	0	131	2534.4	0
East North Central	Mobile Home	4+	1940-59	0	1	0	0	131	2534.4	0
East North Central	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	41	72708.1	0.00019438
East North Central	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	41	72708.1	0.0014668
East North Central	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	41	72708.1	0.000321042
East North Central	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	41	72708.1	5.9604e-05
East North Central	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	41	70701.3	0.00014465
East North Central	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	41	70701.3	0.000740226
East North Central	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	41	70701.3	0.000564174
East North Central	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	41	70701.3	0.000818557
East North Central	Single-Family Attached	1	1940-59	0	0.459913	0.121323	0.418765	10	15025.3	0.000483493
East North Central	Single-Family Attached	2	1940-59	0.123223	0.0520342	0.0623756	0.762367	15	37100.8	0.00022727
East North Central	Single-Family Attached	3	1940-59	0	0.797091	0.0305212	0.172388	25	9491.41	8.72233e-06
East North Central	Single-Family Attached	4+	1940-59	0	1	0	0	11	4533.1	0
East North Central	Single-Family Detached	1	1940-59	0	0.304663	0.0543099	0.641027	269	1.82312e+06	0.0198197
East North Central	Single-Family Detached	2	1940-59	0.0940001	0.337674	0.0447115	0.523615	250	1.06408e+06	0.00454449
East North Central	Single-Family Detached	3	1940-59	0.141831	0.766666	0.00804005	0.0834628	10	11525.1	0.00014311
East North Central	Single-Family Detached	4+	1940-59	0	1	0	0	11	0	0
East North Central	Mobile Home	1	1960-79	0	1	0	0	16	36734.6	0.00176622
East North Central	Mobile Home	2	1960-79	0	1	0	0	16	36734.6	0
East North Central	Mobile Home	3	1960-79	0	1	0	0	16	36734.6	0
East North Central	Mobile Home	4+	1960-79	0	1	0	0	16	36734.6	0
East North Central	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	22	84370.1	0.000460581
East North Central	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	22	84370.1	0.00210151
East North Central	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	22	84370.1	0.00046791
East North Central	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	22	84370.1	4.15463e-06
East North Central	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	78	243098	0.000636424
East North Central	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	78	243098	0.00320942
East North Central	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	78	243098	0.00247481
East North Central	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	78	243098	0.00187955
East North Central	Single-Family Attached	1	1960-79	0	0.599403	0.0408626	0.359734	18	72776.7	0.00085857
East North Central	Single-Family Attached	2	1960-79	0.0108543	0.570954	0.0108543	0.407337	31	133175	0.000604433
East North Central	Single-Family Attached	3	1960-79	0	0.797091	0.0305212	0.172388	25	4348.67	2.91641e-05
East North Central	Single-Family Attached	4+	1960-79	0	1	0	0	11	0	0
East North Central	Single-Family Detached	1	1960-79	0	0.301025	0.0381884	0.660787	241	1.92554e+06	0.0202124
East North Central	Single-Family Detached	2	1960-79	0.0209961	0.367716	0.0396055	0.571683	132	1.05613e+06	0.00478016
East North Central	Single-Family Detached	3	1960-79	0	0.345959	0.0816778	0.572363	14	127597	0.000311565
East North Central	Single-Family Detached	4+	1960-79	0	1	0	0	11	5801.05	0
East North Central	Mobile Home	1	1980-99	0	1	0	0	25	68825.5	0.0029646
