Dependency=County	Option=CBSA Atlanta-Sandy Springs-Roswell, GA	Option=CBSA Boston-Cambridge-Newton, MA-NH	Option=CBSA Chicago-Naperville-Elgin, IL-IN-WI	Option=CBSA Dallas-Fort Worth-Arlington, TX	Option=CBSA Detroit-Warren-Dearborn, MI	Option=CBSA Houston-The Woodlands-Sugar Land, TX	Option=CBSA Los Angeles-Long Beach-Anaheim, CA	Option=CBSA Miami-Fort Lauderdale-West Palm Beach, FL	Option=CBSA New York-Newark-Jersey City, NY-NJ-PA	Option=CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Option=CBSA Phoenix-Mesa-Scottsdale, AZ	Option=CBSA Riverside-San Bernardino-Ontario, CA	Option=CBSA San Francisco-Oakland-Hayward, CA	Option=CBSA Seattle-Tacoma-Bellevue, WA	Option=CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV	Option=Non-CBSA East North Central	Option=Non-CBSA East South Central	Option=Non-CBSA Middle Atlantic	Option=Non-CBSA Mountain	Option=Non-CBSA New England	Option=Non-CBSA Pacific	Option=Non-CBSA South Atlantic	Option=Non-CBSA West North Central	Option=Non-CBSA West South Central	source_count	source_weight	sampling_probability
AL, Autauga County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	22714	0.000170506
AL, Baldwin County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	107579	0.00080756
AL, Barbour County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	11802	8.85937e-05
AL, Bibb County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8972	6.73498e-05
AL, Blount County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	23850	0.000179034
AL, Bullock County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4462	3.34947e-05
AL, Butler County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9914	7.4421e-05
AL, Calhoun County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	53326	0.0004003
AL, Chambers County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	16905	0.0001269
AL, Cherokee County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	16260	0.000122058
AL, Chilton County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	19260	0.000144579
AL, Choctaw County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7241	5.43557e-05
AL, Clarke County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	12589	9.45014e-05
AL, Clay County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6745	5.06324e-05
AL, Cleburne County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6689	5.02121e-05
AL, Coffee County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	22862	0.000171618
AL, Colbert County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	26156	0.000196344
AL, Conecuh County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7055	5.29595e-05
AL, Coosa County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6453	4.84405e-05
AL, Covington County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	18783	0.000140997
AL, Crenshaw County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6699	5.02871e-05
AL, Cullman County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	37150	0.000278872
AL, Dale County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	22839	0.000171445
AL, Dallas County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	20242	0.000151949
AL, DeKalb County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	31068	0.000233217
AL, Elmore County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	33322	0.000250137
AL, Escambia County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	16421	0.000123267
AL, Etowah County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	47504	0.000356596
AL, Fayette County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8412	6.31461e-05
AL, Franklin County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	14050	0.000105469
AL, Geneva County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	12643	9.49067e-05
AL, Greene County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4996	3.75032e-05
AL, Hale County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7655	5.74636e-05
AL, Henry County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8950	6.71846e-05
AL, Houston County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	46385	0.000348197
AL, Jackson County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	24773	0.000185962
AL, Jefferson County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	305262	0.0022915
AL, Lamar County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7327	5.50013e-05
AL, Lauderdale County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	44313	0.000332643
AL, Lawrence County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	15181	0.000113959
AL, Lee County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	65701	0.000493195
AL, Limestone County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	35515	0.000266598
AL, Lowndes County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	5081	3.81414e-05
AL, Macon County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10222	7.67331e-05
AL, Madison County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	154710	0.00116136
AL, Marengo County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	10208	7.6628e-05
AL, Marion County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	14702	0.000110363
AL, Marshall County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	40352	0.000302909
AL, Mobile County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	181612	0.0013633
AL, Monroe County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	11275	8.46377e-05
AL, Montgomery County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	103577	0.000777517
AL, Morgan County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	51523	0.000386765
AL, Perry County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4693	3.52287e-05
AL, Pickens County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	9449	7.09305e-05
AL, Pike County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	15734	0.00011811
AL, Randolph County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	11937	8.96071e-05
AL, Russell County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	26719	0.000200571
AL, Shelby County	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	83622	0.000627723
