Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	sampling_probability
1A	Mobile Home	No	No	1	0	0	0	256	16405.8	0.000273086
1A	Mobile Home	Yes	No	0	0.915674	0.0738632	0.0104627	13	0	3.55757e-05
1A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	21	135484	0.000901227
1A	Multi-Family with 2 - 4 Units	Yes	No	0	0.651225	0.283137	0.0656382	66	16373.1	0.000108912
1A	Multi-Family with 5+ Units	No	No	1	0	0	0	92	715626	0.0058223
1A	Multi-Family with 5+ Units	Yes	No	0	0.651225	0.283137	0.0656382	66	88751.7	0.000722081
1A	Single-Family Attached	No	No	1	0	0	0	42	146241	0.00123246
1A	Single-Family Attached	Yes	No	0	0.915674	0.0738632	0.0104627	13	27374.6	0.000230703
1A	Single-Family Detached	No	No	1	0	0	0	213	815354	0.00643287
1A	Single-Family Detached	Yes	No	0	0.96587	0.0208047	0.0133258	10	100033	0.000789223
1A	Mobile Home	No	Yes	1	0	0	0	54	0	2.02715e-05
1A	Mobile Home	Yes	Yes	0	0.599361	0.217245	0.183394	46	0	8.70375e-06
1A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	25	0	6.99662e-05
1A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.77356	0.22644	0	13	0	3.00406e-05
1A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	25	43333.8	0.000382891
1A	Multi-Family with 5+ Units	Yes	Yes	0	0.77356	0.22644	0	13	0	0.000164398
1A	Single-Family Attached	No	Yes	1	0	0	0	54	0	0.000100154
1A	Single-Family Attached	Yes	Yes	0	0.599361	0.217245	0.183394	46	1275.11	4.30022e-05
1A	Single-Family Detached	No	Yes	1	0	0	0	54	18450	0.000400472
1A	Single-Family Detached	Yes	Yes	0	0.599361	0.217245	0.183394	46	25252.4	0.000171947
2A	Mobile Home	No	No	1	0	0	0	54	645207	0.0063615
2A	Mobile Home	Yes	No	0	0.761982	0.194838	0.04318	33	353778	0.00348812
2A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	47	497501	0.00471894
2A	Multi-Family with 2 - 4 Units	Yes	No	0	0.712428	0.203005	0.0845663	15	173839	0.00164892
2A	Multi-Family with 5+ Units	No	No	1	0	0	0	104	1.52018e+06	0.0142326
2A	Multi-Family with 5+ Units	Yes	No	0	0.582243	0.346357	0.0714002	43	626479	0.00586538
2A	Single-Family Attached	No	No	1	0	0	0	51	342293	0.00270795
2A	Single-Family Attached	Yes	No	0	0.587137	0.28355	0.129314	36	188059	0.00148778
2A	Single-Family Detached	No	No	1	0	0	0	577	5.44588e+06	0.0408137
2A	Single-Family Detached	Yes	No	0	0.770612	0.182937	0.0464512	371	3.34221e+06	0.0250479
2A	Mobile Home	No	Yes	1	0	0	0	11	110478	0.000763379
2A	Mobile Home	Yes	Yes	0	0.540078	0.21738	0.242541	10	106911	0.000738727
2A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	22	69153.8	0.00038303
2A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.77356	0.22644	0	13	48186.2	0.000266893
2A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	15	216140	0.00135219
2A	Multi-Family with 5+ Units	Yes	Yes	0	0.77356	0.22644	0	13	115202	0.000720714
2A	Single-Family Attached	No	Yes	1	0	0	0	51	31900.9	0.000204825
2A	Single-Family Attached	Yes	Yes	0	0.608146	0.20303	0.188825	42	10505.3	0.000179935
2A	Single-Family Detached	No	Yes	1	0	0	0	35	324572	0.00260367
2A	Single-Family Detached	Yes	Yes	0	0.61894	0.205074	0.175986	31	292793	0.00234874
2B	Mobile Home	No	No	1	0	0	0	18	129321	0.00111524
2B	Mobile Home	Yes	No	0	0.666182	0.246058	0.0877601	146	57273.3	0.000493912
2B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	11	101192	0.000664345
2B	Multi-Family with 2 - 4 Units	Yes	No	0	0.450067	0.384547	0.165386	17	30417.4	0.000199696
2B	Multi-Family with 5+ Units	No	No	1	0	0	0	25	205482	0.00183951
2B	Multi-Family with 5+ Units	Yes	No	0	0.47307	0.407622	0.119308	14	125347	0.00112213
2B	Single-Family Attached	No	No	1	0	0	0	25	66439.1	0.000603035
2B	Single-Family Attached	Yes	No	0	0.55442	0.314072	0.131509	14	37199	0.000337638
2B	Single-Family Detached	No	No	1	0	0	0	176	938971	0.00716268
2B	Single-Family Detached	Yes	No	0	0.688635	0.224512	0.0868537	123	627702	0.00478825
2B	Mobile Home	No	Yes	1	0	0	0	10	26773.2	0.000103953
2B	Mobile Home	Yes	Yes	0	0.338033	0.337046	0.324921	26	13737.7	4.39663e-05
2B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	20	0	6.41936e-05
2B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.576076	0.164767	0.259157	39	21950.8	5.77621e-05
2B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	20	45059.1	0.000229598
2B	Multi-Family with 5+ Units	Yes	Yes	0	0.576076	0.164767	0.259157	39	18593.8	0.000206595
2B	Single-Family Attached	No	Yes	1	0	0	0	10	0	3.93676e-05
2B	Single-Family Attached	Yes	Yes	0	0.338033	0.337046	0.324921	26	2842.97	1.66502e-05
2B	Single-Family Detached	No	Yes	1	0	0	0	10	45819	0.000460215
2B	Single-Family Detached	Yes	Yes	0	0.338033	0.337046	0.324921	26	14121.7	0.000194645
3A	Mobile Home	No	No	1	0	0	0	114	922612	0.00874031
3A	Mobile Home	Yes	No	0	0.641582	0.158197	0.200221	57	418171	0.00396152
3A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	59	456167	0.00435707
3A	Multi-Family with 2 - 4 Units	Yes	No	0	0.384321	0.122219	0.49346	24	192280	0.00183655
3A	Multi-Family with 5+ Units	No	No	1	0	0	0	92	1.0498e+06	0.0101002
3A	Multi-Family with 5+ Units	Yes	No	0	0.66237	0.189017	0.148613	68	801717	0.00771333
3A	Single-Family Attached	No	No	1	0	0	0	84	366080	0.00194833
3A	Single-Family Attached	Yes	No	0	0.810772	0.156657	0.0325704	57	281386	0.00149758
3A	Single-Family Detached	No	No	1	0	0	0	834	5.95898e+06	0.0485863
3A	Single-Family Detached	Yes	No	0	0.725458	0.208209	0.0663329	637	4.3648e+06	0.0355882
3A	Mobile Home	No	Yes	1	0	0	0	10	81602.2	0.000831712
3A	Mobile Home	Yes	Yes	0	0.380768	0.327662	0.29157	13	89192.8	0.000909076
3A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	24	55843.8	0.000286443
3A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.539822	0.1404	0.319778	22	49851.1	0.000255704
3A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	17	187149	0.000773265
3A	Multi-Family with 5+ Units	Yes	Yes	0	0.529252	0.127628	0.34312	17	207403	0.000856953
3A	Single-Family Attached	No	Yes	1	0	0	0	49	35357	0.000119474
3A	Single-Family Attached	Yes	Yes	0	0.346366	0.275877	0.377756	39	0	0.00010103
3A	Single-Family Detached	No	Yes	1	0	0	0	31	227605	0.0024291
3A	Single-Family Detached	Yes	Yes	0	0.33119	0.253032	0.415778	26	202178	0.00215774
3B	Mobile Home	No	No	1	0	0	0	28	287103	0.00244659
3B	Mobile Home	Yes	No	0	0.367795	0.467607	0.164598	19	189707	0.00161661
3B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	35	486504	0.00397113
