Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=0-19%	Option=20-39%	Option=40-59%	Option=60%-79%	Option=80%-99%	Option=100%	source_count	source_weight	sampling_probability
Level 1 charger	0-100%	Mobile Home	0	0	0	0	0.256543	0.743457	0.000926626	7.06257	3.20482e-05
Level 1 charger	0-100%	Multi-Family with 2 - 4 Units	0	0	0	0	0.308894	0.691106	0.000963729	9.65636	4.72477e-05
Level 1 charger	0-100%	Multi-Family with 5+ Units	0.323041	0	0	0	0	0.676959	0.00231942	23.5965	0.00034032
Level 1 charger	0-100%	Single-Family Attached	0.0377892	0	0	0	0.327891	0.63432	0.00166488	7.69537	5.88317e-06
Level 1 charger	0-100%	Single-Family Detached	0.0184106	0	0.00199503	0	0.179163	0.800431	0.0117122	79.6189	0.000172333
Level 1 charger	100-150%	Mobile Home	0	0	0	0.274089	0.491763	0.234148	0.000560158	2.7866	1.32705e-05
Level 1 charger	100-150%	Multi-Family with 2 - 4 Units	0	0	0	0	0.731209	0.268791	0.000582587	3.81001	5.65958e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	0.825228	0	0	0	0	0.174772	0.00140212	9.31021	5.2614e-05
Level 1 charger	100-150%	Single-Family Attached	0.124476	0	0	0	0.66436	0.211164	0.00100644	3.03628	8.68225e-06
Level 1 charger	100-150%	Single-Family Detached	0.0803844	0	0.00808915	0.0771464	0.48118	0.3532	0.00708019	31.4144	0.000190446
Level 1 charger	150-200%	Mobile Home	0	0	0	0.0234901	0.692224	0.284286	0.000606372	2.88793	1.02343e-05
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	0	0	0	0	0.759265	0.240735	0.000630652	3.94855	6.15185e-06
Level 1 charger	150-200%	Multi-Family with 5+ Units	0.417943	0	0	0	0	0.582057	0.0015178	9.64875	6.07893e-05
Level 1 charger	150-200%	Single-Family Attached	0.0189229	0	0	0	0.769985	0.211093	0.00108948	3.14669	7.99201e-06
