Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
Mobile Home	Electricity	AK	1940s	0.162036	0.304233	0.146521	0.38721	0	49	0	1.87258e-08
Mobile Home	Fuel Oil	AK	1940s	0	0.709307	0	0.290693	0	11	0	2.41095e-07
Mobile Home	Natural Gas	AK	1940s	0	0.884529	0	0.115471	0	124	0	2.38754e-07
Mobile Home	None	AK	1940s	0	0	0	0	1	24	0	0
Mobile Home	Other Fuel	AK	1940s	0	0.0276248	0	0.972375	0	16	0	4.07286e-07
Mobile Home	Propane	AK	1940s	0	0.709307	0	0.290693	0	11	0	0
Mobile Home	Electricity	AK	1950s	0.256824	0.280061	0.0939452	0.36917	0	47	0	1.01968e-07
Mobile Home	Fuel Oil	AK	1950s	0	0.572786	0	0.427214	0	31	0	1.31283e-06
Mobile Home	Natural Gas	AK	1950s	0	0.838017	0	0.161983	0	123	802.902	1.30009e-06
Mobile Home	None	AK	1950s	0	0	0	0	1	31	0	0
Mobile Home	Other Fuel	AK	1950s	0	0.0180471	0	0.981953	0	25	0	6.11806e-07
Mobile Home	Propane	AK	1950s	0	0.572786	0	0.427214	0	31	0	0
Mobile Home	Electricity	AK	1960s	0.144514	0.353435	0.0420816	0.459969	0	47	0	1.89059e-06
Mobile Home	Fuel Oil	AK	1960s	0	0.7715	0	0.2285	0	10	0	6.67715e-06
Mobile Home	Natural Gas	AK	1960s	0	0.823604	0	0.176396	0	114	0	3.61884e-06
Mobile Home	None	AK	1960s	0	0	0	0	1	36	0	1.19651e-07
Mobile Home	Other Fuel	AK	1960s	0	0	0	1	0	12	0	8.70323e-07
Mobile Home	Propane	AK	1960s	0	0.7715	0	0.2285	0	10	0	4.71216e-07
Mobile Home	Electricity	AK	1970s	0.290638	0.301462	0.0465469	0.361354	0	96	941.936	2.25683e-06
Mobile Home	Fuel Oil	AK	1970s	0	0.127259	0	0.872741	0	12	941.936	2.69357e-05
Mobile Home	Natural Gas	AK	1970s	0	0.420767	0	0.579233	0	39	4694.51	2.63077e-05
Mobile Home	None	AK	1970s	0	0	0	0	1	51	0	4.32209e-07
Mobile Home	Other Fuel	AK	1970s	0	0	0	1	0	16	0	3.40247e-06
Mobile Home	Propane	AK	1970s	0	0.472974	0	0.527026	0	21	931.675	2.38014e-07
Mobile Home	Electricity	AK	1980s	0.280973	0.474405	0.0166799	0.227942	0	57	0	2.12017e-06
Mobile Home	Fuel Oil	AK	1980s	0	0.172299	0	0.827701	0	16	0	1.3313e-05
Mobile Home	Natural Gas	AK	1980s	0	0.608978	0	0.391022	0	37	1281.42	5.48783e-06
Mobile Home	None	AK	1980s	0	0	0	0	1	43	0	0
Mobile Home	Other Fuel	AK	1980s	0	0	0	1	0	11	0	4.27164e-06
Mobile Home	Propane	AK	1980s	0	0.752612	0	0.247388	0	23	0	2.16252e-07
Mobile Home	Electricity	AK	1990s	0.257473	0.500684	0.00686706	0.234977	0	72	0	6.60054e-07
Mobile Home	Fuel Oil	AK	1990s	0	0.836653	0	0.163347	0	16	0	2.2747e-06
