Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area	Option=1	Option=2	Option=3	Option=4	Option=5	source_count	source_weight	sampling_probability
Mobile Home	0-499	0.658227	0.341773	0	0	0	372	866560	0.00375154
Mobile Home	1000-1499	0.0239038	0.327863	0.607704	0.0373368	0.00319297	2093	5.38734e+06	0.0222104
Mobile Home	1500-1999	0.00705505	0.185176	0.688417	0.113954	0.00539712	938	2.41074e+06	0.00987196
Mobile Home	2000-2499	0	0.0923717	0.456935	0.423244	0.0274492	293	769350	0.00332292
Mobile Home	2500-2999	0	0.158668	0.359531	0.392861	0.0889398	70	195108	0.000886172
Mobile Home	3000-3999	0.0330925	0.0124348	0.762969	0.179913	0.0115907	33	80136.4	0.000392335
Mobile Home	4000+	0.0484986	0.310603	0.322806	0.318092	0	34	81977	0.000639156
Mobile Home	500-749	0.193191	0.567916	0.216522	0.0190304	0.00334024	659	1.65838e+06	0.00719892
Mobile Home	750-999	0.0558164	0.579052	0.346794	0.0147184	0.00361894	1290	3.45874e+06	0.0144824
Multi-Family with 2 - 4 Units	0-499	0.698259	0.301741	0	0	0	470	974466	0.00519878
Multi-Family with 2 - 4 Units	1000-1499	0.0799378	0.598397	0.296806	0.0200203	0.0048393	2440	4.85044e+06	0.0242998
Multi-Family with 2 - 4 Units	1500-1999	0.0641304	0.416971	0.423874	0.0841013	0.0109232	610	1.28308e+06	0.00602005
Multi-Family with 2 - 4 Units	2000-2499	0.0875279	0.323496	0.441208	0.115005	0.032763	218	462906	0.00252321
Multi-Family with 2 - 4 Units	2500-2999	0.120436	0.235855	0.533064	0.0960492	0.0145966	71	151661	0.000778813
Multi-Family with 2 - 4 Units	3000-3999	0.0986547	0.278644	0.412967	0.192799	0.0169349	56	124602	0.000836595
Multi-Family with 2 - 4 Units	4000+	0.094458	0.483323	0.348308	0.0380581	0.0358536	61	134102	0.000830085
Multi-Family with 2 - 4 Units	500-749	0.549533	0.398904	0.0452533	0.00550819	0.000801219	1603	3.12156e+06	0.0148205
Multi-Family with 2 - 4 Units	750-999	0.23104	0.63608	0.121233	0.0102137	0.00143335	2528	5.04638e+06	0.0246312
Multi-Family with 5+ Units	0-499	0.860478	0.139522	0	0	0	2290	4.05683e+06	0.0173128
Multi-Family with 5+ Units	1000-1499	0.124364	0.698847	0.159211	0.0164364	0.00114137	6321	1.1258e+07	0.047394
Multi-Family with 5+ Units	1500-1999	0.100416	0.519748	0.330709	0.0424566	0.00667034	1068	2.04614e+06	0.00965007
Multi-Family with 5+ Units	2000-2499	0.0722641	0.483978	0.358329	0.0837776	0.00165113	242	460500	0.00220576
Multi-Family with 5+ Units	2500-2999	0.12808	0.243952	0.456005	0.148593	0.0233694	86	174732	0.000882707
Multi-Family with 5+ Units	3000-3999	0.187428	0.212161	0.458931	0.134504	0.00697545	70	121762	0.000486663
Multi-Family with 5+ Units	4000+	0.360011	0.432751	0.154237	0.0530007	0	92	166017	0.000773867
Multi-Family with 5+ Units	500-749	0.78045	0.197364	0.0185536	0.00303783	0.000593811	6736	1.1211e+07	0.0458144
Multi-Family with 5+ Units	750-999	0.43689	0.528096	0.0289547	0.00594149	0.000117607	8274	1.41332e+07	0.0593477
Single-Family Attached	0-499	0.532918	0.467082	0	0	0	143	246424	0.000838797
Single-Family Attached	1000-1499	0.0243483	0.504243	0.427334	0.0367327	0.00734201	2989	5.54966e+06	0.0207914
Single-Family Attached	1500-1999	0.00871858	0.302949	0.59684	0.0794322	0.0120604	2009	3.63891e+06	0.0147273
Single-Family Attached	2000-2499	0.0053527	0.21559	0.569229	0.181755	0.0280737	931	1.69002e+06	0.0069238
Single-Family Attached	2500-2999	0.0139778	0.124324	0.474268	0.304732	0.0826989	364	665756	0.00263943
