Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage	Option=EnergyStar	Option=None	Option=Standard	Option=Void	source_count	source_weight	sampling_probability
None	0-100%	Mobile Home	Not Available	1940s	0	0	0	1	5.51019	175.326	0
None	0-100%	Mobile Home	Not Available	1950s	0	0	0	1	2.78237	2251.07	0
None	0-100%	Mobile Home	Not Available	1960s	0	0	0	1	0.60012	4675.19	0
None	0-100%	Mobile Home	Not Available	1970s	0	0	0	1	0.872901	6423.04	0
None	0-100%	Mobile Home	Not Available	1980s	0	0	0	1	0.927458	7654.1	0
None	0-100%	Mobile Home	Not Available	1990s	0	0	0	1	0.709232	6361.11	0
None	0-100%	Mobile Home	Not Available	2000s	0	0	0	1	0.545563	3461.82	0
None	0-100%	Mobile Home	Not Available	2010s	0	0	0	1	1.36391	2925.03	0
None	0-100%	Mobile Home	Not Available	<1940	0	0	0	1	5.51019	453.082	0
None	0-100%	Mobile Home	Owner	1940s	0	1	0	0	2.59896	80.1935	2.88232e-06
None	0-100%	Mobile Home	Owner	1950s	0	1	0	0	1.31234	1029.63	8.84797e-06
None	0-100%	Mobile Home	Owner	1960s	0	1	0	0	0.283055	2138.42	4.31099e-05
None	0-100%	Mobile Home	Owner	1970s	0	1	0	0	0.411716	2937.88	0.000215232
None	0-100%	Mobile Home	Owner	1980s	0	1	0	0	0.437448	3500.96	0.000228261
None	0-100%	Mobile Home	Owner	1990s	0	1	0	0	0.334519	2909.55	0.000191755
None	0-100%	Mobile Home	Owner	2000s	0	1	0	0	0.257322	1583.43	4.50069e-05
None	0-100%	Mobile Home	Owner	2010s	0	1	0	0	0.643306	1337.9	2.22777e-05
None	0-100%	Mobile Home	Owner	<1940	0	1	0	0	2.59896	207.238	3.28185e-06
None	0-100%	Mobile Home	Renter	1940s	0	1	0	0	0.539702	18.3696	3.34049e-06
None	0-100%	Mobile Home	Renter	1950s	0	1	0	0	0.272523	235.855	8.0929e-06
None	0-100%	Mobile Home	Renter	1960s	0	1	0	0	0.0587794	489.84	4.17584e-05
None	0-100%	Mobile Home	Renter	1970s	0	1	0	0	0.0854973	672.97	0.000158833
None	0-100%	Mobile Home	Renter	1980s	0	1	0	0	0.0908409	801.953	0.000222351
None	0-100%	Mobile Home	Renter	1990s	0	1	0	0	0.0694666	666.481	0.000171499
None	0-100%	Mobile Home	Renter	2000s	0	1	0	0	0.0534358	362.71	5.50508e-05
None	0-100%	Mobile Home	Renter	2010s	0	1	0	0	0.13359	306.468	3.60934e-05
None	0-100%	Mobile Home	Renter	<1940	0	1	0	0	0.539702	47.4714	6.07929e-06
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	5.22423	15197.2	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	2.17676	23648	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	2.9604	28866.1	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	4.00524	37817.9	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	2.9604	30805	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	1.95909	20337.8	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	1.34959	10846	0
