Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Vintage	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	Option=Void	source_count	source_weight	sampling_probability
Mobile Home	Central AC	Ducted Heat Pump	1940s	0	0	0	0	1	6	0	0
Mobile Home	Ducted Heat Pump	Ducted Heat Pump	1940s	0	0	0	1	0	168	1175.14	3.81209e-05
Mobile Home	Evaporative or Swamp Cooler	Ducted Heat Pump	1940s	0	0	0	0	1	2	0	0
Mobile Home	Non-Ducted Heat Pump	Ducted Heat Pump	1940s	0	0	0	0	1	10	0	0
Mobile Home	None	Ducted Heat Pump	1940s	0	0	0	0	1	10	0	0
Mobile Home	Room AC	Ducted Heat Pump	1940s	0	0	0	0	1	10	0	0
Mobile Home	Central AC	Ducted Heating	1940s	0	0	0	1	0	301	7020.39	9.44716e-05
Mobile Home	Ducted Heat Pump	Ducted Heating	1940s	0	0	0	0	1	6	0	0
Mobile Home	Evaporative or Swamp Cooler	Ducted Heating	1940s	0	0	0	0	1	19	0	0
Mobile Home	Non-Ducted Heat Pump	Ducted Heating	1940s	0	0	0	0	1	10	0	0
Mobile Home	None	Ducted Heating	1940s	0	0	0	1	0	10	8796.48	1.4089e-05
Mobile Home	Room AC	Ducted Heating	1940s	0	0	0	1	0	10	0	1.94235e-05
Mobile Home	Central AC	Non-Ducted Heat Pump	1940s	0	0	0	0	1	2	0	0
Mobile Home	Ducted Heat Pump	Non-Ducted Heat Pump	1940s	0	0	0	0	1	3	0	0
Mobile Home	Evaporative or Swamp Cooler	Non-Ducted Heat Pump	1940s	0	0	0	0	1	1	0	0
Mobile Home	Non-Ducted Heat Pump	Non-Ducted Heat Pump	1940s	0	0	0	1	0	5	0	7.91511e-06
Mobile Home	None	Non-Ducted Heat Pump	1940s	0	0	0	0	1	1	0	0
Mobile Home	Room AC	Non-Ducted Heat Pump	1940s	0	0	0	0	1	1	0	0
Mobile Home	Central AC	Non-Ducted Heating	1940s	0	0	0	1	0	45	1302.51	1.74446e-05
Mobile Home	Ducted Heat Pump	Non-Ducted Heating	1940s	0	0	0	0	1	3	0	0
Mobile Home	Evaporative or Swamp Cooler	Non-Ducted Heating	1940s	0	0	0	0	1	6	0	0
Mobile Home	Non-Ducted Heat Pump	Non-Ducted Heating	1940s	0	0	0	0	1	1	1352.37	0
Mobile Home	None	Non-Ducted Heating	1940s	0	0	0	1	0	34	0	1.45078e-05
Mobile Home	Room AC	Non-Ducted Heating	1940s	0	0	0	1	0	109	6595.61	4.49099e-05
Mobile Home	Central AC	None	1940s	0	0	0	1	0	6	0	2.86747e-06
Mobile Home	Ducted Heat Pump	None	1940s	0	0	0	0	1	3	0	0
Mobile Home	Evaporative or Swamp Cooler	None	1940s	0	0	0	0	1	1	0	0
Mobile Home	Non-Ducted Heat Pump	None	1940s	0	0	0	0	1	2	0	0
Mobile Home	None	None	1940s	0	0	0	1	0	3	0	3.7071e-06
Mobile Home	Room AC	None	1940s	0	0	0	1	0	10	0	1.9144e-06
Mobile Home	Central AC	Ducted Heat Pump	1950s	0	0	0	0	1	6	0	0
Mobile Home	Ducted Heat Pump	Ducted Heat Pump	1950s	0	0	0	1	0	168	11821	0.000159682
Mobile Home	Evaporative or Swamp Cooler	Ducted Heat Pump	1950s	0	0	0	0	1	2	0	0
Mobile Home	Non-Ducted Heat Pump	Ducted Heat Pump	1950s	0	0	0	0	1	10	0	0
Mobile Home	None	Ducted Heat Pump	1950s	0	0	0	0	1	10	0	0
Mobile Home	Room AC	Ducted Heat Pump	1950s	0	0	0	0	1	10	0	0
