Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	sampling_probability
East North Central	Mobile Home	0-1499	Ambient	1	1940-59	0	0	0	1	3	2534.4	0.00010971
East North Central	Mobile Home	1500-2499	Ambient	1	1940-59	0	0	0	1	1	0	9.73834e-06
East North Central	Mobile Home	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	1.93511e-06
East North Central	Mobile Home	4000+	Ambient	1	1940-59	0	0	0	1	0	0	6.3313e-08
East North Central	Mobile Home	0-1499	Ambient	2	1940-59	0	0	0	1	3	2534.4	0
East North Central	Mobile Home	1500-2499	Ambient	2	1940-59	0	0	0	1	1	0	0
East North Central	Mobile Home	2500-3999	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Ambient	3	1940-59	0	0	0	1	3	2534.4	0
East North Central	Mobile Home	1500-2499	Ambient	3	1940-59	0	0	0	1	1	0	0
East North Central	Mobile Home	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Ambient	4+	1940-59	0	0	0	1	3	2534.4	0
East North Central	Mobile Home	1500-2499	Ambient	4+	1940-59	0	0	0	1	1	0	0
East North Central	Mobile Home	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	1	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	1500-2499	Ambient	1	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	2500-3999	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	1	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	2	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	1500-2499	Ambient	2	1940-59	0	0	0	1	1	1270.09	0
East North Central	Single-Family Attached	2500-3999	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	2	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	3	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	1500-2499	Ambient	3	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	2500-3999	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	3	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	0-1499	Ambient	4+	1940-59	0	0	0	1	1	2266.55	0
East North Central	Single-Family Attached	1500-2499	Ambient	4+	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	2500-3999	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	4000+	Ambient	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Detached	0-1499	Ambient	1	1940-59	0	0	0	1	10	26709.2	0.000246777
East North Central	Single-Family Detached	1500-2499	Ambient	1	1940-59	0	0	0	1	17	17038.5	0.000109806
East North Central	Single-Family Detached	2500-3999	Ambient	1	1940-59	0	0	0	1	11	3207.06	1.28602e-05
East North Central	Single-Family Detached	4000+	Ambient	1	1940-59	0	0	0	1	3	0	1.61222e-06
East North Central	Single-Family Detached	0-1499	Ambient	2	1940-59	0	0	0	1	10	2411.91	3.34941e-05
East North Central	Single-Family Detached	1500-2499	Ambient	2	1940-59	0	0	0	1	11	21567.3	7.18832e-05
East North Central	Single-Family Detached	2500-3999	Ambient	2	1940-59	0	0	0	1	11	8303.27	2.12128e-05
East North Central	Single-Family Detached	4000+	Ambient	2	1940-59	0	0	0	1	3	1592.39	3.57531e-06
East North Central	Single-Family Detached	0-1499	Ambient	3	1940-59	0	0	0	1	10	2588.38	2.95993e-07
East North Central	Single-Family Detached	1500-2499	Ambient	3	1940-59	0	0	0	1	17	0	2.57485e-06
East North Central	Single-Family Detached	2500-3999	Ambient	3	1940-59	0	0	0	1	11	0	1.74959e-06
East North Central	Single-Family Detached	4000+	Ambient	3	1940-59	0	0	0	1	3	0	1.2581e-07
East North Central	Single-Family Detached	0-1499	Ambient	4+	1940-59	0	0	0	1	10	0	0
East North Central	Single-Family Detached	1500-2499	Ambient	4+	1940-59	0	0	0	1	17	0	0
East North Central	Single-Family Detached	2500-3999	Ambient	4+	1940-59	0	0	0	1	11	0	0
East North Central	Single-Family Detached	4000+	Ambient	4+	1940-59	0	0	0	1	3	0	0
East North Central	Mobile Home	0-1499	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	1	1940-59	0	0	0	1	120	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	1	1940-59	0	0	0	1	44	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	2	1940-59	0	0	0	1	120	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	2	1940-59	0	0	0	1	44	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	3	1940-59	0	0	0	1	120	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	3	1940-59	0	0	0	1	44	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Heated Basement	4+	1940-59	0	0	0	1	120	0	0
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	44	0	0
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	1	1940-59	0	0	0	1	148	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	1	1940-59	0	0	0	1	16	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	1	1940-59	0	0	0	1	0	0	0
