,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Maxwell Afb,-1.0,35.2
Mobile Downtown,0.9,32.9
Dothan Rgnl,-0.7,34.1
Centreville,-2.8,33.3
Birmingham Muni,-4.0,33.9
Maxwell Afb,-1.0,35.2
Middleton Fld,-2.5,33.9
Anniston Metropolit,-3.9,33.6
Columbus Metropolit,-1.5,34.6
Gadsden Muni,-5.9,32.9
Birmingham,-2.9,33.7
Meridian Key Field,-3.3,34.4
Middleton Fld,-2.5,33.9
Anniston Metropolit,-3.9,33.6
Anniston Metropolit,-3.9,33.6
Cairns Aaf,-1.1,34.6
Northwest Alabama R,-4.9,34.1
Middleton Fld,-2.5,33.9
Maxwell Afb,-1.0,35.2
Middleton Fld,-2.5,33.9
Montgomery Dannelly,-2.4,34.7
Huntsville Madison,-5.3,33.8
Cairns Aaf,-1.1,34.6
Centreville,-2.8,33.3
Gadsden Muni,-5.9,32.9
Maxwell Afb,-1.0,35.2
Middleton Fld,-2.5,33.9
Gadsden Muni,-5.9,32.9
Tuscaloosa Rgnl,-3.2,34.6
Northwest Alabama R,-4.9,34.1
Cairns Aaf,-1.1,34.6
Tuscaloosa Rgnl,-3.2,34.6
Centreville,-2.8,33.3
Dothan Rgnl,-0.7,34.1
Dothan Rgnl,-0.7,34.1
Gadsden Muni,-5.9,32.9
Birmingham Muni,-4.0,33.9
Columbus Afb,-3.9,34.8
Northwest Alabama R,-4.9,34.1
Pryor Fld Rgnl,-5.2,33.8
Columbus Metropolit,-1.5,34.6
Pryor Fld Rgnl,-5.2,33.8
Montgomery Dannelly,-2.4,34.7
Maxwell Afb,-1.0,35.2
Huntsville Madison,-5.3,33.8
Centreville,-2.8,33.3
Northwest Alabama R,-4.9,34.1
Gadsden Muni,-5.9,32.9
Mobile Bates Field,-0.5,33.3
Middleton Fld,-2.5,33.9
Maxwell Afb,-1.0,35.2
Pryor Fld Rgnl,-5.2,33.8
Centreville,-2.8,33.3
Tuscaloosa Rgnl,-3.2,34.6
Cairns Aaf,-1.1,34.6
Anniston Metropolit,-3.9,33.6
Fort Benning,-3.0,34.8
Birmingham Muni,-4.0,33.9
Birmingham,-2.9,33.7
Meridian Nas,-2.9,35.1
Anniston Metropolit,-3.9,33.6
Maxwell Afb,-1.0,35.2
Tuscaloosa Rgnl,-3.2,34.6
Birmingham Muni,-4.0,33.9
Mobile Bates Field,-0.5,33.3
Middleton Fld,-2.5,33.9
Northwest Alabama R,-4.9,34.1
Cold Bay,-11.2,14.0
Dutch Harbor,-6.0,15.2
Seward,-13.8,18.7
Cape Newenham Afs,-22.1,15.2
King Salmon,-28.6,20.2
Seward,-13.8,18.7
Dillingham Muni,-26.1,19.0
Seward,-13.8,18.7
Haines,-15.7,21.0
Gustavus,-13.6,18.9
Juneau,-12.8,21.2
Homer,-15.9,17.3
Ketchikan Intl,-7.4,20.4
Kodiak,-10.7,18.3
Iliamna Iliamna Air,-26.4,19.5
Seward,-13.8,18.7
Cape Newenham Afs,-22.1,15.2
Iliamna Iliamna Air,-26.4,19.5
Cape Newenham Afs,-22.1,15.2
Wrangell,-9.3,19.9
Klawock,-6.7,19.6
Sitka,-6.2,17.7
Haines,-15.7,21.0
Middleton Island,-5.2,16.2
Middleton Island,-5.2,16.2
Cape Newenham Afs,-22.1,15.2
Wrangell,-9.3,19.9
Gustavus,-13.6,18.9
Homer,-15.9,17.3
Window Rock,-14.1,31.1
Bisbee Douglas Intl,-3.6,36.2
Flagstaff Airport,-12.5,28.5
Ernest A Love Fld,-6.3,33.1
Safford Rgnl,-2.2,38.8
Safford Rgnl,-2.2,38.8
Blythe,3.9,43.5
Phoenix Sky Harbor,5.3,42.4
Kingman,-2.6,37.4
Winslow Aut,-9.4,35.1
Davis Monthan Afb,2.1,39.8
Phoenix Sky Harbor,5.3,42.4
Nogales Intl,-1.4,36.4
Ernest A Love Fld,-6.3,33.1
Yuma Intl Airport,7.1,42.6
Stuttgart Muni,-3.7,34.2
Monticello Muni,-2.9,35.5
Ozark Rgnl,-7.6,33.0
Bentonville Muni Tha,-8.9,32.9
Boone Co,-8.9,32.9
Monticello Muni,-2.9,35.5
South Arkansas Rgnl,-3.7,35.4
Boone Co,-8.9,32.9
Monticello Muni,-2.9,35.5
Memorial Fld,-3.7,35.8
Walnut Ridge Rgnl,-7.0,33.8
Batesville Rgnl,-6.7,34.8
Grider Fld,-3.6,35.0
South Arkansas Rgnl,-3.7,35.4
Russellville Rgnl,-6.1,35.1
Jonesboro Muni,-7.0,34.5
Fort Smith Muni,-5.7,36.0
Memphis Intl Arpt,-5.0,34.6
Jonesboro Muni,-7.0,34.5
Grider Fld,-3.6,35.0
Monticello Muni,-2.9,35.5
Monticello Muni,-2.9,35.5
Little Rock Afb,-5.7,36.0
Fort Smith Muni,-5.7,36.0
West Plains Muni,-9.1,32.7
Memorial Fld,-3.7,35.8
Grider Fld,-3.6,35.0
Jonesboro Muni,-7.0,34.5
Texarkana Rgnl Webb,-2.7,35.7
Memorial Fld,-3.7,35.8
J L Helms Sevier Co,-4.1,35.6
Batesville Rgnl,-6.7,34.8
Batesville Rgnl,-6.7,34.8
Batesville Rgnl,-6.7,34.8
Grider Fld,-3.6,35.0
Russellville Rgnl,-6.1,35.1
Texarkana Rgnl Webb,-2.7,35.7
Walnut Ridge Rgnl,-7.0,33.8
Stuttgart Muni,-3.7,34.2
Grider Fld,-3.6,35.0
Texarkana Rgnl Webb,-2.7,35.7
Fort Smith Muni,-5.7,36.0
Little Rock Afb,-5.7,36.0
Drake Fld,-8.8,33.6
Ozark Rgnl,-7.6,33.0
Texarkana Rgnl Webb,-2.7,35.7
Millington Muni Arp,-5.9,35.2
Stuttgart Muni,-3.7,34.2
Mount Ida,-5.0,34.9
Texarkana Rgnl Webb,-2.7,35.7
Boone Co,-8.9,32.9
South Arkansas Rgnl,-3.7,35.4
Russellville Rgnl,-6.1,35.1
Stuttgart Muni,-3.7,34.2
Mount Ida,-5.0,34.9
Jonesboro Muni,-7.0,34.5
J L Helms Sevier Co,-4.1,35.6
Russellville Rgnl,-6.1,35.1
Stuttgart Muni,-3.7,34.2
Little Rock Adams F,-4.8,33.9
Walnut Ridge Rgnl,-7.0,33.8
Memphis Intl Arpt,-5.0,34.6
Little Rock Adams F,-4.8,33.9
Fort Smith Muni,-5.7,36.0
Russellville Rgnl,-6.1,35.1
Fort Smith Muni,-5.7,36.0
J L Helms Sevier Co,-4.1,35.6
Batesville Rgnl,-6.7,34.8
Batesville Rgnl,-6.7,34.8
South Arkansas Rgnl,-3.7,35.4
Little Rock Afb,-5.7,36.0
Drake Fld,-8.8,33.6
Little Rock Afb,-5.7,36.0
Batesville Rgnl,-6.7,34.8
Russellville Rgnl,-6.1,35.1
Hayward Air Term,3.9,27.9
Lake Tahoe,-12.9,27.6
Lake Tahoe,-12.9,27.6
Oroville Muni,2.2,36.3
Lake Tahoe,-12.9,27.6
Yuba Co,1.0,37.3
Concord Buchanan,2.3,34.2
Jack Mc Namara Fld,2.6,18.4
Lake Tahoe,-12.9,27.6
Fresno Air Terminal,0.9,38.2
Red Bluff Municipal,0.3,38.7
Arcata,0.6,19.7
Imperial Co,3.0,42.8
Bishop Airport,-7.5,37.2
Bakersfield Meadows,1.6,38.0
Hanford Muni,-0.9,37.4
C M Schulz Sonoma Co,-0.2,32.8
Alturas Muni,-11.4,32.8
La Usc Downtown Cam,7.3,31.2
Madera Muni,0.2,37.4
Napa Co,0.1,30.8
Madera Muni,0.2,37.4
Ukiah Muni,-0.7,36.2
Merced Muni Macready,-0.1,37.2
Alturas Muni,-11.4,32.8
Bishop Airport,-7.5,37.2
Salinas Muni,2.4,25.9
Napa Co,0.1,30.8
Truckee Tahoe,-14.1,29.8
El Toro Mcas,6.6,31.3
Blue Canyon Nyack,-4.7,27.4
Truckee Tahoe,-14.1,29.8
Riverside March Afb,2.0,37.1
Mc Clellan Afld,1.1,37.4
Salinas Muni,2.4,25.9
Ontario Intl Arpt,4.3,36.4
Miramar Mcas,5.2,30.9
San Francisco Intl,5.2,25.6
Stockton Metropolit,0.6,36.6
San Luis Co Rgnl,2.4,29.1
San Francisco Intl,5.2,25.6
Santa Barbara Muni,2.6,26.3
Norman Y Mineta San,3.2,31.2
Watsonville Muni,2.4,27.3
Redding Municipal,-0.6,39.0
Truckee Tahoe,-14.1,29.8
Siskiyou Co,-7.1,33.9
Fairfield Travis Af,0.9,35.1
C M Schulz Sonoma Co,-0.2,32.8
Modesto City Co Har,1.0,37.1
Yuba Co,1.0,37.3
Red Bluff Municipal,0.3,38.7
Redding Municipal,-0.6,39.0
Visalia Muni,0.4,37.0
Lake Tahoe,-12.9,27.6
Camarillo,4.0,27.7
Sacramento Intl,0.9,36.8
Beale Afb,1.6,36.7
Buckley Afb,-12.9,32.8
Alamosa Muni Awos,-23.1,28.4
Centennial,-14.3,32.1
Alamosa Muni Awos,-23.1,28.4
Springfield Comanche,-12.2,35.0
La Junta Muni,-13.5,36.2
Buckley Afb,-12.9,32.8
Buckley Afb,-12.9,32.8
Alamosa Muni Awos,-23.1,28.4
Kit Carson County,-13.9,34.1
Centennial,-14.3,32.1
Alamosa Muni Awos,-23.1,28.4
Taos Muni Apt Awos,-16.0,29.9
La Junta Muni,-13.5,36.2
