Dependency=Geometry Building Type	Dependency=Geometry Stories	Option=1	Option=2	Option=3	Option=4	Option=10	Option=20+
Single-Family Detached	1	1	0	0	0	0	0
Single-Family Attached	1	0	0.333333333	0.333333333	0.333333333	0	0
Multi-Family with 2 - 4 Units	1	0	0.333333333	0.333333333	0.333333333	0	0
Mobile Home	1	1	0	0	0	0	0
Multi-Family with 5+ Units	1	0	0	0	0	0.5	0.5
Single-Family Detached	2+	1	0	0	0	0	0
Single-Family Attached	2+	0	0.333333333	0.333333333	0.333333333	0	0
Multi-Family with 2 - 4 Units	2+	0	0	0	1	0	0
Mobile Home	2+	1	0	0	0	0	0
Multi-Family with 5+ Units	2+	0	0	0	0	0.5	0.5
