Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=Oil Boiler	Option=Oil Furnace	Option=Oil Stove	Option=None	Count	Weight
Electricity	No	0.0	0.0	0.0	1.0	266	647480.58
Electricity	Yes	0.0	0.0	0.0	1.0	2	3268.01
Fuel Oil	No	0.0317996327432	0.948028290123	0.0201720771336	0.0	57	154545.81
Fuel Oil	Yes	0.0	0.0	0.0	1.0	0	0.0
Natural Gas	No	0.0	0.0	0.0	1.0	617	1945594.58
Natural Gas	Yes	0.0	0.0	0.0	1.0	0	0.0
Propane	No	0.0	0.0	0.0	1.0	20	48969.03
Propane	Yes	0.0	0.0	0.0	1.0	0	0.0
Wood	No	0.0	0.0	0.0	1.0	130	343125.8
Wood	Yes	0.0	0.0	0.0	1.0	0	0.0
