Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	sample_count	sample_weight
Mobile Home	0-1499	1940-59	1.000000	0.000000	0.000000	13.000000	153715.984375
Mobile Home	1500-2499	1940-59	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2500-3999	1940-59	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	4000+	1940-59	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	0-1499	1960-79	1.000000	0.000000	0.000000	171.000000	1938062.375000
Mobile Home	1500-2499	1960-79	1.000000	0.000000	0.000000	11.000000	124458.570312
Mobile Home	2500-3999	1960-79	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	4000+	1960-79	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	0-1499	1980-99	1.000000	0.000000	0.000000	229.000000	3167387.250000
Mobile Home	1500-2499	1980-99	1.000000	0.000000	0.000000	38.000000	515447.218750
Mobile Home	2500-3999	1980-99	1.000000	0.000000	0.000000	2.000000	12732.070312
Mobile Home	4000+	1980-99	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	0-1499	2000-09	1.000000	0.000000	0.000000	50.000000	329761.031250
Mobile Home	1500-2499	2000-09	1.000000	0.000000	0.000000	17.000000	128458.156250
Mobile Home	2500-3999	2000-09	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	4000+	2000-09	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	0-1499	2010s	1.000000	0.000000	0.000000	50.000000	329761.031250
Mobile Home	1500-2499	2010s	1.000000	0.000000	0.000000	17.000000	128458.156250
Mobile Home	2500-3999	2010s	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	4000+	2010s	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	0-1499	<1940	1.000000	0.000000	0.000000	2.000000	13826.120117
Mobile Home	1500-2499	<1940	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2500-3999	<1940	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	4000+	<1940	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1940-59	1.000000	0.000000	0.000000	161.000000	1592132.875000
Multi-Family with 2 - 4 Units	1500-2499	1940-59	1.000000	0.000000	0.000000	12.000000	138874.812500
Multi-Family with 2 - 4 Units	2500-3999	1940-59	1.000000	0.000000	0.000000	1.000000	37321.441406
Multi-Family with 2 - 4 Units	4000+	1940-59	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1960-79	1.000000	0.000000	0.000000	262.000000	2510853.500000
Multi-Family with 2 - 4 Units	1500-2499	1960-79	1.000000	0.000000	0.000000	17.000000	165369.484375
Multi-Family with 2 - 4 Units	2500-3999	1960-79	1.000000	0.000000	0.000000	1.000000	8878.280273
Multi-Family with 2 - 4 Units	4000+	1960-79	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1980-99	1.000000	0.000000	0.000000	183.000000	1790796.375000
Multi-Family with 2 - 4 Units	1500-2499	1980-99	1.000000	0.000000	0.000000	10.000000	56647.460938
Multi-Family with 2 - 4 Units	2500-3999	1980-99	1.000000	0.000000	0.000000	2.000000	7862.509766
Multi-Family with 2 - 4 Units	4000+	1980-99	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2000-09	1.000000	0.000000	0.000000	38.000000	157737.375000
Multi-Family with 2 - 4 Units	1500-2499	2000-09	1.000000	0.000000	0.000000	6.000000	21457.990234
Multi-Family with 2 - 4 Units	2500-3999	2000-09	1.000000	0.000000	0.000000	2.000000	5121.779785
Multi-Family with 2 - 4 Units	4000+	2000-09	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2010s	1.000000	0.000000	0.000000	38.000000	157737.375000
Multi-Family with 2 - 4 Units	1500-2499	2010s	1.000000	0.000000	0.000000	6.000000	21457.990234
Multi-Family with 2 - 4 Units	2500-3999	2010s	1.000000	0.000000	0.000000	2.000000	5121.779785
Multi-Family with 2 - 4 Units	4000+	2010s	1.000000	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	<1940	1.000000	0.000000	0.000000	190.000000	1949160.000000
Multi-Family with 2 - 4 Units	1500-2499	<1940	1.000000	0.000000	0.000000	23.000000	228573.515625
Multi-Family with 2 - 4 Units	2500-3999	<1940	1.000000	0.000000	0.000000	12.000000	116166.031250
Multi-Family with 2 - 4 Units	4000+	<1940	1.000000	0.000000	0.000000	1.000000	4687.529785
Multi-Family with 5+ Units	0-1499	1940-59	0.074101	0.327858	0.598041	201.000000	1883181.750000
Multi-Family with 5+ Units	1500-2499	1940-59	0.000000	0.183705	0.816295	6.000000	53715.160156
Multi-Family with 5+ Units	2500-3999	1940-59	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	4000+	1940-59	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	1960-79	0.083143	0.429313	0.487545	647.000000	6414887.000000
Multi-Family with 5+ Units	1500-2499	1960-79	0.093606	0.217203	0.689191	14.000000	133217.531250
Multi-Family with 5+ Units	2500-3999	1960-79	0.000000	0.000000	1.000000	1.000000	8775.309570
Multi-Family with 5+ Units	4000+	1960-79	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	1980-99	0.076168	0.442165	0.481667	579.000000	5746812.000000
Multi-Family with 5+ Units	1500-2499	1980-99	0.039834	0.642369	0.317797	17.000000	183917.671875
Multi-Family with 5+ Units	2500-3999	1980-99	0.000000	0.000000	1.000000	1.000000	8884.940430
Multi-Family with 5+ Units	4000+	1980-99	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2000-09	0.069171	0.434233	0.496596	212.000000	1082989.000000
