housing_characteristic,level
ASHRAE IECC Climate Zone 2004,0
Bathroom Spot Vent Hour,0
Dehumidifier,0
Door Area,0
Doors,0
Eaves,0
Electric Vehicle,0
Holiday Lighting,0
Interior Shading,0
Lighting Interior Use,0
Lighting Other Use,0
Mechanical Ventilation,0
Misc Gas Fireplace,0
Misc Gas Grill,0
Misc Gas Lighting,0
Misc Pool Schedule,0
Misc Well Pump,0
Natural Ventilation,0
Orientation,0
Overhangs,0
PV,0
Range Spot Vent Hour,0
Refrigeration Schedule,0
Solar Hot Water,0
Usage Level,0
County,1
Hot Water Fixtures,1
Plug Load Diversity,1
AHS Region,2
Building America Climate Zone,2
ISO RTO Region,2
PUMA,2
State,2
Census Division,3
Census Division RECS,3
Geometry Building Type ACS,3
Location Region,3
Census Region,4
Geometry Building Type RECS,4
Vintage,4
Cooling Setpoint,5
Cooling Setpoint Has Offset,5
Corridor,5
Dishwasher,5
Geometry Building Number Units HL,5
Geometry Wall Type,5
Heating Fuel,5
Heating Setpoint,5
Heating Setpoint Has Offset,5
Hot Water Distribution,5
Insulation Finished Roof,5
Insulation Interzonal Floor,5
Insulation Unfinished Attic,5
Lighting,5
Misc Extra Refrigerator,5
Misc Freezer,5
Misc Hot Tub Spa,5
Misc Pool,5
Neighbors,5
Plug Loads,5
Radiant Barrier,5
Refrigerator,5
Roof Material Finished Roof,5
Roof Material Unfinished Attic,5
Vacancy Status,5
Vintage ACS,5
Windows,5
Ceiling Fan,6
Clothes Washer Presence,6
Cooking Range,6
Cooling Setpoint Offset Magnitude,6
Cooling Setpoint Offset Period,6
Geometry Floor Area,6
Geometry Foundation Type,6
HVAC Heating Type,6
Heating Setpoint Offset Magnitude,6
Heating Setpoint Offset Period,6
Insulation Wall,6
Misc Pool Heater,6
Misc Pool Pump,6
Water Heater Fuel,6
Water Heater In Unit,6
Window Areas,6
Bedrooms,7
Clothes Dryer,7
Clothes Washer,7
Geometry Floor Area Bin,7
HVAC Cooling Type,7
Infiltration,7
Insulation Crawlspace,7
Insulation Finished Basement,7
Insulation Pier Beam,7
Insulation Slab,7
Insulation Unfinished Basement,7
Water Heater Efficiency,7
Geometry Garage,8
Geometry Stories,8
HVAC Has Ducts,8
HVAC Has Shared System,8
Occupants,8
Ducts,9
Geometry Building Number Units MF,9
Geometry Building Number Units SFA,9
HVAC Cooling Efficiency,9
HVAC Heating Efficiency,9
HVAC Shared Efficiencies,9
