Dependency=Location	Option=Pier and Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
FL_Key.West.Intl.AP.722010	0	0	0	0.05	0.95
FL_Miami.Intl.AP.722020	0	0	0	0.05	0.95
FL_West.Palm.Beach.Intl.AP.722030	0	0	0	0.05	0.95
FL_Orlando.Intl.AP.722050	0	0	0	0.05	0.95
FL_Daytona.Beach.Intl.AP.722056	0	0	0	0.05	0.95
FL_Jacksonville.Intl.AP.722060	0	0	0	0.05	0.95
GA_Savannah.Intl.AP.722070	0	0.23	0.16	0.23	0.38
SC_Charleston.Intl.AP.722080	0	0.06	0.03	0.62	0.29
FL_Tallahassee.Rgnl.AP.722140	0	0	0	0.05	0.95
GA_Macon-Middle.Georgia.Rgnl.AP.722170	0	0.23	0.16	0.23	0.38
GA_Augusta-Bush-Field.722180	0	0.23	0.16	0.23	0.38
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0	0.23	0.16	0.23	0.38
AL_Mobile-Rgnl.AP.722230	0	0.06	0.05	0.31	0.58
GA_Columbus.Metro.AP.722255	0	0.23	0.16	0.23	0.38
AL_Montgomery-Dannelly.Field.722260	0	0.06	0.05	0.31	0.58
AL_Birmingham.Muni.AP.722280	0	0.06	0.05	0.31	0.58
LA_New.Orleans.Intl.AP.722310	0	0.03	0.01	0.01	0.95
LA_Baton.Rouge-Ryan.AP.722317	0	0.03	0.01	0.01	0.95
MS_Meridian-Key.Field.722340	0	0.01	0.01	0.05	0.93
MS_Jackson.Intl.AP.722350	0	0.01	0.01	0.05	0.93
LA_Lake.Charles.Rgnl.AP.722400	0	0.03	0.01	0.01	0.95
TX_Port.Arthur-Jefferson.Co.AP.722410	0	0.01	0.01	0	0.98
TX_Houston-Bush.Intercontinental.AP.722430	0	0.01	0.01	0	0.98
TX_Lufkin-Angelina.Co.AP.722446	0	0.01	0.01	0	0.98
LA_Shreveport.Rgnl.AP.722480	0	0.03	0.01	0.01	0.95
TX_Brownsville-South.Padre.Island.AP.722500	0	0.01	0.01	0	0.98
TX_Corpus.Christi.Intl.AP.722510	0	0.01	0.01	0	0.98
TX_San.Antonio.Intl.AP.722530	0	0.01	0.01	0	0.98
TX_Austin-Mueller.Muni.AP.722540	0	0.01	0.01	0	0.98
TX_Victoria.Rgnl.AP.722550	0	0.01	0.01	0	0.98
TX_Waco.Rgnl.AP.722560	0	0.01	0.01	0	0.98
TX_Dallas-Fort.Worth.Intl.AP.722590	0	0.01	0.01	0	0.98
TX_San.Angelo-Mathis.AP.722630	0	0.01	0.01	0	0.98
TX_Midland.Intl.AP.722650	0	0.01	0.01	0	0.98
TX_Abilene.Rgnl.AP.722660	0	0.01	0.01	0	0.98
TX_Lubbock.Intl.AP.722670	0	0.01	0.01	0	0.98
TX_El.Paso.Intl.AP.722700	0	0.01	0.01	0	0.98
AZ_Tucson.Intl.AP.722740	0	0.01	0.01	0.03	0.95
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	0	0.01	0.01	0.03	0.95
CA_San.Diego-Lindbergh.Field.722900	0	0.09	0.03	0.2	0.68
CA_Los.Angeles.Intl.AP.722950	0	0.09	0.03	0.2	0.68
CA_Long.Beach-Daugherty.Field.722970	0	0.09	0.03	0.2	0.68
NC_Wilmington.Intl.AP.723013	0	0.11	0.06	0.55	0.28
NC_Cape.Hatteras.723040	0	0.11	0.06	0.55	0.28
NC_Raleigh-Durham.Intl.AP.723060	0	0.11	0.06	0.55	0.28
VA_Norfolk.Intl.AP.723080	0	0.15	0.32	0.25	0.28
SC_Columbia.Metro.AP.723100	0	0.06	0.03	0.62	0.29
GA_Athens-Ben.Epps.AP.723110	0	0.23	0.16	0.23	0.38
SC_Greer.Greenville-Spartanburg.AP.723120	0	0.06	0.03	0.62	0.29
NC_Charlotte-Douglas.Intl.AP.723140	0	0.11	0.06	0.55	0.28
NC_Asheville.Rgnl.AP.723150	0	0.11	0.06	0.55	0.28
NC_Greensboro-Piedmont.Triad.Intl.AP.723170	0	0.11	0.06	0.55	0.28
TN_Bristol-TriCities.Rgnl.AP.723183	0	0.15	0.13	0.44	0.28
AL_Huntsville.Intl.AP-Jones.Field.723230	0	0.06	0.05	0.31	0.58
TN_Chattanooga-Lovell.Field.AP.723240	0	0.15	0.13	0.44	0.28
TN_Knoxville-McGhee.Tyson.AP.723260	0	0.15	0.13	0.44	0.28
TN_Nashville.Intl.AP.723270	0	0.15	0.13	0.44	0.28
TN_Memphis.Intl.AP.723340	0	0.15	0.13	0.44	0.28
AR_Little.Rock-Adams.Field.723403	0	0.07	0.03	0.41	0.5
AR_Fort.Smith.Rgnl.AP.723440	0	0.07	0.03	0.41	0.5
