Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	Option=Oil Boiler, 90% AFUE	Option=Oil Boiler, 80% AFUE	Option=Oil Boiler, 76% AFUE	Option=Oil Furnace, 95% AFUE	Option=Oil Furnace, 90% AFUE	Option=Oil Furnace, 80% AFUE	Option=Oil Furnace, 76% AFUE	Option=Oil Wall/Floor Furnace, 68% AFUE	Option=Oil Wall/Floor Furnace, 60% AFUE
CR02	1950s	Fuel Oil	No	0.000000	0.063167	0.140102	0.039915	0.000000	0.055092	0.607443	0.094281	0.000000	0.000000
CR02	1960s	Fuel Oil	No	0.000000	0.051060	0.113332	0.025549	0.000000	0.063471	0.685602	0.060985	0.000000	0.000000
CR02	1970s	Fuel Oil	No	0.000000	0.057812	0.128616	0.005024	0.000000	0.051445	0.580067	0.177036	0.000000	0.000000
CR02	1980s	Fuel Oil	No	0.000000	0.000000	0.000000	0.000000	0.000000	0.064817	0.716431	0.218753	0.000000	0.000000
CR02	1990s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	2000s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	<1950	Fuel Oil	No	0.000000	0.038828	0.086424	0.000000	0.000000	0.073091	0.739031	0.000000	0.043838	0.018788
CR05	1950s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1960s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1970s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1980s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1990s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	2000s	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1950	Fuel Oil	No	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
