Dependency=Water Heater	Option=Tank	Option=Tankless	Option=Heat Pump
Electric Standard	1.000000	0.000000	0.000000
Electric Premium	1.000000	0.000000	0.000000
Gas Standard	1.000000	0.000000	0.000000
Gas Premium	1.000000	0.000000	0.000000
Oil Standard	1.000000	0.000000	0.000000
Oil Premium	1.000000	0.000000	0.000000
FIXME Oil Indirect	1.000000	0.000000	0.000000
Propane Standard	1.000000	0.000000	0.000000
Propane Premium	1.000000	0.000000	0.000000
FIXME Other Fuel	1.000000	0.000000	0.000000
Gas Tankless	0.000000	1.000000	0.000000
Electric Tankless	0.000000	1.000000	0.000000
Propane Tankless	0.000000	1.000000	0.000000
