Dependency=Vintage	Dependency=Geometry House Size	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	Count	Weight
<1950	0-1499	0.116463	0.032299	0.000000	0.851238	593.000000	5642881.196520
<1950	1500-2499	0.075727	0.096273	0.004882	0.823118	450.000000	4207616.559670
<1950	2500-3499	0.086543	0.091015	0.005868	0.816574	193.000000	1767455.926580
<1950	3500+	0.138100	0.268283	0.037432	0.556185	109.000000	1013195.558900
1950s	0-1499	0.180180	0.134642	0.000000	0.685178	520.000000	4704980.718990
1950s	1500-2499	0.230158	0.182914	0.006659	0.580269	434.000000	4078571.526650
1950s	2500-3499	0.222038	0.254087	0.024651	0.499224	109.000000	1046418.083940
1950s	3500+	0.185979	0.447413	0.100934	0.265674	57.000000	510967.971536
1960s	0-1499	0.206693	0.207218	0.000000	0.586090	399.000000	3677143.824000
1960s	1500-2499	0.199144	0.357973	0.003917	0.438967	353.000000	3212853.732280
1960s	2500-3499	0.178483	0.502642	0.017093	0.301783	119.000000	1104859.163710
1960s	3500+	0.066521	0.661950	0.105823	0.165707	76.000000	696651.587576
1970s	0-1499	0.158246	0.300386	0.000000	0.541368	389.000000	3453731.729080
1970s	1500-2499	0.109832	0.502165	0.028269	0.359733	463.000000	4007564.169030
1970s	2500-3499	0.085820	0.653939	0.036360	0.223882	188.000000	1583212.848080
1970s	3500+	0.045316	0.663740	0.135690	0.155253	96.000000	745789.220492
1980s	0-1499	0.132013	0.336760	0.000000	0.531227	298.000000	2859601.632180
1980s	1500-2499	0.122064	0.567117	0.025741	0.285078	416.000000	3870139.651390
1980s	2500-3499	0.118215	0.661862	0.082022	0.137901	182.000000	1620047.602380
1980s	3500+	0.039543	0.672500	0.181012	0.106945	101.000000	869421.626930
1990s	0-1499	0.095924	0.313200	0.000000	0.590876	246.000000	2447476.300380
1990s	1500-2499	0.049136	0.618715	0.093882	0.238266	408.000000	3900135.871190
1990s	2500-3499	0.049507	0.668065	0.150516	0.131912	236.000000	2137182.247800
1990s	3500+	0.016454	0.605000	0.328131	0.050415	212.000000	1872290.294330
2000s	0-1499	0.067534	0.529984	0.000000	0.402482	226.000000	2268849.846900
2000s	1500-2499	0.050020	0.670163	0.089909	0.189908	423.000000	3910028.524170
2000s	2500-3499	0.035942	0.657652	0.207084	0.099321	243.000000	2229392.980660
2000s	3500+	0.021622	0.495822	0.433296	0.049260	264.000000	2397242.798260
