Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	"Option=Uninsulated, Vented"	"Option=Wall R-5, Unvented"	"Option=Wall R-10, Unvented"	"Option=Ceiling R-13, Vented"	"Option=Ceiling R-19, Vented"	Option=None
CR03	<1950	Slab	0	0	0	0	0	1
CR04	<1950	Slab	0	0	0	0	0	1
CR06	<1950	Slab	0	0	0	0	0	1
CR07	<1950	Slab	0	0	0	0	0	1
CR08	<1950	Slab	0	0	0	0	0	1
CR09	<1950	Slab	0	0	0	0	0	1
CR10	<1950	Slab	0	0	0	0	0	1
CR11	<1950	Slab	0	0	0	0	0	1
CR02	1950s	Slab	0	0	0	0	0	1
CR05	1950s	Slab	0	0	0	0	0	1
CR03	1950s	Slab	0	0	0	0	0	1
CR04	1950s	Slab	0	0	0	0	0	1
CR06	1950s	Slab	0	0	0	0	0	1
CR07	1950s	Slab	0	0	0	0	0	1
CR08	1950s	Slab	0	0	0	0	0	1
CR09	1950s	Slab	0	0	0	0	0	1
CR10	1950s	Slab	0	0	0	0	0	1
CR11	1950s	Slab	0	0	0	0	0	1
CR02	1960s	Slab	0	0	0	0	0	1
CR05	1960s	Slab	0	0	0	0	0	1
CR03	1960s	Slab	0	0	0	0	0	1
CR04	1960s	Slab	0	0	0	0	0	1
CR06	1960s	Slab	0	0	0	0	0	1
CR07	1960s	Slab	0	0	0	0	0	1
CR08	1960s	Slab	0	0	0	0	0	1
CR09	1960s	Slab	0	0	0	0	0	1
CR10	1960s	Slab	0	0	0	0	0	1
CR11	1960s	Slab	0	0	0	0	0	1
CR02	1970s	Slab	0	0	0	0	0	1
CR05	1970s	Slab	0	0	0	0	0	1
CR03	1970s	Slab	0	0	0	0	0	1
CR04	1970s	Slab	0	0	0	0	0	1
CR06	1970s	Slab	0	0	0	0	0	1
CR07	1970s	Slab	0	0	0	0	0	1
CR08	1970s	Slab	0	0	0	0	0	1
CR09	1970s	Slab	0	0	0	0	0	1
CR10	1970s	Slab	0	0	0	0	0	1
CR11	1970s	Slab	0	0	0	0	0	1
CR02	1980s	Slab	0	0	0	0	0	1
CR05	1980s	Slab	0	0	0	0	0	1
CR03	1980s	Slab	0	0	0	0	0	1
CR04	1980s	Slab	0	0	0	0	0	1
CR06	1980s	Slab	0	0	0	0	0	1
CR07	1980s	Slab	0	0	0	0	0	1
CR08	1980s	Slab	0	0	0	0	0	1
CR09	1980s	Slab	0	0	0	0	0	1
CR10	1980s	Slab	0	0	0	0	0	1
CR11	1980s	Slab	0	0	0	0	0	1
CR02	1990s	Slab	0	0	0	0	0	1
CR05	1990s	Slab	0	0	0	0	0	1
CR03	1990s	Slab	0	0	0	0	0	1
CR04	1990s	Slab	0	0	0	0	0	1
CR06	1990s	Slab	0	0	0	0	0	1
CR07	1990s	Slab	0	0	0	0	0	1
CR08	1990s	Slab	0	0	0	0	0	1
CR09	1990s	Slab	0	0	0	0	0	1
CR10	1990s	Slab	0	0	0	0	0	1
CR11	1990s	Slab	0	0	0	0	0	1
CR02	2000s	Slab	0	0	0	0	0	1
CR05	2000s	Slab	0	0	0	0	0	1
CR03	2000s	Slab	0	0	0	0	0	1
CR04	2000s	Slab	0	0	0	0	0	1
CR06	2000s	Slab	0	0	0	0	0	1
CR07	2000s	Slab	0	0	0	0	0	1
CR08	2000s	Slab	0	0	0	0	0	1
CR09	2000s	Slab	0	0	0	0	0	1
CR10	2000s	Slab	0	0	0	0	0	1
CR11	2000s	Slab	0	0	0	0	0	1
CR02	<1950	Unheated Basement	0	0	0	0	0	1
CR05	<1950	Unheated Basement	0	0	0	0	0	1
CR03	<1950	Unheated Basement	0	0	0	0	0	1
CR04	<1950	Unheated Basement	0	0	0	0	0	1
CR06	<1950	Unheated Basement	0	0	0	0	0	1
CR07	<1950	Unheated Basement	0	0	0	0	0	1
CR08	<1950	Unheated Basement	0	0	0	0	0	1
CR09	<1950	Unheated Basement	0	0	0	0	0	1
CR10	<1950	Unheated Basement	0	0	0	0	0	1
CR11	<1950	Unheated Basement	0	0	0	0	0	1
CR02	1950s	Unheated Basement	0	0	0	0	0	1
CR05	1950s	Unheated Basement	0	0	0	0	0	1
CR03	1950s	Unheated Basement	0	0	0	0	0	1
CR04	1950s	Unheated Basement	0	0	0	0	0	1
CR06	1950s	Unheated Basement	0	0	0	0	0	1
CR07	1950s	Unheated Basement	0	0	0	0	0	1
CR08	1950s	Unheated Basement	0	0	0	0	0	1
CR09	1950s	Unheated Basement	0	0	0	0	0	1
CR10	1950s	Unheated Basement	0	0	0	0	0	1
CR11	1950s	Unheated Basement	0	0	0	0	0	1
CR02	1960s	Unheated Basement	0	0	0	0	0	1
CR05	1960s	Unheated Basement	0	0	0	0	0	1
CR03	1960s	Unheated Basement	0	0	0	0	0	1
CR04	1960s	Unheated Basement	0	0	0	0	0	1
CR06	1960s	Unheated Basement	0	0	0	0	0	1
CR07	1960s	Unheated Basement	0	0	0	0	0	1
CR08	1960s	Unheated Basement	0	0	0	0	0	1
CR09	1960s	Unheated Basement	0	0	0	0	0	1
CR10	1960s	Unheated Basement	0	0	0	0	0	1
CR11	1960s	Unheated Basement	0	0	0	0	0	1
CR02	1970s	Unheated Basement	0	0	0	0	0	1
CR05	1970s	Unheated Basement	0	0	0	0	0	1
CR03	1970s	Unheated Basement	0	0	0	0	0	1
CR04	1970s	Unheated Basement	0	0	0	0	0	1
CR06	1970s	Unheated Basement	0	0	0	0	0	1
CR07	1970s	Unheated Basement	0	0	0	0	0	1
CR08	1970s	Unheated Basement	0	0	0	0	0	1
CR09	1970s	Unheated Basement	0	0	0	0	0	1
CR10	1970s	Unheated Basement	0	0	0	0	0	1
CR11	1970s	Unheated Basement	0	0	0	0	0	1
CR02	1980s	Unheated Basement	0	0	0	0	0	1
CR05	1980s	Unheated Basement	0	0	0	0	0	1
CR03	1980s	Unheated Basement	0	0	0	0	0	1
CR04	1980s	Unheated Basement	0	0	0	0	0	1
CR06	1980s	Unheated Basement	0	0	0	0	0	1
CR07	1980s	Unheated Basement	0	0	0	0	0	1
CR08	1980s	Unheated Basement	0	0	0	0	0	1
CR09	1980s	Unheated Basement	0	0	0	0	0	1
CR10	1980s	Unheated Basement	0	0	0	0	0	1
CR11	1980s	Unheated Basement	0	0	0	0	0	1
CR02	1990s	Unheated Basement	0	0	0	0	0	1
CR05	1990s	Unheated Basement	0	0	0	0	0	1
CR03	1990s	Unheated Basement	0	0	0	0	0	1
CR04	1990s	Unheated Basement	0	0	0	0	0	1
CR06	1990s	Unheated Basement	0	0	0	0	0	1
CR07	1990s	Unheated Basement	0	0	0	0	0	1
CR08	1990s	Unheated Basement	0	0	0	0	0	1
CR09	1990s	Unheated Basement	0	0	0	0	0	1
CR10	1990s	Unheated Basement	0	0	0	0	0	1
CR11	1990s	Unheated Basement	0	0	0	0	0	1
CR02	2000s	Unheated Basement	0	0	0	0	0	1
CR05	2000s	Unheated Basement	0	0	0	0	0	1
CR03	2000s	Unheated Basement	0	0	0	0	0	1
CR04	2000s	Unheated Basement	0	0	0	0	0	1
CR06	2000s	Unheated Basement	0	0	0	0	0	1
CR07	2000s	Unheated Basement	0	0	0	0	0	1
CR08	2000s	Unheated Basement	0	0	0	0	0	1
CR09	2000s	Unheated Basement	0	0	0	0	0	1
CR10	2000s	Unheated Basement	0	0	0	0	0	1
CR11	2000s	Unheated Basement	0	0	0	0	0	1
CR02	<1950	Pier and Beam	0	0	0	0	0	1
CR05	<1950	Pier and Beam	0	0	0	0	0	1
CR03	<1950	Pier and Beam	0	0	0	0	0	1
CR04	<1950	Pier and Beam	0	0	0	0	0	1
CR06	<1950	Pier and Beam	0	0	0	0	0	1
CR07	<1950	Pier and Beam	0	0	0	0	0	1
CR08	<1950	Pier and Beam	0	0	0	0	0	1
CR09	<1950	Pier and Beam	0	0	0	0	0	1
CR10	<1950	Pier and Beam	0	0	0	0	0	1
CR11	<1950	Pier and Beam	0	0	0	0	0	1
CR02	1950s	Pier and Beam	0	0	0	0	0	1
CR05	1950s	Pier and Beam	0	0	0	0	0	1
CR03	1950s	Pier and Beam	0	0	0	0	0	1
CR04	1950s	Pier and Beam	0	0	0	0	0	1
CR06	1950s	Pier and Beam	0	0	0	0	0	1
CR07	1950s	Pier and Beam	0	0	0	0	0	1
CR08	1950s	Pier and Beam	0	0	0	0	0	1
CR09	1950s	Pier and Beam	0	0	0	0	0	1
CR10	1950s	Pier and Beam	0	0	0	0	0	1
CR11	1950s	Pier and Beam	0	0	0	0	0	1
CR02	1960s	Pier and Beam	0	0	0	0	0	1
CR05	1960s	Pier and Beam	0	0	0	0	0	1
CR03	1960s	Pier and Beam	0	0	0	0	0	1
CR04	1960s	Pier and Beam	0	0	0	0	0	1
CR06	1960s	Pier and Beam	0	0	0	0	0	1
CR07	1960s	Pier and Beam	0	0	0	0	0	1
CR08	1960s	Pier and Beam	0	0	0	0	0	1
CR09	1960s	Pier and Beam	0	0	0	0	0	1
CR10	1960s	Pier and Beam	0	0	0	0	0	1
CR11	1960s	Pier and Beam	0	0	0	0	0	1
CR02	1970s	Pier and Beam	0	0	0	0	0	1
CR05	1970s	Pier and Beam	0	0	0	0	0	1
CR03	1970s	Pier and Beam	0	0	0	0	0	1
CR04	1970s	Pier and Beam	0	0	0	0	0	1
CR06	1970s	Pier and Beam	0	0	0	0	0	1
CR07	1970s	Pier and Beam	0	0	0	0	0	1
CR08	1970s	Pier and Beam	0	0	0	0	0	1
CR09	1970s	Pier and Beam	0	0	0	0	0	1
CR10	1970s	Pier and Beam	0	0	0	0	0	1
CR11	1970s	Pier and Beam	0	0	0	0	0	1
CR02	1980s	Pier and Beam	0	0	0	0	0	1
CR05	1980s	Pier and Beam	0	0	0	0	0	1
CR03	1980s	Pier and Beam	0	0	0	0	0	1
CR04	1980s	Pier and Beam	0	0	0	0	0	1
CR06	1980s	Pier and Beam	0	0	0	0	0	1
CR07	1980s	Pier and Beam	0	0	0	0	0	1
CR08	1980s	Pier and Beam	0	0	0	0	0	1
CR09	1980s	Pier and Beam	0	0	0	0	0	1
CR10	1980s	Pier and Beam	0	0	0	0	0	1
CR11	1980s	Pier and Beam	0	0	0	0	0	1
CR02	1990s	Pier and Beam	0	0	0	0	0	1
CR05	1990s	Pier and Beam	0	0	0	0	0	1
CR03	1990s	Pier and Beam	0	0	0	0	0	1
CR04	1990s	Pier and Beam	0	0	0	0	0	1
CR06	1990s	Pier and Beam	0	0	0	0	0	1
CR07	1990s	Pier and Beam	0	0	0	0	0	1
CR08	1990s	Pier and Beam	0	0	0	0	0	1
CR09	1990s	Pier and Beam	0	0	0	0	0	1
CR10	1990s	Pier and Beam	0	0	0	0	0	1
CR11	1990s	Pier and Beam	0	0	0	0	0	1
CR02	2000s	Pier and Beam	0	0	0	0	0	1
CR05	2000s	Pier and Beam	0	0	0	0	0	1
CR03	2000s	Pier and Beam	0	0	0	0	0	1
CR04	2000s	Pier and Beam	0	0	0	0	0	1
CR06	2000s	Pier and Beam	0	0	0	0	0	1
CR07	2000s	Pier and Beam	0	0	0	0	0	1
CR08	2000s	Pier and Beam	0	0	0	0	0	1
CR09	2000s	Pier and Beam	0	0	0	0	0	1
CR10	2000s	Pier and Beam	0	0	0	0	0	1
CR11	2000s	Pier and Beam	0	0	0	0	0	1
