Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Option=None	Option=Electric Boiler	Option=Electric Furnace	Option=Electric Baseboard
CR02	1950s	Electricity	No	0.000000	0.124784	0.727610	0.147606
CR02	1960s	Electricity	No	0.000000	0.122373	0.651625	0.226002
CR02	1970s	Electricity	No	0.000000	0.000000	0.388901	0.611099
CR02	1980s	Electricity	No	0.000000	0.000000	0.642557	0.357443
CR02	1990s	Electricity	No	0.000000	0.000000	0.593281	0.406719
CR02	2000s	Electricity	No	0.000000	0.000000	0.776063	0.223937
CR02	<1950	Electricity	No	0.000000	0.054187	0.718707	0.227106
CR05	1950s	Electricity	No	1.000000	0.000000	0.000000	0.000000
CR05	1960s	Electricity	No	0.000000	1.000000	0.000000	0.000000
CR05	1970s	Electricity	No	0.000000	0.000000	0.780697	0.219303
CR05	1980s	Electricity	No	0.000000	0.000000	0.346016	0.653984
CR05	1990s	Electricity	No	0.000000	0.000000	0.340377	0.659623
CR05	2000s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR05	<1950	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Electricity	No	0.000000	0.000000	0.635357	0.364643
CR03	1960s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Electricity	No	0.000000	0.336895	0.340645	0.322459
CR03	2000s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR03	<1950	Electricity	No	0.000000	0.323558	0.347490	0.328953
CR04	1950s	Electricity	No	0.000000	0.000000	0.354046	0.645954
CR04	1960s	Electricity	No	0.000000	0.000000	0.390741	0.609259
CR04	1970s	Electricity	No	0.000000	0.000000	0.374248	0.625752
CR04	1980s	Electricity	No	0.000000	0.000000	0.929369	0.070631
CR04	1990s	Electricity	No	0.000000	0.000000	0.804123	0.195877
CR04	2000s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR04	<1950	Electricity	No	0.000000	0.000000	0.443415	0.556585
CR06	1950s	Electricity	No	0.000000	0.000000	0.088319	0.911681
CR06	1960s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Electricity	No	0.000000	0.000000	0.819028	0.180972
CR06	1980s	Electricity	No	0.000000	0.000000	0.485289	0.514711
CR06	1990s	Electricity	No	0.000000	0.000000	0.734007	0.265993
CR06	2000s	Electricity	No	0.000000	0.000000	0.780843	0.219157
CR06	<1950	Electricity	No	0.000000	0.000000	0.231832	0.768168
CR07	1950s	Electricity	No	0.000000	0.132572	0.366106	0.501323
CR07	1960s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Electricity	No	0.000000	0.000000	0.933097	0.066903
CR07	<1950	Electricity	No	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Electricity	No	0.000000	0.000000	0.563948	0.436052
CR08	1960s	Electricity	No	0.000000	0.069533	0.613957	0.316510
CR08	1970s	Electricity	No	0.000000	0.000000	0.694745	0.305255
CR08	1980s	Electricity	No	0.000000	0.000000	0.707140	0.292860
CR08	1990s	Electricity	No	0.000000	0.000000	0.807953	0.192047
CR08	2000s	Electricity	No	0.000000	0.000000	0.959851	0.040149
CR08	<1950	Electricity	No	0.000000	0.000000	0.341836	0.658164
CR09	1950s	Electricity	No	0.000000	0.000000	0.658515	0.341485
CR09	1960s	Electricity	No	0.000000	0.017675	0.808173	0.174151
CR09	1970s	Electricity	No	0.000000	0.000000	0.895975	0.104025
CR09	1980s	Electricity	No	0.000000	0.000000	0.947483	0.052517
CR09	1990s	Electricity	No	0.000000	0.000000	0.928360	0.071640
CR09	2000s	Electricity	No	0.000000	0.000000	0.966965	0.033035
CR09	<1950	Electricity	No	0.000000	0.021894	0.719862	0.258244
CR10	1950s	Electricity	No	1.000000	0.000000	0.000000	0.000000
CR10	1960s	Electricity	No	0.000000	0.000000	0.722643	0.277357
CR10	1970s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR10	1980s	Electricity	No	0.000000	0.000000	0.626311	0.373689
CR10	1990s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR10	2000s	Electricity	No	0.000000	0.000000	1.000000	0.000000
CR10	<1950	Electricity	No	1.000000	0.000000	0.000000	0.000000
CR11	1950s	Electricity	No	0.000000	0.000000	0.577691	0.422309
CR11	1960s	Electricity	No	0.000000	0.060683	0.514752	0.424565
CR11	1970s	Electricity	No	0.000000	0.000000	0.665997	0.334003
CR11	1980s	Electricity	No	0.000000	0.000000	0.881441	0.118559
CR11	1990s	Electricity	No	0.000000	0.000000	0.802993	0.197007
CR11	2000s	Electricity	No	0.000000	0.000000	0.933324	0.066676
CR11	<1950	Electricity	No	0.000000	0.000000	0.596004	0.403996
CR02	1950s	Electricity	Yes	1.000000	0.000000	0.000000	0.000000
