Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Option=No	Option=Yes
CR02	1950s	Electricity	0.900000	0.100000
CR02	1960s	Electricity	0.820000	0.180000
CR02	1970s	Electricity	0.650000	0.350000
CR02	1980s	Electricity	1.000000	0.000000
CR02	1990s	Electricity	1.000000	0.000000
CR02	2000s	Electricity	0.430000	0.570000
CR02	<1950	Electricity	0.770000	0.230000
CR05	1950s	Electricity	0.000000	1.000000
CR05	1960s	Electricity	1.000000	0.000000
CR05	1970s	Electricity	1.000000	0.000000
CR05	1980s	Electricity	1.000000	0.000000
CR05	1990s	Electricity	1.000000	0.000000
CR05	2000s	Electricity	1.000000	0.000000
CR05	<1950	Electricity	1.000000	0.000000
CR03	1950s	Electricity	1.000000	0.000000
CR03	1960s	Electricity	1.000000	0.000000
CR03	1970s	Electricity	1.000000	0.000000
CR03	1980s	Electricity	1.000000	0.000000
CR03	1990s	Electricity	1.000000	0.000000
CR03	2000s	Electricity	1.000000	0.000000
CR03	<1950	Electricity	1.000000	0.000000
CR04	1950s	Electricity	0.800000	0.200000
CR04	1960s	Electricity	0.930000	0.070000
CR04	1970s	Electricity	0.820000	0.180000
CR04	1980s	Electricity	0.700000	0.300000
CR04	1990s	Electricity	0.840000	0.160000
CR04	2000s	Electricity	0.290000	0.710000
CR04	<1950	Electricity	0.730000	0.270000
CR06	1950s	Electricity	0.910000	0.090000
CR06	1960s	Electricity	0.670000	0.330000
CR06	1970s	Electricity	0.550000	0.450000
CR06	1980s	Electricity	0.740000	0.260000
CR06	1990s	Electricity	0.470000	0.530000
CR06	2000s	Electricity	0.650000	0.350000
CR06	<1950	Electricity	0.910000	0.090000
CR07	1950s	Electricity	1.000000	0.000000
CR07	1960s	Electricity	0.890000	0.110000
CR07	1970s	Electricity	0.710000	0.290000
CR07	1980s	Electricity	0.580000	0.420000
CR07	1990s	Electricity	0.870000	0.130000
CR07	2000s	Electricity	0.090000	0.910000
CR07	<1950	Electricity	0.660000	0.340000
CR08	1950s	Electricity	0.610000	0.390000
CR08	1960s	Electricity	0.440000	0.560000
CR08	1970s	Electricity	0.530000	0.470000
CR08	1980s	Electricity	0.270000	0.730000
CR08	1990s	Electricity	0.410000	0.590000
CR08	2000s	Electricity	0.530000	0.470000
