Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	sample_weight	sample_count
1A	Mobile Home	0.002735	0.010527	0.005249	0.031960	0.105343	0.154602	0.214599	0.169590	0.223823	0.081571	0.000000	7713663.700000	906.000000
2A	Mobile Home	0.002735	0.010527	0.005249	0.031960	0.105343	0.154602	0.214599	0.169590	0.223823	0.081571	0.000000	7713663.700000	906.000000
2B	Mobile Home	0.028422	0.016309	0.040378	0.062273	0.153362	0.106556	0.365972	0.226728	0.000000	0.000000	0.000000	1233412.210000	117.000000
3A	Mobile Home	0.009878	0.002952	0.025362	0.007533	0.086357	0.189144	0.204579	0.209647	0.081992	0.153097	0.029458	7885352.100000	712.000000
3B	Mobile Home	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	3084933.740000	371.000000
3C	Mobile Home	0.074883	0.220505	0.154345	0.314479	0.076825	0.158963	0.000000	0.000000	0.000000	0.000000	0.000000	97664.390000	13.000000
4A	Mobile Home	0.003898	0.001937	0.025624	0.008622	0.088362	0.227422	0.239413	0.189264	0.101777	0.092439	0.021242	10487269.000000	1181.000000
4B	Mobile Home	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	3084933.740000	371.000000
4C	Mobile Home	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0.053213	0.039036	0.000000	0.000000	0.000000	257020.510000	25.000000
5A	Mobile Home	0.004968	0.001134	0.029665	0.018022	0.075768	0.247791	0.253807	0.178958	0.075514	0.097707	0.016665	6094564.560000	511.000000
5B	Mobile Home	0.005354	0.005608	0.061120	0.011829	0.076205	0.166847	0.263414	0.206292	0.043003	0.127650	0.032679	957836.680000	108.000000
6A	Mobile Home	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	0.000000	1326529.540000	192.000000
