,,,Unfinished Attic,Unfinished Attic,Unfinished Attic,Unfinished Attic,Unfinished Attic,Unfinished Attic,Unfinished Attic,,
Location,Location Name,Vintage,Uninsulated, Vented,Ceiling R-7 Fiberglass, Gr-1, Vented,Ceiling R-13 Fiberglass, Gr-1, Vented,Ceiling R-19 Fiberglass, Gr-1, Vented,Ceiling R-30 Fiberglass, Gr-1, Vented,Ceiling R-38 Fiberglass, Gr-1, Vented,Ceiling R-49 Fiberglass, Gr-1, Vented,Check Sum,Source
CR01,Alaska,pre-1950,0,4.14936306401574E-02,0.138385635150182,0.15796642692569,0.277818240389935,0.125867514514017,0.258468552380019,1,RBSA extrapolation - shifted down
CR01,Alaska,1950s,0,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.363693804694658,1,RBSA extrapolation - shifted down
CR01,Alaska,1960s,0,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.339823867740886,1,RBSA extrapolation - shifted down
CR01,Alaska,1970s,0,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.387438654857271,1,RBSA extrapolation - shifted down
CR01,Alaska,1980s,0,0,8.33135774037322E-03,8.37877197141599E-02,0.270642124157551,0.402462153283435,0.234776645104481,1,RBSA extrapolation - shifted down
CR01,Alaska,1990s,0,4.15899910553033E-03,6.26698495353885E-03,0,0.156082108897409,0.136870951385289,0.696620955658233,1,RBSA extrapolation - shifted down
CR01,Alaska,2000s,0,2.18752629238332E-03,0,0,5.93757136504044E-03,0.135199942306999,0.856674960035577,1,RBSA extrapolation - shifted down
CR02,Upper Midwest,1950s,0,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.363693804694658,1,RBSA extrapolation - shifted down
CR03,Mountain North,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA extrapolation - same as Pacific Northwest
CR04,New England,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA extrapolation - same as Pacific Northwest
CR05,Great Lakes,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA extrapolation - same as Pacific Northwest
CR06,Pacific Northwest,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA
CR07,Mid Atlantic,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA extrapolation - same as Pacific Northwest
CR08,Zone 4A,1950s,0.027343379774429,8.38625090828673E-02,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,1,RBSA extrapolation - same as Pacific Northwest
CR09,Southeast,1950s,0.111205888857296,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,0,1,RBSA extrapolation - shifted up
CR10,Southwest,1950s,0.111205888857296,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,0,1,RBSA extrapolation - shifted up
CR11,California,1950s,0.111205888857296,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,0,1,RBSA extrapolation - shifted up
CR12,Hawaii,1950s,0.111205888857296,0.143706757653303,0.227071683568698,0.154321865226045,0.281308248823176,8.23855558714814E-02,0,1,RBSA extrapolation - shifted up
CR02,Upper Midwest,1960s,0,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.339823867740886,1,RBSA extrapolation - shifted down
CR03,Mountain North,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA extrapolation - same as Pacific Northwest
CR04,New England,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA extrapolation - same as Pacific Northwest
CR05,Great Lakes,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA extrapolation - same as Pacific Northwest
CR06,Pacific Northwest,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA
CR07,Mid Atlantic,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA extrapolation - same as Pacific Northwest
CR08,Zone 4A,1960s,6.48501993481893E-03,3.64230924060196E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,1,RBSA extrapolation - same as Pacific Northwest
CR09,Southeast,1960s,4.29081123408385E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,0,1,RBSA extrapolation - shifted up
CR10,Southwest,1960s,4.29081123408385E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,0,1,RBSA extrapolation - shifted up
CR11,California,1960s,4.29081123408385E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,0,1,RBSA extrapolation - shifted up
CR12,Hawaii,1960s,4.29081123408385E-02,0.161535449787969,0.363442354459278,9.22902156710286E-02,0.264181845252866,7.56420224880198E-02,0,1,RBSA extrapolation - shifted up
CR02,Upper Midwest,1970s,0,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.387438654857271,1,RBSA extrapolation - shifted down
CR03,Mountain North,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA extrapolation - same as Pacific Northwest
CR04,New England,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA extrapolation - same as Pacific Northwest
CR05,Great Lakes,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA extrapolation - same as Pacific Northwest
CR06,Pacific Northwest,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA
CR07,Mid Atlantic,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA extrapolation - same as Pacific Northwest
CR08,Zone 4A,1970s,0.014066216275371,6.83369082534448E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,1,RBSA extrapolation - same as Pacific Northwest
CR09,Southeast,1970s,8.24031245288158E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,0,1,RBSA extrapolation - shifted up
CR10,Southwest,1970s,8.24031245288158E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,0,1,RBSA extrapolation - shifted up
CR11,California,1970s,8.24031245288158E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,0,1,RBSA extrapolation - shifted up
CR12,Hawaii,1970s,8.24031245288158E-02,0.118361470629721,0.222826959275094,0.188969790709099,0.30889741681623,7.85412380410411E-02,0,1,RBSA extrapolation - shifted up
CR02,Upper Midwest,1980s,0,0,8.33135774037322E-03,8.37877197141599E-02,0.270642124157551,0.402462153283435,0.234776645104481,1,RBSA extrapolation - shifted down
