Dependency=Location	Dependency=Geometry Building Type ACS	Dependency=Vintage ACS	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Counts
AL_Birmingham.Muni.AP.722280	Single-Family Detached	<1940	0.375218	0.003461	0.550939	0.003146	0.013950	0.053286	33656.783050
AL_Birmingham.Muni.AP.722280	Single-Family Detached	2010s	0.555092	0.003077	0.394306	0.004735	0.003511	0.039280	8182.140837
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1940-59s	0.363079	0.002777	0.566266	0.002295	0.011365	0.054218	80944.519340
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1960-79s	0.417692	0.001591	0.516575	0.001574	0.011183	0.051384	129716.747700
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1980-99s	0.504493	0.000456	0.432746	0.001158	0.013188	0.047959	113563.760800
AL_Birmingham.Muni.AP.722280	Single-Family Detached	2000-09s	0.611649	0.002102	0.358143	0.002695	0.003516	0.021895	73873.386320
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	<1940	0.441903	0.005058	0.345456	0.002223	0.043604	0.161757	20674.969620
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	2010s	0.815982	0.002065	0.121449	0.005387	0.017048	0.038068	9251.347837
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1940-59s	0.473602	0.002042	0.401019	0.004345	0.022669	0.096323	51390.502450
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1960-79s	0.588939	0.002153	0.294481	0.001794	0.021419	0.091214	117810.137200
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1980-99s	0.637232	0.002796	0.228214	0.002220	0.023882	0.105655	107947.202600
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	2000-09s	0.720673	0.000718	0.205461	0.003589	0.014547	0.055012	58428.451310
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	<1940	0.487323	0.000528	0.439355	0.001926	0.011996	0.058872	18100.319670
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	2010s	0.852756	0.000756	0.119296	0.002634	0.005674	0.018885	10622.739330
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1940-59s	0.501365	0.001290	0.448065	0.004241	0.005683	0.039355	66608.041480
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1960-79s	0.639114	0.000332	0.319862	0.003579	0.008873	0.028240	142511.612000
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1980-99s	0.756351	0.000263	0.207708	0.003795	0.008793	0.023090	148523.797400
