Dependency=Location	Dependency=Cooling Setpoint Has Offset	Option=0F	Option=2F	Option=5F	Option=9F
AL_Birmingham.Muni.AP.722280	Yes	0.000000	0.524991	0.292206	0.182802
AL_Huntsville.Intl.AP-Jones.Field.723230	Yes	0.000000	0.524991	0.292206	0.182802
AL_Mobile-Rgnl.AP.722230	Yes	0.000000	0.538703	0.333870	0.127427
AL_Montgomery-Dannelly.Field.722260	Yes	0.000000	0.538703	0.333870	0.127427
AR_Fort.Smith.Rgnl.AP.723440	Yes	0.000000	0.524991	0.292206	0.182802
AR_Little.Rock-Adams.Field.723403	Yes	0.000000	0.524991	0.292206	0.182802
AZ_Flagstaff-Pulliam.AP.723755	Yes	0.000000	0.458484	0.428619	0.112897
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Yes	0.000000	0.538703	0.333870	0.127427
AZ_Prescott-Love.Field.723723	Yes	0.000000	0.524991	0.292206	0.182802
AZ_Tucson.Intl.AP.722740	Yes	0.000000	0.524991	0.292206	0.182802
CA_Arcata.AP.725945	Yes	0.000000	0.524991	0.292206	0.182802
CA_Bakersfield-Meadows.Field.723840	Yes	0.000000	0.538703	0.333870	0.127427
CA_Fresno.Air.Terminal.723890	Yes	0.000000	0.538703	0.333870	0.127427
CA_Long.Beach-Daugherty.Field.722970	Yes	0.000000	0.524991	0.292206	0.182802
CA_Los.Angeles.Intl.AP.722950	Yes	0.000000	0.524991	0.292206	0.182802
CA_Sacramento.Exec.AP.724830	Yes	0.000000	0.524991	0.292206	0.182802
CA_San.Diego-Lindbergh.Field.722900	Yes	0.000000	0.524991	0.292206	0.182802
CA_San.Francisco.Intl.AP.724940	Yes	0.000000	0.524991	0.292206	0.182802
CA_Santa.Maria.Public.AP.723940	Yes	0.000000	0.524991	0.292206	0.182802
CO_Alamosa.Muni.AP.724620	Yes	0.000000	0.542244	0.337119	0.120636
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Yes	0.000000	0.599826	0.308978	0.091196
CO_Colorado.Springs-Peterson.Field.724660	Yes	0.000000	0.542244	0.337119	0.120636
CO_Eagle.County.Rgnl.AP.724675	Yes	0.000000	0.599826	0.308978	0.091196
CO_Grand.Junction-Walker.Field.724760	Yes	0.000000	0.599826	0.308978	0.091196
CO_Pueblo.Mem.AP.724640	Yes	0.000000	0.542244	0.337119	0.120636
CT_Bridgeport-Sikorsky.Mem.AP.725040	Yes	0.000000	0.542244	0.337119	0.120636
CT_Hartford-Bradley.Intl.AP.725080	Yes	0.000000	0.542244	0.337119	0.120636
DE_Wilmington-New.Castle.County.AP.724089	Yes	0.000000	0.458484	0.428619	0.112897
FL_Daytona.Beach.Intl.AP.722056	Yes	0.000000	0.538703	0.333870	0.127427
FL_Jacksonville.Intl.AP.722060	Yes	0.000000	0.538703	0.333870	0.127427
FL_Key.West.Intl.AP.722010	Yes	0.000000	0.538703	0.333870	0.127427
FL_Miami.Intl.AP.722020	Yes	0.000000	0.538703	0.333870	0.127427
FL_Orlando.Intl.AP.722050	Yes	0.000000	0.538703	0.333870	0.127427
FL_Tallahassee.Rgnl.AP.722140	Yes	0.000000	0.538703	0.333870	0.127427
FL_West.Palm.Beach.Intl.AP.722030	Yes	0.000000	0.538703	0.333870	0.127427
GA_Athens-Ben.Epps.AP.723110	Yes	0.000000	0.524991	0.292206	0.182802
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Yes	0.000000	0.524991	0.292206	0.182802
GA_Augusta-Bush-Field.722180	Yes	0.000000	0.524991	0.292206	0.182802
GA_Columbus.Metro.AP.722255	Yes	0.000000	0.524991	0.292206	0.182802
GA_Macon-Middle.Georgia.Rgnl.AP.722170	Yes	0.000000	0.538703	0.333870	0.127427
GA_Savannah.Intl.AP.722070	Yes	0.000000	0.538703	0.333870	0.127427
IA_Des.Moines.Intl.AP.725460	Yes	0.000000	0.542244	0.337119	0.120636
IA_Mason.City.Muni.AP.725485	Yes	0.000000	0.599826	0.308978	0.091196
IA_Sioux.City-Sioux.Gateway.AP.725570	Yes	0.000000	0.542244	0.337119	0.120636
IA_Waterloo.Muni.AP.725480	Yes	0.000000	0.542244	0.337119	0.120636
ID_Boise.Air.Terminal.726810	Yes	0.000000	0.542244	0.337119	0.120636
ID_Pocatello.Muni.AP.725780	Yes	0.000000	0.599826	0.308978	0.091196
IL_Chicago-OHare.Intl.AP.725300	Yes	0.000000	0.542244	0.337119	0.120636
IL_Moline-Quad.City.Intl.AP.725440	Yes	0.000000	0.542244	0.337119	0.120636
IL_Peoria-Greater.Peoria.AP.725320	Yes	0.000000	0.542244	0.337119	0.120636
IL_Rockford-Greater.Rockford.AP.725430	Yes	0.000000	0.542244	0.337119	0.120636
IL_Springfield-Capital.AP.724390	Yes	0.000000	0.542244	0.337119	0.120636
IN_Evansville.Rgnl.AP.724320	Yes	0.000000	0.458484	0.428619	0.112897
IN_Fort.Wayne.Intl.AP.725330	Yes	0.000000	0.542244	0.337119	0.120636
IN_Indianapolis.Intl.AP.724380	Yes	0.000000	0.542244	0.337119	0.120636
IN_South.Bend-Michiana.Rgnl.AP.725350	Yes	0.000000	0.542244	0.337119	0.120636
KS_Dodge.City.Rgnl.AP.724510	Yes	0.000000	0.458484	0.428619	0.112897
KS_Goodland-Renner.Field.724650	Yes	0.000000	0.542244	0.337119	0.120636
KS_Topeka-Phillip.Billard.Muni.AP.724560	Yes	0.000000	0.458484	0.428619	0.112897
KS_Wichita-Mid.Continent.AP.724500	Yes	0.000000	0.458484	0.428619	0.112897
KY_Cincinnati-Northern.Kentucky.AP.724210	Yes	0.000000	0.458484	0.428619	0.112897
KY_Lexington-Bluegrass.AP.724220	Yes	0.000000	0.458484	0.428619	0.112897
KY_Louisville-Standiford.Field.724230	Yes	0.000000	0.458484	0.428619	0.112897
LA_Baton.Rouge-Ryan.AP.722317	Yes	0.000000	0.538703	0.333870	0.127427
LA_Lake.Charles.Rgnl.AP.722400	Yes	0.000000	0.538703	0.333870	0.127427
LA_New.Orleans.Intl.AP.722310	Yes	0.000000	0.538703	0.333870	0.127427
LA_Shreveport.Rgnl.AP.722480	Yes	0.000000	0.538703	0.333870	0.127427
MA_Boston-Logan.Intl.AP.725090	Yes	0.000000	0.542244	0.337119	0.120636
MA_Worcester.Rgnl.AP.725095	Yes	0.000000	0.542244	0.337119	0.120636
MD_Baltimore-Washington.Intl.AP.724060	Yes	0.000000	0.458484	0.428619	0.112897
ME_Caribou.Muni.AP.727120	Yes	0.000000	0.599826	0.308978	0.091196
ME_Portland.Intl.Jetport.726060	Yes	0.000000	0.599826	0.308978	0.091196
MI_Alpena.County.Rgnl.AP.726390	Yes	0.000000	0.599826	0.308978	0.091196
MI_Detroit.Metro.AP.725370	Yes	0.000000	0.542244	0.337119	0.120636
MI_Flint-Bishop.Intl.AP.726370	Yes	0.000000	0.542244	0.337119	0.120636
MI_Grand.Rapids-Kent.County.Intl.AP.726350	Yes	0.000000	0.542244	0.337119	0.120636
MI_Houghton-Lake.Roscommon.County.AP.726380	Yes	0.000000	0.599826	0.308978	0.091196
MI_Lansing-Capital.City.AP.725390	Yes	0.000000	0.542244	0.337119	0.120636
MI_Muskegon.County.AP.726360	Yes	0.000000	0.599826	0.308978	0.091196
MI_Sault.Ste.Marie-Sanderson.Field.727340	Yes	0.000000	0.599826	0.308978	0.091196
MI_Traverse.City-Cherry.Capital.AP.726387	Yes	0.000000	0.599826	0.308978	0.091196
MN_Duluth.Intl.AP.727450	Yes	0.000000	0.599826	0.308978	0.091196
MN_International.Falls.Intl.AP.727470	Yes	0.000000	0.599826	0.308978	0.091196
MN_Minneapolis-St.Paul.Intl.AP.726580	Yes	0.000000	0.599826	0.308978	0.091196
MN_Rochester.Intl.AP.726440	Yes	0.000000	0.599826	0.308978	0.091196
MN_St.Cloud.Muni.AP.726550	Yes	0.000000	0.599826	0.308978	0.091196
MO_Columbia.Rgnl.AP.724450	Yes	0.000000	0.458484	0.428619	0.112897
MO_Kansas.City.Intl.AP.724460	Yes	0.000000	0.458484	0.428619	0.112897
MO_Springfield.Rgnl.AP.724400	Yes	0.000000	0.458484	0.428619	0.112897
MO_St.Louis-Lambert.Intl.AP.724340	Yes	0.000000	0.458484	0.428619	0.112897
MS_Jackson.Intl.AP.722350	Yes	0.000000	0.538703	0.333870	0.127427
MS_Meridian-Key.Field.722340	Yes	0.000000	0.538703	0.333870	0.127427
MT_Billings-Logan.Intl.AP.726770	Yes	0.000000	0.599826	0.308978	0.091196
MT_Cut.Bank.Muni.AP.727796	Yes	0.000000	0.599826	0.308978	0.091196
MT_Glasgow.Intl.AP.727680	Yes	0.000000	0.599826	0.308978	0.091196
MT_Great.Falls.Intl.AP.727750	Yes	0.000000	0.599826	0.308978	0.091196
MT_Helena.Rgnl.AP.727720	Yes	0.000000	0.599826	0.308978	0.091196
MT_Kalispell-Glacier.Park.Intl.AP.727790	Yes	0.000000	0.599826	0.308978	0.091196
MT_Lewistown.Muni.AP.726776	Yes	0.000000	0.599826	0.308978	0.091196
MT_Miles.City.Muni.AP.742300	Yes	0.000000	0.599826	0.308978	0.091196
MT_Missoula.Intl.AP.727730	Yes	0.000000	0.599826	0.308978	0.091196
NC_Asheville.Rgnl.AP.723150	Yes	0.000000	0.524991	0.292206	0.182802
NC_Cape.Hatteras.723040	Yes	0.000000	0.524991	0.292206	0.182802
NC_Charlotte-Douglas.Intl.AP.723140	Yes	0.000000	0.524991	0.292206	0.182802
NC_Greensboro-Piedmont.Triad.Intl.AP.723170	Yes	0.000000	0.524991	0.292206	0.182802
NC_Raleigh-Durham.Intl.AP.723060	Yes	0.000000	0.524991	0.292206	0.182802
NC_Wilmington.Intl.AP.723013	Yes	0.000000	0.524991	0.292206	0.182802
ND_Bismarck.Muni.AP.727640	Yes	0.000000	0.599826	0.308978	0.091196
ND_Fargo-Hector.Intl.AP.727530	Yes	0.000000	0.599826	0.308978	0.091196
ND_Minot.Intl.AP.727676	Yes	0.000000	0.599826	0.308978	0.091196
NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	Yes	0.000000	0.599826	0.308978	0.091196
NE_Norfolk-Karl.Stefan.Mem.AP.725560	Yes	0.000000	0.599826	0.308978	0.091196
NE_North.Platte.Rgnl.AP.725620	Yes	0.000000	0.599826	0.308978	0.091196
NE_Omaha-Eppley.Airfield.725500	Yes	0.000000	0.599826	0.308978	0.091196
NE_Scottsbluff-W.B.Heilig.Field.725660	Yes	0.000000	0.599826	0.308978	0.091196
NH_Concord.Muni.AP.726050	Yes	0.000000	0.599826	0.308978	0.091196
NJ_Atlantic.City.Intl.AP.724070	Yes	0.000000	0.542244	0.337119	0.120636
NJ_Newark.Intl.AP.725020	Yes	0.000000	0.542244	0.337119	0.120636
NM_Albuquerque.Intl.AP.723650	Yes	0.000000	0.542244	0.337119	0.120636
NM_Tucumcari.AP.723676	Yes	0.000000	0.458484	0.428619	0.112897
NV_Elko.Muni.AP.725825	Yes	0.000000	0.599826	0.308978	0.091196
NV_Ely-Yelland.Field.724860	Yes	0.000000	0.599826	0.308978	0.091196
NV_Las.Vegas-McCarran.Intl.AP.723860	Yes	0.000000	0.538703	0.333870	0.127427
NV_Reno-Tahoe.Intl.AP.724880	Yes	0.000000	0.542244	0.337119	0.120636
NV_Tonopah.AP.724855	Yes	0.000000	0.542244	0.337119	0.120636
NV_Winnemucca.Muni.AP.725830	Yes	0.000000	0.542244	0.337119	0.120636
NY_Albany.County.AP.725180	Yes	0.000000	0.599826	0.308978	0.091196
NY_Binghamton-Edwin.A.Link.Field.725150	Yes	0.000000	0.599826	0.308978	0.091196
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	Yes	0.000000	0.542244	0.337119	0.120636
NY_Massena.AP.726223	Yes	0.000000	0.599826	0.308978	0.091196
NY_New.York-J.F.Kennedy.Intl.AP.744860	Yes	0.000000	0.458484	0.428619	0.112897
NY_Rochester-Greater.Rochester.Intl.AP.725290	Yes	0.000000	0.542244	0.337119	0.120636
NY_Syracuse-Hancock.Intl.AP.725190	Yes	0.000000	0.599826	0.308978	0.091196
OH_Akron.Canton.Rgnl.AP.725210	Yes	0.000000	0.542244	0.337119	0.120636
OH_Cleveland-Hopkins.Intl.AP.725240	Yes	0.000000	0.542244	0.337119	0.120636
OH_Columbus-Port.Columbus.Intl.AP.724280	Yes	0.000000	0.542244	0.337119	0.120636
OH_Dayton.Intl.AP.724290	Yes	0.000000	0.542244	0.337119	0.120636
OH_Mansfield-Lahm.Muni.AP.725246	Yes	0.000000	0.542244	0.337119	0.120636
OH_Toledo.Express.AP.725360	Yes	0.000000	0.542244	0.337119	0.120636
OH_Youngstown.Rgnl.AP.725250	Yes	0.000000	0.542244	0.337119	0.120636
OK_Oklahoma.City-Will.Rogers.World.AP.723530	Yes	0.000000	0.458484	0.428619	0.112897
OK_Tulsa.Intl.AP.723560	Yes	0.000000	0.524991	0.292206	0.182802
OR_Astoria.Rgnl.AP.727910	Yes	0.000000	0.458484	0.428619	0.112897
OR_Burns.Muni.AP.726830	Yes	0.000000	0.542244	0.337119	0.120636
OR_Eugene-Mahlon.Sweet.AP.726930	Yes	0.000000	0.458484	0.428619	0.112897
OR_Medford-Rogue.Valley.Intl.AP.725970	Yes	0.000000	0.458484	0.428619	0.112897
OR_North.Bend.Muni.AP.726917	Yes	0.000000	0.542244	0.337119	0.120636
OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	Yes	0.000000	0.542244	0.337119	0.120636
OR_Portland.Intl.AP.726980	Yes	0.000000	0.458484	0.428619	0.112897
OR_Redmond-Roberts.Field.726835	Yes	0.000000	0.542244	0.337119	0.120636
