Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type	"Option=Uninsulated, Vented"	"Option=Wall R-5, Unvented"	"Option=Wall R-10, Unvented"	"Option=Ceiling R-13, Vented"	"Option=Ceiling R-19, Vented"	Option=None
CR02	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR05	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR03	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR04	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR06	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR07	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR08	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR09	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR10	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR11	<1940	Crawl	Single-Family Detached	1	0	0	0	0	0
CR02	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR05	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR03	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR04	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR06	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR07	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR08	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR09	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR10	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR11	1950s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR02	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR05	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR03	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR04	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR06	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR07	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR08	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR09	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR10	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR11	1960s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR02	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR05	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR03	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR04	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR06	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR07	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR08	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR09	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR10	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR11	1970s	Crawl	Single-Family Detached	1	0	0	0	0	0
CR02	1980s	Crawl	Single-Family Detached	0.52	0	0.16	0	0.32	0
CR05	1980s	Crawl	Single-Family Detached	0.3	0	0.61	0	0.09	0
CR03	1980s	Crawl	Single-Family Detached	0.32	0	0.22	0	0.46	0
CR04	1980s	Crawl	Single-Family Detached	0.1	0	0.83	0	0.08	0
CR06	1980s	Crawl	Single-Family Detached	0.21	0	0.09	0	0.7	0
CR07	1980s	Crawl	Single-Family Detached	0.44	0	0.07	0	0.49	0
CR08	1980s	Crawl	Single-Family Detached	0.41	0	0	0	0.59	0
CR09	1980s	Crawl	Single-Family Detached	0.39	0	0.31	0	0.29	0
CR10	1980s	Crawl	Single-Family Detached	0.37	0	0.09	0	0.53	0
CR11	1980s	Crawl	Single-Family Detached	0.21	0	0.09	0	0.7	0
CR02	1990s	Crawl	Single-Family Detached	0	0.2	0.24	0.4	0.15	0
CR05	1990s	Crawl	Single-Family Detached	0	0	0.39	0.4	0.21	0
CR03	1990s	Crawl	Single-Family Detached	0	0	0.04	0.35	0.6	0
CR04	1990s	Crawl	Single-Family Detached	0.01	0.2	0.44	0.23	0.12	0
CR06	1990s	Crawl	Single-Family Detached	0.02	0.01	0.01	0.05	0.92	0
CR07	1990s	Crawl	Single-Family Detached	0	0.13	0.11	0.08	0.68	0
CR08	1990s	Crawl	Single-Family Detached	0.18	0.03	0.21	0.11	0.47	0
CR09	1990s	Crawl	Single-Family Detached	0.1	0	0	0.53	0.36	0
CR10	1990s	Crawl	Single-Family Detached	0	0	0.01	0.39	0.61	0
CR11	1990s	Crawl	Single-Family Detached	0.03	0	0.01	0.1	0.86	0
CR02	2000s	Crawl	Single-Family Detached	0.02	0.12	0.24	0.44	0.17	0
CR05	2000s	Crawl	Single-Family Detached	0	0.01	0.48	0.33	0.17	0
CR03	2000s	Crawl	Single-Family Detached	0	0.05	0.07	0.32	0.55	0
CR04	2000s	Crawl	Single-Family Detached	0.08	0.22	0.26	0.29	0.15	0
CR06	2000s	Crawl	Single-Family Detached	0.02	0	0.19	0.04	0.76	0
CR07	2000s	Crawl	Single-Family Detached	0.03	0.06	0.22	0.07	0.62	0
CR08	2000s	Crawl	Single-Family Detached	0.13	0.06	0.29	0.1	0.42	0
CR09	2000s	Crawl	Single-Family Detached	0.1	0	0.04	0.51	0.35	0
CR10	2000s	Crawl	Single-Family Detached	0	0.1	0.05	0.33	0.52	0
CR11	2000s	Crawl	Single-Family Detached	0.07	0	0.09	0.09	0.75	0
CR02	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR05	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR03	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR04	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR06	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR07	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR08	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR09	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR10	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR11	<1940	Crawl	Single-Family Attached	1	0	0	0	0	0
CR02	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR05	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR03	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR04	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR06	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR07	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR08	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR09	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR10	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR11	1950s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR02	1960s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR05	1960s	Crawl	Single-Family Attached	1	0	0	0	0	0
CR03	1960s	Crawl	Single-Family Attached	1	0	0	0	0	0
