Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Count	Weight
CR02	<1940	Mobile Home	1	0	0	0	0
CR02	<1940	Multi-Family with 2 - 4 Units	0.642056	0.357932	0	18	165361.5891
CR02	<1940	Multi-Family with 5+ Units	0.341011	0.658967	0	10	90027.26284
CR02	<1940	Single-Family Attached	0.635416	0.364522	0	6	32441.10174
CR02	<1940	Single-Family Detached	0.380577	0.619421	0	176	1134613.306
CR02	1940s	Mobile Home	1	0	0	0	0
CR02	1940s	Multi-Family with 2 - 4 Units	0.642056	0.357932	0	18	165361.5891
CR02	1940s	Multi-Family with 5+ Units	0.341011	0.658967	0	10	90027.26284
CR02	1940s	Single-Family Attached	0.635416	0.364522	0	6	32441.10174
CR02	1940s	Single-Family Detached	0.380577	0.619421	0	176	1134613.306
CR02	1950s	Mobile Home	0	0.999762	0	1	8385.213345
CR02	1950s	Multi-Family with 2 - 4 Units	0.875048	0.124916	0	6	55793.22245
CR02	1950s	Multi-Family with 5+ Units	0.589177	0.410781	0	6	47295.69673
CR02	1950s	Single-Family Attached	0.670725	0.329199	0	5	26252.58621
CR02	1950s	Single-Family Detached	0.308109	0.68458	0.007307	100	650287.623
CR02	1960s	Mobile Home	0.999718	0	0	1	7088.752818
CR02	1960s	Multi-Family with 2 - 4 Units	0.999963	0	0	5	53614.06717
CR02	1960s	Multi-Family with 5+ Units	0.591903	0.408082	0	19	131682.0684
CR02	1960s	Single-Family Attached	0.197254	0.802566	0	3	11078.02128
CR02	1960s	Single-Family Detached	0.3903	0.609696	0	71	457502.4459
CR02	1970s	Mobile Home	0.699422	0.300535	0	6	47172.16736
CR02	1970s	Multi-Family with 2 - 4 Units	0.649067	0.350912	0	12	96227.19025
CR02	1970s	Multi-Family with 5+ Units	0.396402	0.603589	0	32	225293.4328
CR02	1970s	Single-Family Attached	0.155756	0.844219	0	12	79785.55356
CR02	1970s	Single-Family Detached	0.250749	0.736238	0.013011	106	650638.9834
CR02	1980s	Mobile Home	0.873457	0.126513	0	7	66277.34413
CR02	1980s	Multi-Family with 2 - 4 Units	0	0.999933	0	4	30005.38625
CR02	1980s	Multi-Family with 5+ Units	0.413635	0.586352	0	22	151005.3272
CR02	1980s	Single-Family Attached	0.089725	0.820512	0.089725	10	51519.97195
CR02	1980s	Single-Family Detached	0.119408	0.880588	0	78	474232.6335
CR02	1990s	Mobile Home	0.37927	0.620711	0	12	102888.3446
CR02	1990s	Multi-Family with 2 - 4 Units	0	0.999817	0	1	10910.10279
CR02	1990s	Multi-Family with 5+ Units	0.205886	0.794094	0	12	98249.71548
CR02	1990s	Single-Family Attached	0.257743	0.74222	0	10	53421.67272
CR02	1990s	Single-Family Detached	0.073663	0.916906	0.009427	82	498247.5449
CR02	2000s	Mobile Home	0.624999	0.37491	0	2	22063.47621
CR02	2000s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR02	2000s	Multi-Family with 5+ Units	0.124006	0.875973	0	13	95640.56632
CR02	2000s	Single-Family Attached	0.085555	0.914425	0	18	100397.783
CR02	2000s	Single-Family Detached	0.042713	0.93833	0.018953	75	455096.8464
CR02	2010s	Mobile Home	0.624999	0.37491	0	2	22063.47621
CR02	2010s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR02	2010s	Multi-Family with 5+ Units	0.124006	0.875973	0	13	95640.56632
CR02	2010s	Single-Family Attached	0.085555	0.914425	0	18	100397.783
CR02	2010s	Single-Family Detached	0.042713	0.93833	0.018953	75	455096.8464
CR03	<1940	Mobile Home	1	0	0	0	0
CR03	<1940	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR03	<1940	Multi-Family with 5+ Units	1	0	0	0	0
CR03	<1940	Single-Family Attached	1	0	0	0	0
CR03	<1940	Single-Family Detached	1	0	0	0	0
CR03	1940s	Mobile Home	1	0	0	0	0
CR03	1940s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR03	1940s	Multi-Family with 5+ Units	1	0	0	0	0
CR03	1940s	Single-Family Attached	1	0	0	0	0
CR03	1940s	Single-Family Detached	1	0	0	0	0
CR03	1950s	Mobile Home	1	0	0	0	0
CR03	1950s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR03	1950s	Multi-Family with 5+ Units	1	0	0	0	0
CR03	1950s	Single-Family Attached	1	0	0	0	0
CR03	1950s	Single-Family Detached	1	0	0	0	0
CR03	1960s	Mobile Home	1	0	0	0	0
CR03	1960s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR03	1960s	Multi-Family with 5+ Units	1	0	0	0	0
CR03	1960s	Single-Family Attached	1	0	0	0	0
CR03	1960s	Single-Family Detached	1	0	0	0	0
CR03	1970s	Mobile Home	1	0	0	0	0
CR03	1970s	Multi-Family with 2 - 4 Units	1	0	0	0	0
CR03	1970s	Multi-Family with 5+ Units	1	0	0	0	0
CR03	1970s	Single-Family Attached	1	0	0	0	0
