Dependency=Geometry Building Type ACS	Option=Mobile Home	Option=Multi-Family with 2 - 4 Units	Option=Multi-Family with 5+ Units	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
10 to 19 Unit	0.000000	0.000000	1.000000	0.000000	0.000000	197478.000000	5167636.000000
2 Unit	0.000000	1.000000	0.000000	0.000000	0.000000	186827.000000	4200842.000000
20 to 49 Unit	0.000000	0.000000	1.000000	0.000000	0.000000	169474.000000	4138712.000000
3 or 4 Unit	0.000000	1.000000	0.000000	0.000000	0.000000	222100.000000	5102745.000000
5 to 9 Unit	0.000000	0.000000	1.000000	0.000000	0.000000	222256.000000	5536885.000000
50 or more Unit	0.000000	0.000000	1.000000	0.000000	0.000000	261037.000000	6024317.000000
Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	368300.000000	6813957.000000
Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000	340474.000000	7028482.000000
Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000	4129424.000000	74104320.000000
# Created by: sources\pums\tsv_maker.py
# Source: Constructed using 5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.
