Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	source_count	source_weight
AL, 00100	10 to 19 Unit	0.010770	0.015078	0.131933	0.280560	0.137318	0.276252	0.053312	0.094777	0.000000	64.000000	1857.000000
AL, 00100	2 Unit	0.021558	0.093933	0.184786	0.212504	0.105944	0.125346	0.183554	0.059132	0.013243	148.000000	3247.000000
AL, 00100	20 to 49 Unit	0.000000	0.072275	0.137441	0.161137	0.119668	0.285545	0.135071	0.069905	0.018957	41.000000	844.000000
AL, 00100	3 or 4 Unit	0.016787	0.180325	0.096209	0.144585	0.159567	0.207040	0.086462	0.089350	0.019675	196.000000	5540.000000
AL, 00100	5 to 9 Unit	0.001213	0.034106	0.012581	0.217068	0.209186	0.216765	0.160224	0.146279	0.002577	190.000000	6597.000000
AL, 00100	50 or more Unit	0.061166	0.060455	0.049787	0.346373	0.107397	0.162873	0.078236	0.074680	0.059033	73.000000	1406.000000
AL, 00100	Mobile Home	0.000577	0.005927	0.006557	0.132547	0.240650	0.428272	0.105167	0.072961	0.007343	868.000000	19065.000000
AL, 00100	Single-Family Attached	0.123975	0.026639	0.058402	0.371926	0.132172	0.171107	0.033811	0.081967	0.000000	57.000000	976.000000
AL, 00100	Single-Family Detached	0.052161	0.128573	0.143844	0.201919	0.111702	0.135367	0.120525	0.031473	0.074436	6829.000000	133068.000000
AL, 00200	10 to 19 Unit	0.000000	0.000000	0.061417	0.128084	0.255643	0.213648	0.130184	0.211024	0.000000	43.000000	1905.000000
AL, 00200	2 Unit	0.102385	0.066318	0.223967	0.243746	0.039558	0.050029	0.041885	0.232112	0.000000	63.000000	1719.000000
AL, 00200	20 to 49 Unit	0.000000	0.000000	0.072639	0.440678	0.242131	0.072639	0.171913	0.000000	0.000000	15.000000	413.000000
AL, 00200	3 or 4 Unit	0.000000	0.084034	0.045837	0.305577	0.333079	0.046600	0.184874	0.000000	0.000000	47.000000	1309.000000
