Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry House Size	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	Count	Weight
Mobile Home	<1940	0-1499	0.000000	0.000000	0.000000	1.000000	3.000000	20739.187050
Mobile Home	<1940	1500-2499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	<1940	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	<1940	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1940s	0-1499	0.000000	0.000000	0.000000	1.000000	3.000000	20739.187050
Mobile Home	1940s	1500-2499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1940s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1940s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1950s	0-1499	0.000000	0.000000	0.000000	1.000000	12.000000	146802.916200
Mobile Home	1950s	1500-2499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1950s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1950s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1960s	0-1499	0.000000	0.000000	0.000000	1.000000	33.000000	332831.049400
Mobile Home	1960s	1500-2499	0.000000	0.000000	0.000000	1.000000	2.000000	23883.722120
Mobile Home	1960s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1960s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1970s	0-1499	0.000000	0.000000	0.000000	1.000000	143.000000	1669181.400000
Mobile Home	1970s	1500-2499	0.000000	0.000000	0.000000	1.000000	9.000000	100574.841400
Mobile Home	1970s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1970s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1980s	0-1499	0.000000	0.000000	0.000000	1.000000	122.000000	1680231.102000
Mobile Home	1980s	1500-2499	0.000000	0.000000	0.000000	1.000000	8.000000	86169.839630
Mobile Home	1980s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
