Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Asphalt Shingles, Medium	Option=Composition Shingles	Option=Metal, Dark	Option=Slate	Option=Tile, Ceramic or Clay	Option=Tile, Concrete	Option=Wood Shingles	sample_count	sample_weight
Mobile Home	CR02	0.289598	0.299910	0.338741	0.000000	0.000000	0.000000	0.071751	28.000000	246786.515625
Mobile Home	CR03	0.591902	0.057512	0.279415	0.000000	0.000000	0.000000	0.071171	15.000000	73915.578125
Mobile Home	CR04	0.074442	0.072038	0.786931	0.000000	0.000000	0.000000	0.066589	21.000000	474033.125000
Mobile Home	CR05	0.157650	0.221920	0.548498	0.000000	0.000000	0.000000	0.071932	18.000000	236355.734375
Mobile Home	CR06	0.000000	0.489072	0.445146	0.000000	0.000000	0.000000	0.065782	24.000000	262711.125000
Mobile Home	CR07	0.090182	0.263688	0.432263	0.000000	0.000000	0.136266	0.077602	32.000000	435344.156250
Mobile Home	CR08	0.034452	0.259463	0.649198	0.000000	0.000000	0.000000	0.056887	96.000000	1239595.875000
Mobile Home	CR09	0.100588	0.271189	0.580335	0.004357	0.003330	0.000000	0.040201	199.000000	2915974.000000
Mobile Home	CR10	0.049167	0.335077	0.525202	0.000000	0.000000	0.000000	0.090555	38.000000	412606.312500
Mobile Home	CR11	0.160181	0.211763	0.520266	0.027063	0.000000	0.000000	0.080726	44.000000	371094.500000
Multi-Family with 2 - 4 Units	CR02	0.454353	0.466872	0.025573	0.000000	0.000000	0.000000	0.053203	44.000000	395817.156250
Multi-Family with 2 - 4 Units	CR03	0.377312	0.442319	0.041746	0.023600	0.007516	0.000000	0.107508	159.000000	1022216.875000
Multi-Family with 2 - 4 Units	CR04	0.183189	0.741159	0.013442	0.000000	0.000000	0.000000	0.062209	55.000000	1276916.625000
Multi-Family with 2 - 4 Units	CR05	0.434866	0.399357	0.000000	0.025999	0.000000	0.000000	0.139778	18.000000	179806.671875
Multi-Family with 2 - 4 Units	CR06	0.028238	0.731615	0.000000	0.000000	0.039034	0.000000	0.201112	33.000000	337683.968750
Multi-Family with 2 - 4 Units	CR07	0.332425	0.486797	0.029577	0.030429	0.000000	0.008659	0.112112	157.000000	1894010.875000
Multi-Family with 2 - 4 Units	CR08	0.134352	0.740490	0.064646	0.007685	0.010535	0.000000	0.042292	91.000000	676012.625000
Multi-Family with 2 - 4 Units	CR09	0.127175	0.589711	0.030844	0.018583	0.049974	0.018765	0.164948	190.000000	1769331.500000
Multi-Family with 2 - 4 Units	CR10	0.087861	0.137632	0.000000	0.000000	0.533040	0.241466	0.000000	12.000000	130099.359375
Multi-Family with 2 - 4 Units	CR11	0.087029	0.513843	0.000000	0.033284	0.144638	0.011051	0.210155	141.000000	1034231.375000
Single-Family Attached	CR02	0.315031	0.615755	0.000000	0.021827	0.000000	0.000000	0.047387	64.000000	354896.687500
Single-Family Attached	CR03	0.259912	0.598789	0.013930	0.015982	0.010583	0.000000	0.100803	65.000000	278203.562500
Single-Family Attached	CR04	0.185539	0.763187	0.000000	0.000000	0.000000	0.000000	0.051275	43.000000	690747.125000
Single-Family Attached	CR05	0.398880	0.538342	0.062778	0.000000	0.000000	0.000000	0.000000	54.000000	290683.562500
Single-Family Attached	CR06	0.092834	0.742613	0.000000	0.041866	0.000000	0.000000	0.122687	22.000000	171122.062500
Single-Family Attached	CR07	0.304272	0.565998	0.029970	0.043815	0.000000	0.008233	0.047712	139.000000	1366826.250000
Single-Family Attached	CR08	0.181915	0.671279	0.007609	0.030720	0.000000	0.007910	0.100567	158.000000	1147990.625000
Single-Family Attached	CR09	0.181490	0.636519	0.032800	0.011590	0.032584	0.010234	0.094783	157.000000	1169114.500000
Single-Family Attached	CR10	0.111960	0.359514	0.000000	0.000000	0.260758	0.058143	0.209624	19.000000	166085.031250
Single-Family Attached	CR11	0.092543	0.451746	0.000000	0.013691	0.249318	0.087758	0.104944	142.000000	844424.187500
Single-Family Detached	CR02	0.497276	0.422267	0.023346	0.005284	0.011417	0.000000	0.040410	687.000000	4316425.000000
Single-Family Detached	CR03	0.459373	0.413787	0.082131	0.011352	0.000000	0.002072	0.031285	532.000000	3075303.750000
Single-Family Detached	CR04	0.237330	0.639522	0.047973	0.018756	0.004089	0.001581	0.050749	663.000000	10654372.000000
Single-Family Detached	CR05	0.339399	0.457873	0.064787	0.004056	0.003858	0.016153	0.113874	300.000000	2793711.750000
Single-Family Detached	CR06	0.054211	0.836064	0.037440	0.000000	0.007812	0.003966	0.060506	223.000000	2302325.500000
Single-Family Detached	CR07	0.259648	0.656606	0.026573	0.012786	0.000000	0.000000	0.044387	652.000000	7727557.500000
Single-Family Detached	CR08	0.168220	0.698786	0.069270	0.015207	0.004728	0.002446	0.041343	1300.000000	9212236.000000
Single-Family Detached	CR09	0.132798	0.663458	0.081840	0.010398	0.022908	0.009011	0.079588	2166.000000	21222322.000000
Single-Family Detached	CR10	0.146009	0.231891	0.072170	0.012055	0.343037	0.110830	0.084008	228.000000	2522397.750000
Single-Family Detached	CR11	0.085715	0.548630	0.014499	0.025704	0.166869	0.059706	0.098877	935.000000	6990448.000000
# Created by: \Users\oadekany\Documents\resstock-estimation\sources\recs\2009\tsv_maker.py using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata
