Dependency=Geometry Building Type RECS	Dependency=Bedrooms	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	[For Reference Only] Source Sample Size	[For Reference Only] Source Weight
Mobile Home	1	0.460477	0.366073	0.101211	0.000000	0.000000	0.072239	18.000000	331607.000000
Mobile Home	2	0.335959	0.356632	0.157163	0.089276	0.039216	0.021754	115.000000	2446634.000000
Mobile Home	3	0.175596	0.374799	0.155996	0.142747	0.071151	0.079711	133.000000	3547558.000000
Mobile Home	4	0.282822	0.073384	0.288850	0.191069	0.078231	0.085644	19.000000	444752.000000
Mobile Home	5	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	16490.000000
Multi-Family with 2 - 4 Units	1	0.687956	0.167527	0.062269	0.023222	0.017176	0.041850	104.000000	3197325.000000
Multi-Family with 2 - 4 Units	2	0.217110	0.301513	0.226135	0.147183	0.063125	0.044934	161.000000	4720134.000000
Multi-Family with 2 - 4 Units	3	0.154363	0.300158	0.229954	0.130356	0.146409	0.038760	41.000000	1366876.000000
Multi-Family with 2 - 4 Units	4	0.000000	0.000000	0.169632	0.566651	0.263717	0.000000	4.000000	79932.000000
Multi-Family with 2 - 4 Units	5	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	27971.000000
Multi-Family with 5+ Units	1	0.629557	0.307160	0.044686	0.014605	0.001493	0.002500	389.000000	9793527.000000
Multi-Family with 5+ Units	2	0.290790	0.396249	0.169935	0.111969	0.021422	0.009635	383.000000	9162849.000000
Multi-Family with 5+ Units	3	0.083381	0.242903	0.273400	0.178586	0.180568	0.041163	71.000000	1771315.000000
Multi-Family with 5+ Units	4	0.070671	0.359854	0.000000	0.457018	0.000000	0.112456	15.000000	420099.000000
Multi-Family with 5+ Units	5	0.166667	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000
Single-Family Attached	1	0.492658	0.391175	0.116167	0.000000	0.000000	0.000000	22.000000	349814.000000
Single-Family Attached	2	0.352188	0.359679	0.136668	0.077661	0.047938	0.025866	239.000000	3162461.000000
Single-Family Attached	3	0.227033	0.321762	0.225998	0.138716	0.060958	0.025532	181.000000	2868890.000000
Single-Family Attached	4	0.085251	0.249706	0.079146	0.442506	0.108223	0.035169	31.000000	469788.000000
Single-Family Attached	5	0.000000	0.397303	0.000000	0.000000	0.471874	0.130823	6.000000	159176.000000
Single-Family Detached	1	0.563042	0.366970	0.023092	0.014313	0.032582	0.000000	63.000000	1299131.000000
Single-Family Detached	2	0.287898	0.493051	0.116423	0.068211	0.026513	0.007905	503.000000	10307150.000000
Single-Family Detached	3	0.176720	0.404687	0.194681	0.134695	0.059592	0.029624	1863.000000	38060672.000000
Single-Family Detached	4	0.097519	0.329103	0.186489	0.214954	0.101780	0.070155	1020.000000	19088558.000000
Single-Family Detached	5	0.062280	0.223852	0.173190	0.236760	0.135419	0.168500	303.000000	5115529.000000
Created by: recs\2015\tsv_maker.py using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata								
