Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
Mobile Home	<1940	CR02	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR03	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR04	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR05	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR06	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR07	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR08	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR09	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR10	Crawl	0	0	0	0	0	1
Mobile Home	<1940	CR11	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR02	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR03	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR04	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR05	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR06	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR07	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR08	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR09	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR10	Crawl	0	0	0	0	0	1
Mobile Home	1940s	CR11	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR02	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR03	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR04	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR05	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR06	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR07	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR08	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR09	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR10	Crawl	0	0	0	0	0	1
Mobile Home	1950s	CR11	Crawl	0	0	0	0	0	1
