Dependency=Geometry Building Type RECS	Dependency=Usage Level	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 6.7	sample_count	sample_weight
Mobile Home	Average	0.02438	0.066827	0.321826	0.562587	0.02438	133.25	1710517
Multi-Family with 2 - 4 Units	Medium	0.013683	0.073747	0.322583	0.576304	0.013683	230.25	2243989.5
Multi-Family with 5+ Units	Low	0.01475	0.06149	0.300636	0.60787	0.014727	475	4721506
Single-Family Attached	High	0.015515	0.06651	0.281868	0.620327	0.015502	221.75	1674581.625
Single-Family Detached	Average	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094
Mobile Home	Medium	0.02438	0.066827	0.321826	0.562587	0.02438	133.25	1710517
Multi-Family with 2 - 4 Units	Low	0.013683	0.073747	0.322583	0.576304	0.013683	230.25	2243989.5
Multi-Family with 5+ Units	High	0.01475	0.06149	0.300636	0.60787	0.014727	475	4721506
Single-Family Attached	Average	0.015515	0.06651	0.281868	0.620327	0.015502	221.75	1674581.625
Single-Family Detached	Medium	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094
Mobile Home	Low	0.02438	0.066827	0.321826	0.562587	0.02438	133.25	1710517
Multi-Family with 2 - 4 Units	High	0.013683	0.073747	0.322583	0.576304	0.013683	230.25	2243989.5
Multi-Family with 5+ Units	Average	0.01475	0.06149	0.300636	0.60787	0.014727	475	4721506
Single-Family Attached	Medium	0.015515	0.06651	0.281868	0.620327	0.015502	221.75	1674581.625
Single-Family Detached	Low	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094
Mobile Home	High	0.02438	0.066827	0.321826	0.562587	0.02438	133.25	1710517
Multi-Family with 2 - 4 Units	Average	0.013683	0.073747	0.322583	0.576304	0.013683	230.25	2243989.5
Multi-Family with 5+ Units	Medium	0.01475	0.06149	0.300636	0.60787	0.014727	475	4721506
Single-Family Attached	Low	0.015515	0.06651	0.281868	0.620327	0.015502	221.75	1674581.625
Single-Family Detached	High	0.012364	0.069471	0.256486	0.648904	0.012347	1935.75	17833094
# Created by: sources\recs\2009\tsv_maker.py								
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.								
# Source: Age of refrigerator converted to efficiency levels using ENERGYSTAR shipment-weighted efficiencies by year.								
