Dependency=County	Option=CAISO	Option=ERCOT	Option=MISO	Option=NEISO	Option=NYISO	Option=None	Option=PJM	Option=SPP	sample_count	sample_weight
AL, Autauga County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	12.000000	20800.000000
AL, Baldwin County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	32.000000	75149.000000
AL, Barbour County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	9122.000000
AL, Bibb County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	4.000000	7048.000000
AL, Blount County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	20619.000000
AL, Bullock County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	3.000000	3556.000000
AL, Butler County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	7675.000000
AL, Calhoun County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	31.000000	45071.000000
AL, Chambers County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	13851.000000
AL, Cherokee County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	6.000000	10999.000000
AL, Chilton County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	16619.000000
AL, Choctaw County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	4.000000	5562.000000
AL, Clarke County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	9554.000000
AL, Clay County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	4.000000	5363.000000
AL, Cleburne County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	4.000000	5834.000000
AL, Coffee County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	14.000000	19375.000000
AL, Colbert County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	14.000000	22105.000000
AL, Conecuh County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	5.000000	5090.000000
AL, Coosa County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	3.000000	4206.000000
AL, Covington County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	14.000000	15179.000000
AL, Crenshaw County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	6.000000	5426.000000
AL, Cullman County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	18.000000	31081.000000
AL, Dale County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	14.000000	18794.000000
AL, Dallas County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	15.000000	16099.000000
AL, DeKalb County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	14.000000	24811.000000
AL, Elmore County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	15.000000	28890.000000
AL, Escambia County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	13536.000000
AL, Etowah County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	30.000000	39522.000000
AL, Fayette County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	5.000000	6850.000000
AL, Franklin County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	9.000000	11697.000000
AL, Geneva County	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	6.000000	10657.000000
