Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Heating Fuel	Option=Both Shared	Option=Neither Shared	Option=Only Cooling Shared	Option=Only Heating Shared	Count	Weight
Mobile Home	<1940	Electricity	0.000000	1.000000	0.000000	0.000000	3.000000	20739.187050
Mobile Home	<1940	Fuel Oil	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	<1940	Natural Gas	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	<1940	None	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	<1940	Other Fuel	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	<1940	Propane	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	Electricity	0.000000	1.000000	0.000000	0.000000	3.000000	20739.187050
Mobile Home	1940s	Fuel Oil	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	Natural Gas	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	None	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	Other Fuel	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1940s	Propane	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1950s	Electricity	0.000000	1.000000	0.000000	0.000000	5.000000	51371.746170
Mobile Home	1950s	Fuel Oil	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1950s	Natural Gas	0.000000	1.000000	0.000000	0.000000	5.000000	77818.405770
Mobile Home	1950s	None	0.000000	1.000000	0.000000	0.000000	1.000000	7949.288391
Mobile Home	1950s	Other Fuel	0.000000	1.000000	0.000000	0.000000	1.000000	9663.475869
Mobile Home	1950s	Propane	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1960s	Electricity	0.000000	1.000000	0.000000	0.000000	13.000000	138414.311300
Mobile Home	1960s	Fuel Oil	0.000000	1.000000	0.000000	0.000000	1.000000	7659.045405
Mobile Home	1960s	Natural Gas	0.000000	1.000000	0.000000	0.000000	9.000000	109271.066500
Mobile Home	1960s	None	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	1960s	Other Fuel	0.000000	1.000000	0.000000	0.000000	6.000000	59998.338300
