Dependency=Location	Dependency=Geometry Building Type ACS	Dependency=Vintage ACS	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1940-59s	0.400268	0.284307	0.245230	0.070195	80944.519340
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1960-79s	0.284659	0.427585	0.152326	0.135430	129716.747700
AL_Birmingham.Muni.AP.722280	Single-Family Detached	1980-99s	0.120997	0.454268	0.194786	0.229949	113563.760800
AL_Birmingham.Muni.AP.722280	Single-Family Detached	2000-09s	0.169937	0.468056	0.193416	0.168591	73873.386320
AL_Birmingham.Muni.AP.722280	Single-Family Detached	<1940	0.309425	0.361416	0.182238	0.146921	33656.783050
AL_Birmingham.Muni.AP.722280	Single-Family Detached	2010s	0.165918	0.456748	0.203702	0.173633	8182.140837
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1940-59s	0.493014	0.377211	0.089666	0.040109	51390.502450
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1960-79s	0.341039	0.470077	0.126106	0.062778	117810.137200
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	1980-99s	0.244264	0.471900	0.187137	0.096700	107947.202600
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	2000-09s	0.147167	0.463659	0.239115	0.150060	58428.451310
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	<1940	0.382772	0.437447	0.110067	0.069714	20674.969620
AL_Huntsville.Intl.AP-Jones.Field.723230	Single-Family Detached	2010s	0.152890	0.362660	0.299419	0.185031	9251.347837
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1940-59s	0.428285	0.304580	0.158274	0.108862	66608.041480
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1960-79s	0.313656	0.396420	0.172771	0.117153	142511.612000
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	1980-99s	0.204985	0.347902	0.280108	0.167005	148523.797400
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	2000-09s	0.203780	0.386976	0.232562	0.176682	92992.875770
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	<1940	0.315844	0.339871	0.182810	0.161474	18100.319670
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	2010s	0.176975	0.405417	0.238814	0.178794	10622.739330
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1940-59s	0.421472	0.319085	0.145212	0.114231	36454.368030
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1960-79s	0.308742	0.364991	0.216390	0.109877	81515.954960
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1980-99s	0.225113	0.369403	0.170337	0.235147	69193.504150
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	2000-09s	0.191835	0.387802	0.222286	0.198077	39184.783150
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	<1940	0.332718	0.374773	0.159422	0.133087	16417.657430
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	2010s	0.204350	0.305877	0.272546	0.217227	5797.730642
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1940-59s	0.536347	0.340491	0.068105	0.055057	28802.854360
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1960-79s	0.373674	0.451051	0.119567	0.055708	67804.794770
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1980-99s	0.238086	0.485505	0.199011	0.077398	67397.940710
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	2000-09s	0.175095	0.484046	0.203138	0.137720	35155.179660
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	<1940	0.510574	0.334929	0.107670	0.046827	15248.020190
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	2010s	0.152544	0.412299	0.259910	0.175246	5051.140041
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1940-59s	0.459430	0.304320	0.114580	0.121670	56468.625710
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1960-79s	0.302587	0.491395	0.120929	0.085089	130701.567400
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1980-99s	0.220496	0.323503	0.258886	0.197115	107372.924000
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	2000-09s	0.341949	0.307733	0.230595	0.119723	62145.585120
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	<1940	0.409745	0.313414	0.157091	0.119750	21923.923130
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	2010s	0.213461	0.287220	0.269706	0.229613	8973.212524
