Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Option=None	Option=Yes	sample_count	sample_weight
East North Central	Mobile Home	Electricity	0.097173	0.902827	60.000000	192010.515625
East North Central	Mobile Home	Fuel Oil	0.000000	1.000000	3.000000	8638.735352
East North Central	Mobile Home	Natural Gas	0.052856	0.947144	144.000000	302010.031250
East North Central	Mobile Home	None	0.500000	0.500000	0.000000	0.000000
East North Central	Mobile Home	Other Fuel	0.245484	0.754516	11.000000	38495.875000
East North Central	Mobile Home	Propane	0.164022	0.835978	41.000000	112875.054688
East North Central	Multi-Family with 2 - 4 Units	Electricity	0.519693	0.480307	159.000000	349363.562500
East North Central	Multi-Family with 2 - 4 Units	Fuel Oil	1.000000	0.000000	1.000000	3798.043945
East North Central	Multi-Family with 2 - 4 Units	Natural Gas	0.451713	0.548287	408.000000	898994.187500
East North Central	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
East North Central	Multi-Family with 2 - 4 Units	Other Fuel	1.000000	0.000000	1.000000	299.789246
East North Central	Multi-Family with 2 - 4 Units	Propane	0.527516	0.472484	4.000000	14303.291016
East North Central	Multi-Family with 5+ Units	Electricity	0.663470	0.336530	654.000000	1318697.750000
East North Central	Multi-Family with 5+ Units	Fuel Oil	0.815331	0.184669	21.000000	33487.148438
East North Central	Multi-Family with 5+ Units	Natural Gas	0.594914	0.405086	690.000000	1250640.750000
East North Central	Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000
East North Central	Multi-Family with 5+ Units	Other Fuel	0.817514	0.182486	11.000000	18583.992188
East North Central	Multi-Family with 5+ Units	Propane	0.466030	0.533970	6.000000	10326.978516
East North Central	Single-Family Attached	Electricity	0.231638	0.768362	104.000000	238327.046875
East North Central	Single-Family Attached	Fuel Oil	0.000000	1.000000	2.000000	5425.303223
East North Central	Single-Family Attached	Natural Gas	0.089051	0.910949	514.000000	982855.562500
East North Central	Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000
East North Central	Single-Family Attached	Other Fuel	0.500000	0.500000	0.000000	0.000000
East North Central	Single-Family Attached	Propane	0.000000	1.000000	7.000000	9303.243164
East North Central	Single-Family Detached	Electricity	0.041449	0.958551	647.000000	1762172.750000
East North Central	Single-Family Detached	Fuel Oil	0.063426	0.936574	56.000000	166759.828125
East North Central	Single-Family Detached	Natural Gas	0.021541	0.978459	4157.000000	9374284.000000
East North Central	Single-Family Detached	None	1.000000	0.000000	1.000000	3115.901611
East North Central	Single-Family Detached	Other Fuel	0.036647	0.963353	127.000000	379441.000000
East North Central	Single-Family Detached	Propane	0.025157	0.974843	349.000000	1047451.062500
East South Central	Mobile Home	Electricity	0.042363	0.957637	173.000000	586630.625000
East South Central	Mobile Home	Fuel Oil	0.500000	0.500000	0.000000	0.000000
East South Central	Mobile Home	Natural Gas	0.142138	0.857862	17.000000	53019.246094
East South Central	Mobile Home	None	1.000000	0.000000	1.000000	3099.015869
East South Central	Mobile Home	Other Fuel	0.127296	0.872704	15.000000	55907.492188
East South Central	Mobile Home	Propane	0.090127	0.909873	12.000000	44091.722656
East South Central	Multi-Family with 2 - 4 Units	Electricity	0.242015	0.757985	139.000000	266145.125000
East South Central	Multi-Family with 2 - 4 Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000
