Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=EF 12, National Average	Option=None	sample_count	sample_weight
Mobile Home	CR02	0.490191	0.509809	29.000000	253875.265625
Mobile Home	CR03	0.102686	0.897314	17.000000	84436.820312
Mobile Home	CR04	0.384260	0.615740	23.000000	509126.718750
Mobile Home	CR05	0.376482	0.623518	19.000000	241470.843750
Mobile Home	CR06	0.378413	0.621587	26.000000	285404.625000
Mobile Home	CR07	0.310953	0.689047	32.000000	435344.156250
Mobile Home	CR08	0.384611	0.615389	98.000000	1258499.750000
Mobile Home	CR09	0.308651	0.691349	203.000000	2958488.250000
Mobile Home	CR10	0.242255	0.757745	39.000000	421342.125000
Mobile Home	CR11	0.197100	0.802900	47.000000	394079.281250
Multi-Family with 2 - 4 Units	CR02	0.148001	0.851999	46.000000	411911.562500
Multi-Family with 2 - 4 Units	CR03	0.079348	0.920652	160.000000	1027010.562500
Multi-Family with 2 - 4 Units	CR04	0.185832	0.814168	55.000000	1276916.625000
Multi-Family with 2 - 4 Units	CR05	0.024362	0.975638	20.000000	190449.359375
Multi-Family with 2 - 4 Units	CR06	0.069662	0.930338	33.000000	337683.968750
Multi-Family with 2 - 4 Units	CR07	0.100299	0.899701	172.000000	2112466.500000
Multi-Family with 2 - 4 Units	CR08	0.109608	0.890392	91.000000	676012.625000
Multi-Family with 2 - 4 Units	CR09	0.072418	0.927582	190.000000	1769331.500000
Multi-Family with 2 - 4 Units	CR10	0.127950	0.872050	13.000000	139943.781250
Multi-Family with 2 - 4 Units	CR11	0.056802	0.943198	141.000000	1034231.375000
Multi-Family with 5+ Units	CR02	0.052473	0.947527	114.000000	839194.125000
Multi-Family with 5+ Units	CR03	0.034382	0.965618	159.000000	1025052.625000
Multi-Family with 5+ Units	CR04	0.064285	0.935715	121.000000	2401607.750000
Multi-Family with 5+ Units	CR05	0.000000	1.000000	48.000000	377622.937500
Multi-Family with 5+ Units	CR06	0.038217	0.961783	60.000000	722521.812500
Multi-Family with 5+ Units	CR07	0.038221	0.961779	316.000000	3424272.500000
Multi-Family with 5+ Units	CR08	0.089226	0.910774	225.000000	2100599.750000
Multi-Family with 5+ Units	CR09	0.036647	0.963353	475.000000	4572983.500000
Multi-Family with 5+ Units	CR10	0.044846	0.955154	52.000000	550501.375000
Multi-Family with 5+ Units	CR11	0.014622	0.985379	330.000000	2871667.750000
Single-Family Attached	CR02	0.369186	0.630814	64.000000	354896.687500
Single-Family Attached	CR03	0.255636	0.744364	67.000000	285479.375000
Single-Family Attached	CR04	0.191445	0.808555	43.000000	690747.125000
Single-Family Attached	CR05	0.210060	0.789940	55.000000	295264.906250
Single-Family Attached	CR06	0.235204	0.764796	22.000000	171122.062500
Single-Family Attached	CR07	0.250024	0.749976	154.000000	1523358.500000
Single-Family Attached	CR08	0.232500	0.767500	160.000000	1171957.750000
Single-Family Attached	CR09	0.169033	0.830967	158.000000	1174675.625000
Single-Family Attached	CR10	0.000000	1.000000	20.000000	174125.406250
Single-Family Attached	CR11	0.037342	0.962658	144.000000	856699.000000
Single-Family Detached	CR02	0.632232	0.367768	688.000000	4320619.000000
Single-Family Detached	CR03	0.305225	0.694775	535.000000	3089118.000000
Single-Family Detached	CR04	0.457398	0.542602	666.000000	10702742.000000
Single-Family Detached	CR05	0.516789	0.483211	303.000000	2815783.750000
Single-Family Detached	CR06	0.502355	0.497645	226.000000	2329728.000000
Single-Family Detached	CR07	0.356054	0.643946	654.000000	7763908.500000
Single-Family Detached	CR08	0.468128	0.531872	1306.000000	9230493.000000
Single-Family Detached	CR09	0.392873	0.607127	2178.000000	21322996.000000
Single-Family Detached	CR10	0.322850	0.677150	243.000000	2698771.500000
Single-Family Detached	CR11	0.223965	0.776035	944.000000	7058214.000000
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
