Dependency=Geometry Building Type FPL	Dependency=Location	Option=<1940	Option=1940-59s	Option=1960-79s	Option=1980-99s	Option=2000-09s	Option=2010s	Counts
Single-Family Attached	FL_Miami.Intl.AP.722020	0.018055299	0.089156146	0.253510173	0.422170802	0.204958584	0.012148996	157667.9161
Single-Family Attached	FL_Orlando.Intl.AP.722050	0.014503209	0.043663732	0.199383059	0.419225199	0.289611662	0.033613139	160613.9573
Single-Family Attached	FL_Tallahassee.Rgnl.AP.722140	0.016783684	0.083549384	0.184095291	0.469039039	0.224897032	0.021635571	14692.06588
Single-Family Attached	FL_West.Palm.Beach.Intl.AP.722030	0.004366393	0.018066852	0.17963787	0.541840648	0.240481529	0.015606708	86874.71267
Single-Family Attached	GA_Athens-Ben.Epps.AP.723110	0.033098728	0.067951697	0.204626627	0.379645025	0.300615598	0.014062326	7376.668747
Single-Family Attached	GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	0.01053378	0.029841582	0.151400011	0.340296032	0.44378594	0.024142654	98933.73472
Single-Family Attached	GA_Augusta-Bush-Field.722180	0.025393666	0.036701239	0.137270206	0.311134625	0.424756966	0.064743297	7971.885872
Single-Family Attached	GA_Columbus.Metro.AP.722255	0.082990582	0.152995192	0.197766015	0.270526821	0.245890682	0.049830708	4398.680722
Single-Family Attached	GA_Macon-Middle.Georgia.Rgnl.AP.722170	0.044744828	0.114805335	0.214812426	0.417268673	0.194511629	0.013857109	4522.643356
Single-Family Attached	GA_Savannah.Intl.AP.722070	0.135860589	0.05588836	0.171533005	0.258894763	0.348497323	0.02932596	11443.41745
Single-Family Attached	IA_Des.Moines.Intl.AP.725460	0.046025758	0.045892342	0.184974202	0.300618723	0.371831701	0.050657274	21439.18975
Single-Family Attached	IA_Mason.City.Muni.AP.725485	0.113346022	0.143368606	0.256179158	0.269993294	0.2034917	0.01362122	2513.865447
Single-Family Attached	IA_Sioux.City-Sioux.Gateway.AP.725570	0.08395065	0.225952098	0.219199045	0.234713839	0.181258842	0.054925526	2578.805423
Single-Family Attached	IA_Waterloo.Muni.AP.725480	0.056799036	0.045344635	0.143749958	0.274654934	0.406505659	0.072945778	9725.986256
Single-Family Attached	ID_Boise.Air.Terminal.726810	0.032684133	0.055894189	0.316319605	0.309607635	0.247745492	0.037748947	9810.321719
Single-Family Attached	ID_Pocatello.Muni.AP.725780	0.035840488	0.064162675	0.250402746	0.224435896	0.389017733	0.036140462	5828.650711
Single-Family Attached	IL_Chicago-OHare.Intl.AP.725300	0.051965259	0.085790349	0.211746946	0.385594208	0.255224833	0.009678404	247221.636
Single-Family Attached	IL_Moline-Quad.City.Intl.AP.725440	0.104074255	0.072466262	0.22623056	0.317146004	0.222490547	0.057592372	13541.14439
Single-Family Attached	IL_Peoria-Greater.Peoria.AP.725320	0.073241743	0.064201098	0.225996676	0.280797466	0.336024106	0.019738911	11988.58309
Single-Family Attached	IL_Rockford-Greater.Rockford.AP.725430	0.081812696	0.080407358	0.171430563	0.306264514	0.352394609	0.007690259	15271.58734
Single-Family Attached	IL_Springfield-Capital.AP.724390	0.031747819	0.068673961	0.207368442	0.442642149	0.23307413	0.016493499	9557.039681
Single-Family Attached	IN_Evansville.Rgnl.AP.724320	0.114827111	0.127168602	0.256373563	0.302467445	0.181709605	0.017453673	6300.953487
Single-Family Attached	IN_Fort.Wayne.Intl.AP.725330	0.164231489	0.113530817	0.175557572	0.362384166	0.166779066	0.017516889	7780.225043
Single-Family Attached	IN_Indianapolis.Intl.AP.724380	0.129052805	0.09728997	0.217094551	0.326899139	0.217041928	0.012621607	54259.79391
Single-Family Attached	IN_South.Bend-Michiana.Rgnl.AP.725350	0.091435944	0.152937939	0.250604815	0.335857596	0.155663698	0.013500007	9388.130512
Single-Family Attached	KS_Dodge.City.Rgnl.AP.724510	0.140722202	0.152171434	0.337716024	0.258389221	0.093782273	0.017218846	1829.653318
Single-Family Attached	KS_Goodland-Renner.Field.724650	0.129996251	0.230345667	0.289813399	0.168161851	0.139517705	0.042165127	389.0378845
Single-Family Attached	KS_Topeka-Phillip.Billard.Muni.AP.724560	0.02944707	0.067871536	0.264092661	0.343412834	0.248581574	0.046594325	12587.08736
Single-Family Attached	KS_Wichita-Mid.Continent.AP.724500	0.053862125	0.19718187	0.303823059	0.328389151	0.095634475	0.021109319	11170.92386
Single-Family Attached	KY_Cincinnati-Northern.Kentucky.AP.724210	0.131453121	0.07956581	0.214293758	0.36745864	0.18986832	0.017360352	35197.36525
Single-Family Attached	KY_Lexington-Bluegrass.AP.724220	0.045726956	0.059704941	0.206627752	0.389294448	0.255578237	0.043067666	12676.79661
Single-Family Attached	KY_Louisville-Standiford.Field.724230	0.060751069	0.075512251	0.182528208	0.345829858	0.297783305	0.037595308	20814.33229
Single-Family Attached	LA_Baton.Rouge-Ryan.AP.722317	0.04336216	0.12321467	0.281270657	0.369027328	0.158868584	0.024256601	9147.753217
Single-Family Attached	LA_Lake.Charles.Rgnl.AP.722400	0.036823495	0.164444571	0.294345539	0.301468152	0.112933948	0.089984295	3131.140726
Single-Family Attached	LA_New.Orleans.Intl.AP.722310	0.222356835	0.222936286	0.243001701	0.171560838	0.127895349	0.01224899	31811.75699
Single-Family Attached	LA_Shreveport.Rgnl.AP.722480	0.037533965	0.172479732	0.32813342	0.332895464	0.098413017	0.030544403	9839.886239
Single-Family Attached	MA_Boston-Logan.Intl.AP.725090	0.304914243	0.093498976	0.131085243	0.291901502	0.152890704	0.025709332	94376.03317
Single-Family Attached	MA_Worcester.Rgnl.AP.725095	0.229126754	0.078607023	0.101449188	0.339018399	0.227878034	0.023920603	23611.595
Single-Family Attached	MD_Baltimore-Washington.Intl.AP.724060	0.217540574	0.227403888	0.162174833	0.282278408	0.094450132	0.016152165	387585.8445
Single-Family Attached	ME_Caribou.Muni.AP.727120	0.200654988	0.255552477	0.297607054	0.128266485	0.079108318	0.038810678	439.0247481
Single-Family Attached	ME_Portland.Intl.Jetport.726060	0.20578737	0.063594324	0.145864665	0.362013404	0.205603769	0.017136467	12955.37148
Single-Family Attached	MI_Alpena.County.Rgnl.AP.726390	0.027585568	0.238035695	0.288662311	0.320883684	0.122869806	0.001962936	876.8372458
Single-Family Attached	MI_Detroit.Metro.AP.725370	0.080467427	0.124763671	0.258364118	0.325196693	0.201975714	0.009232378	100848.9398
Single-Family Attached	MI_Flint-Bishop.Intl.AP.726370	0.038946347	0.071878697	0.254669991	0.378961828	0.243122549	0.012420588	30994.2288
Single-Family Attached	MI_Grand.Rapids-Kent.County.Intl.AP.726350	0.05288903	0.063767915	0.203700947	0.434689914	0.22521578	0.019736414	22218.65521
Single-Family Attached	MI_Houghton-Lake.Roscommon.County.AP.726380	0.08920819	0.13312776	0.295358713	0.306263873	0.169341842	0.006699622	1703.482792
Single-Family Attached	MI_Lansing-Capital.City.AP.725390	0.066287519	0.122163033	0.385808486	0.280169497	0.141948046	0.003623419	12973.52336
Single-Family Attached	MI_Muskegon.County.AP.726360	0.053970004	0.087936899	0.139818109	0.468235943	0.233502287	0.016536758	7469.646112
Single-Family Attached	MI_Sault.Ste.Marie-Sanderson.Field.727340	0.146372975	0.356983381	0.337071255	0.090660714	0.064539908	0.004371768	894.5548569
Single-Family Attached	MI_Traverse.City-Cherry.Capital.AP.726387	0.106302064	0.070689521	0.178444486	0.350935812	0.28732663	0.006301487	2627.171033
Single-Family Attached	MN_Duluth.Intl.AP.727450	0.171815309	0.130574774	0.209453897	0.200291559	0.270638884	0.017225577	3582.000458
Single-Family Attached	MN_International.Falls.Intl.AP.727470	0.030265421	0.101416324	0.07917436	0.305715023	0.423475516	0.059953356	763.1225417
Single-Family Attached	MN_Minneapolis-St.Paul.Intl.AP.726580	0.028143963	0.027549633	0.165688455	0.456818595	0.306175034	0.015624321	140999.7214
Single-Family Attached	MN_Rochester.Intl.AP.726440	0.036937436	0.07671716	0.131702107	0.401860561	0.325323459	0.027459276	6725.163247
Single-Family Attached	MN_St.Cloud.Muni.AP.726550	0.035868514	0.034520823	0.098686226	0.350752146	0.459920259	0.020252031	13312.46207
Single-Family Attached	MO_Columbia.Rgnl.AP.724450	0.041097657	0.069920813	0.179764844	0.354720034	0.303994827	0.050501824	9344.676606
Single-Family Attached	MO_Kansas.City.Intl.AP.724460	0.036776284	0.081218133	0.312288665	0.341446979	0.215751063	0.012518875	52728.94215
Single-Family Attached	MO_Springfield.Rgnl.AP.724400	0.026679666	0.031390639	0.177587198	0.478980557	0.257002622	0.028359319	14291.78651
Single-Family Attached	MO_St.Louis-Lambert.Intl.AP.724340	0.096777527	0.077256609	0.198033338	0.330184335	0.2769973	0.020750891	45673.15122
Single-Family Attached	MS_Jackson.Intl.AP.722350	0.039639136	0.108555997	0.326278942	0.396188188	0.120123592	0.009214145	4646.224044
Single-Family Attached	MS_Meridian-Key.Field.722340	0.107052244	0.132796625	0.336200545	0.200017616	0.180702061	0.043230909	2171.825454
Single-Family Attached	MT_Billings-Logan.Intl.AP.726770	0.045766954	0.094452781	0.23438928	0.269166649	0.317622603	0.038601734	3547.542652
Single-Family Attached	MT_Cut.Bank.Muni.AP.727796	0.087757824	0.1956496	0.132858961	0.366294565	0.198524852	0.018914198	227.7923409
Single-Family Attached	MT_Glasgow.Intl.AP.727680	0.091727186	0.137918999	0.415013533	0.175451706	0.177317206	0.00257137	320.5414536
Single-Family Attached	MT_Great.Falls.Intl.AP.727750	0.072323241	0.061871829	0.214335649	0.186365645	0.332454708	0.132648928	1503.276389
Single-Family Attached	MT_Helena.Rgnl.AP.727720	0.03764823	0.034761248	0.142137801	0.251076997	0.442880561	0.091495163	3774.05191
Single-Family Attached	MT_Kalispell-Glacier.Park.Intl.AP.727790	0.036569407	0.082992365	0.088872579	0.453551145	0.315016373	0.022998131	1489.617162
Single-Family Attached	MT_Lewistown.Muni.AP.726776	0.097483501	0.060594726	0.231739623	0.320313547	0.226321933	0.063546671	278.9951659
Single-Family Attached	MT_Miles.City.Muni.AP.742300	0.073400511	0.096918264	0.243357978	0.324854864	0.226112596	0.035355787	233.0260733
Single-Family Attached	MT_Missoula.Intl.AP.727730	0.07725384	0.124446761	0.296573731	0.233415079	0.260241012	0.008069577	2249.359328
Single-Family Attached	NC_Asheville.Rgnl.AP.723150	0.050628777	0.078085244	0.14977429	0.404872736	0.30464927	0.011989683	6652.003526
Single-Family Attached	NC_Cape.Hatteras.723040	0.075589993	0.108119464	0.142536943	0.45657514	0.21055074	0.00662772	1142.959081
Single-Family Attached	NC_Charlotte-Douglas.Intl.AP.723140	0.015316869	0.046895284	0.115122643	0.326452128	0.461030731	0.035182345	42682.58855
Single-Family Attached	NC_Greensboro-Piedmont.Triad.Intl.AP.723170	0.013396762	0.048040554	0.177415507	0.366105039	0.368612848	0.026429289	21805.15528
Single-Family Attached	NC_Raleigh-Durham.Intl.AP.723060	0.014302206	0.037611299	0.132716565	0.358455221	0.392522345	0.064392364	60164.09863
Single-Family Attached	NC_Wilmington.Intl.AP.723013	0.023658599	0.066749589	0.151758545	0.349332927	0.3299982	0.07850214	27961.24324
Single-Family Attached	ND_Bismarck.Muni.AP.727640	0.021025435	0.020419306	0.35288611	0.26148401	0.251633925	0.092551215	3644.347257
Single-Family Attached	ND_Fargo-Hector.Intl.AP.727530	0.023736636	0.040589841	0.161063067	0.327711064	0.417923893	0.0289755	12282.29291
Single-Family Attached	ND_Minot.Intl.AP.727676	0.030782936	0.059533507	0.108539711	0.277658702	0.43192561	0.091559535	3493.352325
Single-Family Attached	NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	0.092544196	0.092890299	0.18449241	0.339459564	0.231510461	0.05910307	3382.360249
Single-Family Attached	NE_Norfolk-Karl.Stefan.Mem.AP.725560	0.044205071	0.216743648	0.301599035	0.164971399	0.238575699	0.033905149	1170.413222
Single-Family Attached	NE_North.Platte.Rgnl.AP.725620	0.066092233	0.384419175	0.170249236	0.291747167	0.086533628	0.00095856	943.6449412
Single-Family Attached	NE_Omaha-Eppley.Airfield.725500	0.077861755	0.082603323	0.256279418	0.290083736	0.26175498	0.031416789	24397.96267
Single-Family Attached	NE_Scottsbluff-W.B.Heilig.Field.725660	0.102876932	0.164268016	0.286843327	0.312255632	0.112716142	0.02103995	1214.195911
Single-Family Attached	NH_Concord.Muni.AP.726050	0.106975716	0.047575035	0.173530003	0.509018256	0.1482078	0.014693191	24380.78712
Single-Family Attached	NJ_Atlantic.City.Intl.AP.724070	0.072338619	0.068535061	0.216276314	0.406352711	0.215010954	0.021486341	36229.31993
Single-Family Attached	NJ_Newark.Intl.AP.725020	0.136154562	0.088641487	0.165749911	0.464422365	0.134189798	0.010841878	221893.516
Single-Family Attached	NM_Albuquerque.Intl.AP.723650	0.043499932	0.111660618	0.309965282	0.364973961	0.157433441	0.012466766	23052.28599
Single-Family Attached	NM_Tucumcari.AP.723676	0.020481715	0.107401837	0.381301444	0.368584011	0.111777041	0.010453952	1570.665829
Single-Family Attached	NV_Elko.Muni.AP.725825	0.007484333	0.102187447	0.382285701	0.370011436	0.121938733	0.01609235	144.2294876
Single-Family Attached	NV_Ely-Yelland.Field.724860	0.035109608	0.123255215	0.323066511	0.403408143	0.108893548	0.006266976	31.77455223
Single-Family Attached	NV_Las.Vegas-McCarran.Intl.AP.723860	0.002646851	0.020488778	0.181503546	0.507484596	0.273983874	0.013892354	37014.47759
Single-Family Attached	NV_Reno-Tahoe.Intl.AP.724880	0.024111538	0.110768243	0.400184061	0.3023952	0.15555132	0.006989638	11382.4991
Single-Family Attached	NV_Tonopah.AP.724855	0.078909253	0.08294324	0.412286358	0.337302036	0.088325306	0.000233807	112.689082
Single-Family Attached	NV_Winnemucca.Muni.AP.725830	0.035766886	0.138673261	0.318901456	0.341325621	0.049466876	0.115865901	138.80951
Single-Family Attached	NY_Albany.County.AP.725180	0.243829851	0.073025192	0.140386837	0.402330029	0.122441861	0.01798623	20301.46447
Single-Family Attached	NY_Binghamton-Edwin.A.Link.Field.725150	0.295669145	0.165479477	0.143266239	0.304833047	0.082495936	0.008256156	5750.590947
Single-Family Attached	NY_Buffalo-Greater.Buffalo.Intl.AP.725280	0.244907362	0.174955383	0.214112338	0.253005317	0.102913704	0.010105898	14323.77393
Single-Family Attached	NY_Massena.AP.726223	0.38447735	0.184716248	0.155380369	0.193398938	0.075935046	0.006092049	926.5397988
Single-Family Attached	NY_New.York-J.F.Kennedy.Intl.AP.744860	0.370665351	0.296107108	0.1423174	0.135679344	0.050548884	0.004681914	201399.7349
Single-Family Attached	NY_Rochester-Greater.Rochester.Intl.AP.725290	0.22801395	0.056931069	0.254902804	0.348541182	0.097170425	0.014440569	19902.34431
Single-Family Attached	NY_Syracuse-Hancock.Intl.AP.725190	0.238967033	0.113361733	0.139991936	0.315250256	0.155611174	0.036817868	13255.68532
Single-Family Attached	OH_Akron.Canton.Rgnl.AP.725210	0.059764079	0.083666184	0.222810723	0.410005464	0.213217803	0.010535747	23422.15564
Single-Family Attached	OH_Cleveland-Hopkins.Intl.AP.725240	0.192073671	0.139941948	0.208231343	0.283305591	0.167345789	0.009101658	45700.98507
Single-Family Attached	OH_Columbus-Port.Columbus.Intl.AP.724280	0.112453329	0.089483354	0.200412669	0.352208867	0.229900316	0.015541466	52890.5887
Single-Family Attached	OH_Dayton.Intl.AP.724290	0.152221347	0.10642881	0.260133497	0.296895984	0.169533629	0.014786733	28448.68976
Single-Family Attached	OH_Mansfield-Lahm.Muni.AP.725246	0.145597038	0.083814026	0.193491277	0.215804045	0.343549139	0.017744475	4095.877972
Single-Family Attached	OH_Toledo.Express.AP.725360	0.103375047	0.103476855	0.236041042	0.333497317	0.217411635	0.006198105	14931.79076
Single-Family Attached	OH_Youngstown.Rgnl.AP.725250	0.131451642	0.127781583	0.179700777	0.353920365	0.191703824	0.015441809	10209.26394
Single-Family Attached	OK_Oklahoma.City-Will.Rogers.World.AP.723530	0.048865804	0.103528634	0.341900144	0.325370602	0.150010144	0.030324672	16400.26849
Single-Family Attached	OK_Tulsa.Intl.AP.723560	0.071078965	0.107862612	0.36865259	0.326103336	0.103958209	0.022344289	10363.05409
Single-Family Attached	OR_Astoria.Rgnl.AP.727910	0.135298851	0.213042465	0.186067879	0.245962278	0.209241007	0.01038752	826.0574423
Single-Family Attached	OR_Burns.Muni.AP.726830	0.130491312	0.200487462	0.237864728	0.221001193	0.207618875	0.002536429	195.3574813
Single-Family Attached	OR_Eugene-Mahlon.Sweet.AP.726930	0.031773025	0.131051916	0.486707741	0.253977326	0.089496955	0.006993036	8054.242746
Single-Family Attached	OR_Medford-Rogue.Valley.Intl.AP.725970	0.088323191	0.13299149	0.251842454	0.244563498	0.266683735	0.015595632	6802.586822
Single-Family Attached	OR_North.Bend.Muni.AP.726917	0.07719281	0.17440743	0.347925065	0.129649382	0.269692386	0.001132926	1789.518437
Single-Family Attached	OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	0.063866218	0.256719059	0.224902202	0.26494704	0.163867192	0.025698289	4119.93017
Single-Family Attached	OR_Portland.Intl.AP.726980	0.053446841	0.069673428	0.239186162	0.274477322	0.343256544	0.019959702	45500.20888
Single-Family Attached	OR_Redmond-Roberts.Field.726835	0.027988223	0.058777843	0.142993867	0.283185873	0.446016585	0.04103761	2709.618226
Single-Family Attached	OR_Salem-McNary.Field.726940	0.034143634	0.134485227	0.326643521	0.333490384	0.159459598	0.011777635	10556.85707
Single-Family Attached	PA_Allentown-Lehigh.Valley.Intl.AP.725170	0.400816107	0.137364013	0.143062069	0.20771182	0.101610169	0.009435823	146354.2386
Single-Family Attached	PA_Bradford.Rgnl.AP.725266	0.461501419	0.240188228	0.130648681	0.103176406	0.059882012	0.004603254	2884.329106
Single-Family Attached	PA_Erie.Intl.AP.725260	0.33254259	0.20096257	0.16029289	0.183556346	0.111352821	0.011292783	5792.20285
Single-Family Attached	PA_Harrisburg-Capital.City.AP.725118	0.34387269	0.149551874	0.101779459	0.228535508	0.155504576	0.020755893	122150.2523
Single-Family Attached	PA_Philadelphia.Intl.AP.724080	0.372562669	0.296853451	0.146097673	0.126415646	0.051247558	0.006823003	572057.3394
Single-Family Attached	PA_Pittsburgh.Intl.AP.725200	0.339949886	0.161423416	0.150531433	0.198591056	0.129897475	0.019606735	86465.00408
Single-Family Attached	PA_Wilkes-Barre-Scranton.Intl.AP.725130	0.54868807	0.20263283	0.097110107	0.097177328	0.048371694	0.006019971	35730.12423
Single-Family Attached	PA_Williamsport.Rgnl.AP.725140	0.515815973	0.1769916	0.086755303	0.134119847	0.075277984	0.011039293	19500.96849
Single-Family Attached	RI_Providence-T.F.Green.State.AP.725070	0.179807858	0.088949401	0.190048388	0.355601162	0.166314809	0.019278382	29791.05931
Single-Family Attached	SC_Charleston.Intl.AP.722080	0.044099107	0.038794749	0.20277747	0.256160624	0.413769699	0.04439835	15265.94706
Single-Family Attached	SC_Columbia.Metro.AP.723100	0.036657644	0.110626141	0.20570572	0.292101305	0.312754517	0.042154673	8717.776078
Single-Family Attached	SC_Greer.Greenville-Spartanburg.AP.723120	0.019831419	0.0926833	0.189574686	0.385529905	0.288563656	0.023817034	13098.30958
Single-Family Attached	SD_Huron.Rgnl.AP.726540	0.038448616	0.117006343	0.179953692	0.365015392	0.281996233	0.017579724	1512.701962
Single-Family Attached	SD_Pierre.Muni.AP.726686	0.100194849	0.146212692	0.283112568	0.239501746	0.203057058	0.027921088	415.5055452
Single-Family Attached	SD_Rapid.City.Rgnl.AP.726620	0.061443347	0.061877333	0.156090664	0.334281161	0.341403342	0.044904152	3438.864556
Single-Family Attached	SD_Sioux.Falls-Foss.Field.726510	0.039426335	0.061763274	0.159634295	0.281503858	0.327066271	0.130605967	7590.072139
Single-Family Attached	TN_Bristol-TriCities.Rgnl.AP.723183	0.062410039	0.093972818	0.199234287	0.395493149	0.230902161	0.017987545	7022.804544
Single-Family Attached	TN_Chattanooga-Lovell.Field.AP.723240	0.028426504	0.111749699	0.171200168	0.3606043	0.294963481	0.033055847	9267.614591
Single-Family Attached	TN_Knoxville-McGhee.Tyson.AP.723260	0.012535784	0.044214988	0.144205858	0.443441221	0.332763425	0.022838724	15743.61001
Single-Family Attached	TN_Memphis.Intl.AP.723340	0.055784353	0.123446418	0.323733902	0.357479657	0.133997922	0.005557748	20610.05907
Single-Family Attached	TN_Nashville.Intl.AP.723270	0.018567522	0.062749593	0.215892765	0.348994602	0.313143583	0.040651934	39779.01943
Single-Family Attached	TX_Abilene.Rgnl.AP.722660	0.093120177	0.176673357	0.283005681	0.171637861	0.268126502	0.007436422	2073.915214
Single-Family Attached	TX_Amarillo.Intl.AP.723630	0.079660906	0.155215298	0.30918286	0.306393033	0.126147897	0.023400006	3310.375793
Single-Family Attached	TX_Austin-Mueller.Muni.AP.722540	0.015129707	0.05223431	0.296625324	0.402404902	0.196896638	0.036709119	24518.49379
Single-Family Attached	TX_Brownsville-South.Padre.Island.AP.722500	0.023277164	0.066168911	0.315401285	0.365267452	0.2064244	0.023460788	6679.893323
Single-Family Attached	TX_Corpus.Christi.Intl.AP.722510	0.02437151	0.109963351	0.393203594	0.316236428	0.128529477	0.027695639	4763.775077
Single-Family Attached	TX_Dallas-Fort.Worth.Intl.AP.722590	0.042101282	0.099858136	0.245674884	0.366671318	0.21151946	0.03417492	77950.91694
Single-Family Attached	TX_El.Paso.Intl.AP.722700	0.065267316	0.119675308	0.328295512	0.327834979	0.132144981	0.026781904	10813.03002
Single-Family Attached	TX_Houston-Bush.Intercontinental.AP.722430	0.017925555	0.052119397	0.346877215	0.287917296	0.258485109	0.036675428	76642.77888
Single-Family Attached	TX_Lubbock.Intl.AP.722670	0.027826804	0.166123074	0.361135264	0.271325944	0.15755059	0.016038325	4227.884271
Single-Family Attached	TX_Lufkin-Angelina.Co.AP.722446	0.064178521	0.142446733	0.281849682	0.323949733	0.152851442	0.034723889	3127.221599
Single-Family Attached	TX_Midland.Intl.AP.722650	0.007758575	0.195114522	0.411645947	0.335981872	0.036519277	0.012979806	3472.695525
Single-Family Attached	TX_Port.Arthur-Jefferson.Co.AP.722410	0.054709503	0.119769856	0.416478396	0.316615856	0.077203917	0.015222471	2852.615754
Single-Family Attached	TX_San.Angelo-Mathis.AP.722630	0.052017501	0.078324232	0.387342183	0.309836846	0.146910587	0.025568651	1804.266627
Single-Family Attached	TX_San.Antonio.Intl.AP.722530	0.056044755	0.140501316	0.309296157	0.324435837	0.144838204	0.024883732	19463.02278
Single-Family Attached	TX_Victoria.Rgnl.AP.722550	0.046798765	0.132360672	0.351237216	0.376777576	0.089315918	0.003509852	1050.747614
Single-Family Attached	TX_Waco.Rgnl.AP.722560	0.026253584	0.107915563	0.356954854	0.258064178	0.215293154	0.035518667	9090.887376
Single-Family Attached	TX_Wichita.Falls.Muni.AP.723510	0.100843791	0.147196948	0.378022643	0.223496028	0.111893146	0.038547445	3999.487273
Single-Family Attached	UT_Cedar.City.Muni.AP.724755	0.012778595	0.025109145	0.11220581	0.499853314	0.343401914	0.006651222	5195.931122
