Dependency=Geometry Building Type RECS	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4	Option=5	sample_count	sample_weight
Mobile Home	0-1499	0.060032	0.411444	0.496454	0.032070	0.000000	234.000000	5523884.000000
Mobile Home	1500-2499	0.000000	0.131373	0.639620	0.215714	0.013293	50.000000	1240531.125000
Mobile Home	2500-3499	0.200000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000
Mobile Home	3500+	0.200000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	0.333660	0.513836	0.140124	0.009171	0.003209	289.000000	8715389.000000
Multi-Family with 2 - 4 Units	1500-2499	0.455831	0.328010	0.216159	0.000000	0.000000	18.000000	598571.625000
Multi-Family with 2 - 4 Units	2500-3499	0.302975	0.398581	0.298443	0.000000	0.000000	3.000000	54472.996094
Multi-Family with 2 - 4 Units	3500+	0.200000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	0.479420	0.433669	0.071719	0.015192	0.000000	805.000000	19937170.000000
Multi-Family with 5+ Units	1500-2499	0.000000	0.448279	0.395979	0.155742	0.000000	26.000000	752619.312500
Multi-Family with 5+ Units	2500-3499	0.200000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000
Multi-Family with 5+ Units	3500+	0.200000	0.200000	0.200000	0.200000	0.200000	0.000000	0.000000
Single-Family Attached	0-1499	0.092009	0.599948	0.283343	0.019222	0.005477	266.000000	3801963.500000
Single-Family Attached	1500-2499	0.000000	0.312767	0.519438	0.111247	0.056548	161.000000	2446626.500000
Single-Family Attached	2500-3499	0.000000	0.165682	0.704155	0.130164	0.000000	39.000000	584215.250000
Single-Family Attached	3500+	0.000000	0.109760	0.616831	0.273408	0.000000	13.000000	177326.718750
Single-Family Detached	0-1499	0.047369	0.288126	0.566605	0.087686	0.010214	1044.000000	20586974.000000
Single-Family Detached	1500-2499	0.008471	0.122110	0.575601	0.249143	0.044675	1415.000000	28182122.000000
Single-Family Detached	2500-3499	0.004754	0.049782	0.481146	0.366859	0.097458	765.000000	15152173.000000
Single-Family Detached	3500+	0.000000	0.018434	0.284503	0.474732	0.222331	514.000000	9758088.000000
# Created by: sources\recs\2015\tsv_maker.py
# Source: Constructed using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.
