Dependency=Geometry Building Type ACS	Dependency=Vintage	Option=<5	Option=5 to 9 Units low	Option=5 to 9 Units high	Option=10 to 19 Units low	Option=10 to 19 Units high	Option=20 to 49 Units low	Option=20 to 49 Units high	Option=50 or more Units low	Option=50 or more Units high	Count	Weight
Single-Family Detached	<1940	1	0	0	0	0	0	0	0	0	1345	12631149.24
Single-Family Detached	1940s	1	0	0	0	0	0	0	0	0	1345	12631149.24
Single-Family Detached	1950s	1	0	0	0	0	0	0	0	0	1120	10340938.3
Single-Family Detached	1960s	1	0	0	0	0	0	0	0	0	947	8691508.308
Single-Family Detached	1970s	1	0	0	0	0	0	0	0	0	1136	9790297.967
Single-Family Detached	1980s	1	0	0	0	0	0	0	0	0	997	9219210.513
Single-Family Detached	1990s	1	0	0	0	0	0	0	0	0	1102	10357084.71
Single-Family Detached	2000s	1	0	0	0	0	0	0	0	0	1156	10805514.15
Single-Family Detached	2010s	1	0	0	0	0	0	0	0	0	1156	10805514.15
Single-Family Attached	<1940	1	0	0	0	0	0	0	0	0	151	1366153.245
Single-Family Attached	1940s	1	0	0	0	0	0	0	0	0	151	1366153.245
Single-Family Attached	1950s	1	0	0	0	0	0	0	0	0	71	575594.4032
Single-Family Attached	1960s	1	0	0	0	0	0	0	0	0	73	503402.7466
Single-Family Attached	1970s	1	0	0	0	0	0	0	0	0	137	1079272.231
Single-Family Attached	1980s	1	0	0	0	0	0	0	0	0	195	1404846.366
Single-Family Attached	1990s	1	0	0	0	0	0	0	0	0	111	759737.7324
Single-Family Attached	2000s	1	0	0	0	0	0	0	0	0	152	1027842.63
Single-Family Attached	2010s	1	0	0	0	0	0	0	0	0	152	1027842.63
Mobile Home	<1940	1	0	0	0	0	0	0	0	0	3	20739.18705
Mobile Home	1940s	1	0	0	0	0	0	0	0	0	3	20739.18705
Mobile Home	1950s	1	0	0	0	0	0	0	0	0	12	146802.9162
Mobile Home	1960s	1	0	0	0	0	0	0	0	0	35	356714.7716
Mobile Home	1970s	1	0	0	0	0	0	0	0	0	152	1769756.242
Mobile Home	1980s	1	0	0	0	0	0	0	0	0	130	1766400.942
Mobile Home	1990s	1	0	0	0	0	0	0	0	0	142	1964108.852
