Dependency=Geometry Building Type RECS	Dependency=Location Region	Option=Electric	Option=Gas	Option=None	sample_count	sample_weight
Mobile Home	CR02	0.000000	0.000000	1.000000	29.000000	253875.265625
Mobile Home	CR03	0.000000	0.000000	1.000000	17.000000	84436.820312
Mobile Home	CR04	0.044595	0.000000	0.955405	23.000000	509126.718750
Mobile Home	CR05	0.000000	0.000000	1.000000	19.000000	241470.843750
Mobile Home	CR06	0.068028	0.000000	0.931972	26.000000	285404.625000
Mobile Home	CR07	0.000000	0.000000	1.000000	32.000000	435344.156250
Mobile Home	CR08	0.009978	0.000000	0.990022	98.000000	1258499.750000
Mobile Home	CR09	0.012481	0.000000	0.987519	203.000000	2958488.250000
Mobile Home	CR10	0.000000	0.000000	1.000000	39.000000	421342.125000
Mobile Home	CR11	0.016523	0.019086	0.964391	47.000000	394079.281250
Multi-Family with 2 - 4 Units	CR02	0.000000	0.000000	1.000000	46.000000	411911.562500
Multi-Family with 2 - 4 Units	CR03	0.004419	0.000000	0.995581	160.000000	1027010.562500
Multi-Family with 2 - 4 Units	CR04	0.000000	0.019007	0.980993	55.000000	1276916.625000
Multi-Family with 2 - 4 Units	CR05	0.000000	0.000000	1.000000	20.000000	190449.359375
Multi-Family with 2 - 4 Units	CR06	0.000000	0.000000	1.000000	33.000000	337683.968750
Multi-Family with 2 - 4 Units	CR07	0.007573	0.003576	0.988851	172.000000	2112466.500000
Multi-Family with 2 - 4 Units	CR08	0.000000	0.000000	1.000000	91.000000	676012.625000
Multi-Family with 2 - 4 Units	CR09	0.015874	0.009706	0.974420	190.000000	1769331.500000
Multi-Family with 2 - 4 Units	CR10	0.000000	0.051071	0.948929	13.000000	139943.781250
Multi-Family with 2 - 4 Units	CR11	0.000000	0.000000	1.000000	141.000000	1034231.375000
Multi-Family with 5+ Units	CR02	0.000000	0.000000	1.000000	114.000000	839194.125000
Multi-Family with 5+ Units	CR03	0.011839	0.000000	0.988161	159.000000	1025052.625000
Multi-Family with 5+ Units	CR04	0.000000	0.000000	1.000000	121.000000	2401607.750000
Multi-Family with 5+ Units	CR05	0.000000	0.000000	1.000000	48.000000	377622.937500
Multi-Family with 5+ Units	CR06	0.019041	0.000000	0.980959	60.000000	722521.812500
Multi-Family with 5+ Units	CR07	0.002939	0.000000	0.997061	316.000000	3424272.500000
Multi-Family with 5+ Units	CR08	0.000000	0.000000	1.000000	225.000000	2100599.750000
Multi-Family with 5+ Units	CR09	0.016207	0.007420	0.976373	475.000000	4572983.500000
Multi-Family with 5+ Units	CR10	0.000000	0.000000	1.000000	52.000000	550501.375000
Multi-Family with 5+ Units	CR11	0.003002	0.002551	0.994447	330.000000	2871667.750000
Single-Family Attached	CR02	0.011496	0.000000	0.988504	64.000000	354896.687500
Single-Family Attached	CR03	0.011076	0.000000	0.988924	67.000000	285479.375000
Single-Family Attached	CR04	0.029400	0.000000	0.970600	43.000000	690747.125000
Single-Family Attached	CR05	0.000000	0.000000	1.000000	55.000000	295264.906250
Single-Family Attached	CR06	0.000000	0.000000	1.000000	22.000000	171122.062500
Single-Family Attached	CR07	0.019782	0.009220	0.970998	154.000000	1523358.500000
Single-Family Attached	CR08	0.000000	0.000000	1.000000	160.000000	1171957.750000
Single-Family Attached	CR09	0.010773	0.000000	0.989227	158.000000	1174675.625000
Single-Family Attached	CR10	0.000000	0.000000	1.000000	20.000000	174125.406250
Single-Family Attached	CR11	0.015986	0.012839	0.971175	144.000000	856699.000000
Single-Family Detached	CR02	0.051535	0.003260	0.945205	688.000000	4320619.000000
Single-Family Detached	CR03	0.063213	0.000000	0.936787	535.000000	3089118.000000
Single-Family Detached	CR04	0.052456	0.014981	0.932563	666.000000	10702742.000000
Single-Family Detached	CR05	0.068006	0.003482	0.928513	303.000000	2815783.750000
Single-Family Detached	CR06	0.109019	0.009898	0.881082	226.000000	2329728.000000
Single-Family Detached	CR07	0.073471	0.025779	0.900750	654.000000	7763908.500000
Single-Family Detached	CR08	0.052106	0.001951	0.945943	1306.000000	9230493.000000
Single-Family Detached	CR09	0.047062	0.017627	0.935312	2178.000000	21322996.000000
Single-Family Detached	CR10	0.077236	0.040079	0.882685	243.000000	2698771.500000
Single-Family Detached	CR11	0.060230	0.068871	0.870899	944.000000	7058214.000000
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
