Dependency=County Name	Option=Single-Family Detached	Option=Single-Family Attached	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home
"Autauga County, AL"	0.7157481	0.007558742	0.007472357	0.013605736	0.021078093	0.019739115	0.020775743	0.002505183	0.191516932
"Baldwin County, AL"	0.6273052	0.011815711	0.016551085	0.025276533	0.021868155	0.034610945	0.02732156	0.122538015	0.112712796
"Barbour County, AL"	0.547659003	0.011411311	0.043883202	0.035492532	0.035156906	0.012166471	0.004279241	0	0.309951334
"Bibb County, AL"	0.652326602	0.003072871	0.010974539	0.013827919	0.026997366	0.008121159	0.004719052	0.003182616	0.276777875
"Blount County, AL"	0.698687968	0.009146972	0.014361988	0.011506146	0.011630313	0.002690286	0.003890567	0.000496668	0.24758909
"Bullock County, AL"	0.54340124	0.008414526	0.038972542	0.003321523	0.0425155	0	0	0.01173605	0.351638618
"Butler County, AL"	0.60921263	0.005195843	0.03197442	0.042865707	0.039168665	0.008693046	0.003097522	0.004796163	0.254996003
"Calhoun County, AL"	0.709514491	0.01477961	0.023278352	0.028366415	0.036641506	0.022271922	0.00650452	0.008275091	0.150368092
"Chambers County, AL"	0.717581965	0.004061452	0.030196009	0.020719289	0.030196009	0.025369357	0.012302078	0.004944376	0.154629466
"Cherokee County, AL"	0.661362808	0.003400947	0.014757682	0.006984088	0.006194583	0.007895056	0.010385036	0.003340216	0.285679582
"Chilton County, AL"	0.604518906	0.013525976	0.019264269	0.007941387	0.016087714	0.004559893	0.002408034	0.001485808	0.330208013
"Choctaw County, AL"	0.629553827	0.003547551	0.000818666	0.007913767	0.021421749	0.002183108	0.004093328	0.005730659	0.324737345
"Clarke County, AL"	0.640428212	0.003935768	0.008501259	0.02259131	0.029439547	0.004959068	0.015979219	0.003620907	0.27054471
"Clay County, AL"	0.690745917	0.001471237	0.04060615	0.020008827	0.015447992	0	0.002942475	0.000588495	0.228188907
"Cleburne County, AL"	0.677776139	0.001474709	0.011207786	0.012682495	0.02521752	0.001327238	0.003686772	0.00162218	0.265005161
"Coffee County, AL"	0.716555257	0.043970831	0.02274503	0.033119194	0.049049397	0.003949996	0.001215383	0.001345603	0.12804931
"Colbert County, AL"	0.782060532	0.005696275	0.032772567	0.039152394	0.026810466	0.009114039	0.004139293	0.008354536	0.091899897
"Conecuh County, AL"	0.63845614	0.006596491	0.017263158	0.040701754	0.015157895	0	0.005473684	0	0.276350877
"Coosa County, AL"	0.663398192	0.002604566	0.010571472	0.009192585	0.011184311	0.00015321	0	0.002451356	0.300444308
"Covington County, AL"	0.726151403	0.005240868	0.014663843	0.016993118	0.025092642	0.002593965	0.003388036	0.002805717	0.203070408
"Crenshaw County, AL"	0.647822878	0.003247232	0.042804428	0.011512915	0.015645756	0	0.00295203	0.000738007	0.275276753
"Cullman County, AL"	0.680737661	0.007675088	0.01646946	0.012658565	0.033845006	0.01167253	0.009966954	0.002345166	0.22462957
"Dale County, AL"	0.657304348	0.029913043	0.030608696	0.057304348	0.030130435	0.006304348	0.003565217	0.001565217	0.183304348
"Dallas County, AL"	0.605495101	0.013983948	0.067063863	0.068639519	0.03363041	0.005859471	0.006647299	0.002166527	0.196513861
"DeKalb County, AL"	0.686623757	0.003664288	0.016855723	0.023037216	0.01777976	0.007615345	0.00264466	0.002230436	0.239548815
"Elmore County, AL"	0.744156459	0.013699035	0.006982662	0.019291082	0.032664655	0.01763418	0.00772235	0.001361027	0.15648855
"Escambia County, AL"	0.679995168	0.003261657	0.025428848	0.048622856	0.043971974	0.006100507	0.005496497	0.001932834	0.185189659
"Etowah County, AL"	0.767165558	0.00539474	0.02422385	0.025504314	0.032221499	0.015554483	0.008354499	0.009655954	0.111925103
"Fayette County, AL"	0.706376434	0.010647108	0.019283095	0.025079853	0.017035372	0.012066722	0.003194132	0.003312433	0.20300485
"Franklin County, AL"	0.708180017	0.003467308	0.02030852	0.021511463	0.039838664	0.005519389	0.015850552	0.010331163	0.174992924
"Geneva County, AL"	0.654985889	0.006585136	0.023518344	0.006271558	0.015757291	0.001019128	0.000470367	0	0.291392286
"Greene County, AL"	0.517405063	0.005142405	0.001582278	0.000988924	0.015822785	0.009493671	0.006526899	0.042128165	0.40090981
"Hale County, AL"	0.577711853	0.001934735	0.010189604	0.017412614	0.005030311	0.002579647	0.01715465	0.011995357	0.355991229
"Henry County, AL"	0.682827167	0.004527885	0.032136941	0.018001104	0	0.005742684	0.001325235	0.000220872	0.255218112
"Houston County, AL"	0.689154878	0.013100344	0.027139474	0.03588726	0.043184194	0.026136679	0.010497344	0.010902729	0.143997098
"Jackson County, AL"	0.708781326	0.010392102	0.030896519	0.007634198	0.027299253	0.010032375	0.000599544	0.001199089	0.203165594
"Jefferson County, AL"	0.695076933	0.024559799	0.01679135	0.032942406	0.063241972	0.067116396	0.037346052	0.031743491	0.031181601
"Lamar County, AL"	0.67767253	0.004194858	0.061705007	0.012990528	0.034506089	0	0.002435724	0.002300406	0.204194858
"Lauderdale County, AL"	0.722388127	0.007297303	0.023463637	0.039203359	0.056065743	0.027325594	0.011720592	0.012528909	0.100006736
"Lawrence County, AL"	0.714406724	0.00188962	0.009382941	0.017397537	0.021372255	0.005864338	0.002345735	0.000521275	0.226819574
"Lee County, AL"	0.556203139	0.024222279	0.055152265	0.02417756	0.04753529	0.068701835	0.033896284	0.022597523	0.167513825
"Limestone County, AL"	0.772414178	0.013887727	0.016118687	0.012102959	0.022337488	0.015170529	0.011043253	0.007111185	0.129813994
"Lowndes County, AL"	0.52481582	0.014734393	0.038193098	0.027723924	0.006010081	0.001744862	0.001744862	0	0.385032959
"Macon County, AL"	0.647798129	0.005066251	0.026402962	0.055046765	0.047642245	0.016173032	0.003409977	0.001656274	0.196804365
"Madison County, AL"	0.71755414	0.015299363	0.016082803	0.039974522	0.062656051	0.05556051	0.025566879	0.021292994	0.046012739
"Marengo County, AL"	0.660327932	0.006209372	0.010575337	0.017754924	0.047928592	0.010187251	0.004171922	0.000873193	0.241971476
"Marion County, AL"	0.681925596	0.002498143	0.034636419	0.035514145	0.023361015	0.004523665	0.007089326	0.002093039	0.208358652
"Marshall County, AL"	0.748854398	0.006775068	0.025030796	0.024291697	0.026681449	0.007563439	0.001970929	0.005198325	0.1536339
"Mobile County, AL"	0.725919838	0.00918331	0.020952851	0.029412893	0.049390428	0.038256486	0.021522698	0.023697981	0.081663516
"Monroe County, AL"	0.685538462	0.002989011	0.016615385	0.013274725	0.03367033	0.005362637	0.004307692	0.004571429	0.23367033
"Montgomery County, AL"	0.701530293	0.027633768	0.016553329	0.043956255	0.086152337	0.037213731	0.021872325	0.023045774	0.042042186
"Morgan County, AL"	0.70446908	0.028544942	0.013866893	0.028911893	0.058403183	0.023059987	0.013094364	0.013596508	0.11605315
"Perry County, AL"	0.673125527	0.00042123	0.00210615	0.039806234	0.002737995	0.008635215	0.01010952	0.034751474	0.228306655
"Pickens County, AL"	0.660830363	0.004193751	0.058397987	0.014992661	0.012266723	0.011113441	0.007548752	0.002306563	0.228349759
"Pike County, AL"	0.565209244	0.004059963	0.039100562	0.054028732	0.059275453	0.035227983	0.013491568	0.007245472	0.222361024
"Randolph County, AL"	0.699991696	0.001826787	0.016108943	0.012123225	0.017520551	0.0078884	0.001162501	0.009632151	0.233745744
"Russell County, AL"	0.656128082	0.007324255	0.033934487	0.047368421	0.064556496	0.024622746	0.007581892	0.005925653	0.152557968
"St. Clair County, AL"	0.67662359	0.009281568	0.009719636	0.017112036	0.024668711	0.009883912	0.004681853	0.001807031	0.246221662
"Shelby County, AL"	0.741566031	0.053572898	0.006185106	0.013463777	0.027056901	0.039509425	0.022647367	0.011935139	0.084063356
"Sumter County, AL"	0.525245134	0.000731743	0.027659886	0.044343627	0.025757354	0.010537099	0.02195229	0.040392214	0.303380653
"Talladega County, AL"	0.637462397	0.009929984	0.02947049	0.031706733	0.030508745	0.007613875	0.007906717	0.005244523	0.240156537
"Tallapoosa County, AL"	0.703028125	0.007727559	0.026102974	0.022239195	0.022778327	0.0113667	0.012624674	0.010108725	0.184023722
"Tuscaloosa County, AL"	0.602623603	0.012167436	0.024413156	0.040673682	0.065511804	0.07666156	0.044945705	0.033147318	0.099855735
"Walker County, AL"	0.636117207	0.006873629	0.014650833	0.021008132	0.025913257	0.003582032	0.00174261	0.001032658	0.289079644
"Washington County, AL"	0.683645796	0.004480604	0.002594034	0.003655229	0.001650749	0	0.000117911	0	0.303855677
"Wilcox County, AL"	0.569802067	0.002802592	0.00087581	0.032580137	0.02592398	0.005079699	0.00087581	0.000350324	0.361709581
"Winston County, AL"	0.672870384	0.004413712	0.015080182	0.019199647	0.01655142	0.014491688	0.001912609	0	0.255480359
"Apache County, AZ"	0.695340173	0.016855991	0.01758886	0.02623061	0.009893734	0.002168071	0.003511665	0.000977159	0.227433736
"Cochise County, AZ"	0.635038663	0.021928017	0.009925313	0.027022571	0.017839184	0.020576064	0.018548134	0.028918603	0.220203452
"Coconino County, AZ"	0.621728212	0.053396189	0.018856588	0.033784721	0.055768668	0.046679299	0.014958944	0.01899524	0.135832139
"Gila County, AZ"	0.700333664	0.008446809	0.007514955	0.026152043	0.015240328	0.002615204	0.003727418	0.004569092	0.231400487
"Graham County, AZ"	0.62001798	0.013485166	0.013635001	0.027794426	0.02082709	0.009739287	0.013335331	0.005843572	0.275322146
"Greenlee County, AZ"	0.630596175	0.010348706	0.00832396	0.016422947	0.024746907	0	0.011473566	0.002024747	0.296062992
"La Paz County, AZ"	0.377481409	0.018314793	0.006330281	0.01788458	0.006514658	0.008174052	0.001782312	0.002642739	0.560875177
"Maricopa County, AZ"	0.646769175	0.05313045	0.010521126	0.038181296	0.052814498	0.064501173	0.030431365	0.051358297	0.052292619
"Mohave County, AZ"	0.603144321	0.014167108	0.017956191	0.025251722	0.019943473	0.012100336	0.011959018	0.016684331	0.278793499
"Navajo County, AZ"	0.68342066	0.019258128	0.017280266	0.022676012	0.019743919	0.007651202	0.003227038	0.002515701	0.224227072
"Pima County, AZ"	0.601784786	0.073869694	0.018242178	0.02929851	0.035415951	0.052946593	0.037068122	0.045351009	0.106023157
"Pinal County, AZ"	0.732756271	0.014616141	0.008170109	0.015629258	0.009278021	0.009953432	0.005237401	0.00648158	0.197877786
"Santa Cruz County, AZ"	0.735111356	0.03937311	0.026945285	0.058234809	0.029309871	0.019191641	0.015122354	0.019521584	0.057189992
"Yavapai County, AZ"	0.652267041	0.031716631	0.02723083	0.031189922	0.017521836	0.010499056	0.009129614	0.014475706	0.205969363
"Yuma County, AZ"	0.514543995	0.030110743	0.013988629	0.029703841	0.035257503	0.02597574	0.007324235	0.014307552	0.328787762
"Arkansas County, AR"	0.703617516	0.006875397	0.016818278	0.037338693	0.048233552	0.014068119	0.009625555	0.001269304	0.162153586
"Ashley County, AR"	0.69464145	0.005516154	0.022557132	0.001182033	0.018715524	0.003349094	0.008077226	0.004038613	0.241922774
"Baxter County, AR"	0.734026225	0.018681752	0.019120291	0.023110994	0.017848529	0.009779415	0.013989387	0.009472438	0.153970969
"Benton County, AR"	0.74270742	0.057045509	0.018351	0.03176058	0.032467921	0.047780346	0.00796007	0.008418347	0.053508807
"Boone County, AR"	0.756159378	0.013969115	0.020275846	0.028704468	0.020806319	0.028822351	0.003595426	0.003006012	0.124661087
"Bradley County, AR"	0.67531352	0.010135716	0.030578938	0.063734753	0.02113039	0.008589589	0.012025425	0	0.178491668
