Dependency=Location	Dependency=Heating Setpoint Has Offset	Option=0F	Option=3F	Option=6F	Option=12F
AL_Birmingham.Muni.AP.722280	Yes	0.000000	0.380896	0.356228	0.262877
AL_Huntsville.Intl.AP-Jones.Field.723230	Yes	0.000000	0.380896	0.356228	0.262877
AL_Mobile-Rgnl.AP.722230	Yes	0.000000	0.445959	0.341490	0.212551
AL_Montgomery-Dannelly.Field.722260	Yes	0.000000	0.445959	0.341490	0.212551
AR_Fort.Smith.Rgnl.AP.723440	Yes	0.000000	0.380896	0.356228	0.262877
AR_Little.Rock-Adams.Field.723403	Yes	0.000000	0.380896	0.356228	0.262877
AZ_Flagstaff-Pulliam.AP.723755	Yes	0.000000	0.478249	0.328605	0.193147
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Yes	0.000000	0.445959	0.341490	0.212551
AZ_Prescott-Love.Field.723723	Yes	0.000000	0.380896	0.356228	0.262877
AZ_Tucson.Intl.AP.722740	Yes	0.000000	0.380896	0.356228	0.262877
CA_Arcata.AP.725945	Yes	0.000000	0.380896	0.356228	0.262877
CA_Bakersfield-Meadows.Field.723840	Yes	0.000000	0.445959	0.341490	0.212551
CA_Fresno.Air.Terminal.723890	Yes	0.000000	0.445959	0.341490	0.212551
CA_Long.Beach-Daugherty.Field.722970	Yes	0.000000	0.380896	0.356228	0.262877
CA_Los.Angeles.Intl.AP.722950	Yes	0.000000	0.380896	0.356228	0.262877
CA_Sacramento.Exec.AP.724830	Yes	0.000000	0.380896	0.356228	0.262877
CA_San.Diego-Lindbergh.Field.722900	Yes	0.000000	0.380896	0.356228	0.262877
CA_San.Francisco.Intl.AP.724940	Yes	0.000000	0.380896	0.356228	0.262877
CA_Santa.Maria.Public.AP.723940	Yes	0.000000	0.380896	0.356228	0.262877
CO_Alamosa.Muni.AP.724620	Yes	0.000000	0.521195	0.331008	0.147797
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Yes	0.000000	0.496347	0.357648	0.146005
CO_Colorado.Springs-Peterson.Field.724660	Yes	0.000000	0.521195	0.331008	0.147797
CO_Eagle.County.Rgnl.AP.724675	Yes	0.000000	0.496347	0.357648	0.146005
CO_Grand.Junction-Walker.Field.724760	Yes	0.000000	0.496347	0.357648	0.146005
CO_Pueblo.Mem.AP.724640	Yes	0.000000	0.521195	0.331008	0.147797
CT_Bridgeport-Sikorsky.Mem.AP.725040	Yes	0.000000	0.521195	0.331008	0.147797
CT_Hartford-Bradley.Intl.AP.725080	Yes	0.000000	0.521195	0.331008	0.147797
DE_Wilmington-New.Castle.County.AP.724089	Yes	0.000000	0.478249	0.328605	0.193147
FL_Daytona.Beach.Intl.AP.722056	Yes	0.000000	0.445959	0.341490	0.212551
FL_Jacksonville.Intl.AP.722060	Yes	0.000000	0.445959	0.341490	0.212551
FL_Key.West.Intl.AP.722010	Yes	0.000000	0.445959	0.341490	0.212551
FL_Miami.Intl.AP.722020	Yes	0.000000	0.445959	0.341490	0.212551
FL_Orlando.Intl.AP.722050	Yes	0.000000	0.445959	0.341490	0.212551
FL_Tallahassee.Rgnl.AP.722140	Yes	0.000000	0.445959	0.341490	0.212551
FL_West.Palm.Beach.Intl.AP.722030	Yes	0.000000	0.445959	0.341490	0.212551
GA_Athens-Ben.Epps.AP.723110	Yes	0.000000	0.380896	0.356228	0.262877
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Yes	0.000000	0.380896	0.356228	0.262877
GA_Augusta-Bush-Field.722180	Yes	0.000000	0.380896	0.356228	0.262877
GA_Columbus.Metro.AP.722255	Yes	0.000000	0.380896	0.356228	0.262877
GA_Macon-Middle.Georgia.Rgnl.AP.722170	Yes	0.000000	0.445959	0.341490	0.212551
GA_Savannah.Intl.AP.722070	Yes	0.000000	0.445959	0.341490	0.212551
IA_Des.Moines.Intl.AP.725460	Yes	0.000000	0.521195	0.331008	0.147797
IA_Mason.City.Muni.AP.725485	Yes	0.000000	0.496347	0.357648	0.146005
IA_Sioux.City-Sioux.Gateway.AP.725570	Yes	0.000000	0.521195	0.331008	0.147797
IA_Waterloo.Muni.AP.725480	Yes	0.000000	0.521195	0.331008	0.147797
ID_Boise.Air.Terminal.726810	Yes	0.000000	0.521195	0.331008	0.147797
ID_Pocatello.Muni.AP.725780	Yes	0.000000	0.496347	0.357648	0.146005
IL_Chicago-OHare.Intl.AP.725300	Yes	0.000000	0.521195	0.331008	0.147797
IL_Moline-Quad.City.Intl.AP.725440	Yes	0.000000	0.521195	0.331008	0.147797
IL_Peoria-Greater.Peoria.AP.725320	Yes	0.000000	0.521195	0.331008	0.147797
IL_Rockford-Greater.Rockford.AP.725430	Yes	0.000000	0.521195	0.331008	0.147797
IL_Springfield-Capital.AP.724390	Yes	0.000000	0.521195	0.331008	0.147797
IN_Evansville.Rgnl.AP.724320	Yes	0.000000	0.478249	0.328605	0.193147
IN_Fort.Wayne.Intl.AP.725330	Yes	0.000000	0.521195	0.331008	0.147797
IN_Indianapolis.Intl.AP.724380	Yes	0.000000	0.521195	0.331008	0.147797
IN_South.Bend-Michiana.Rgnl.AP.725350	Yes	0.000000	0.521195	0.331008	0.147797
KS_Dodge.City.Rgnl.AP.724510	Yes	0.000000	0.478249	0.328605	0.193147
KS_Goodland-Renner.Field.724650	Yes	0.000000	0.521195	0.331008	0.147797
KS_Topeka-Phillip.Billard.Muni.AP.724560	Yes	0.000000	0.478249	0.328605	0.193147
KS_Wichita-Mid.Continent.AP.724500	Yes	0.000000	0.478249	0.328605	0.193147
KY_Cincinnati-Northern.Kentucky.AP.724210	Yes	0.000000	0.478249	0.328605	0.193147
KY_Lexington-Bluegrass.AP.724220	Yes	0.000000	0.478249	0.328605	0.193147
KY_Louisville-Standiford.Field.724230	Yes	0.000000	0.478249	0.328605	0.193147
LA_Baton.Rouge-Ryan.AP.722317	Yes	0.000000	0.445959	0.341490	0.212551
LA_Lake.Charles.Rgnl.AP.722400	Yes	0.000000	0.445959	0.341490	0.212551
LA_New.Orleans.Intl.AP.722310	Yes	0.000000	0.445959	0.341490	0.212551
LA_Shreveport.Rgnl.AP.722480	Yes	0.000000	0.445959	0.341490	0.212551
MA_Boston-Logan.Intl.AP.725090	Yes	0.000000	0.521195	0.331008	0.147797
MA_Worcester.Rgnl.AP.725095	Yes	0.000000	0.521195	0.331008	0.147797
MD_Baltimore-Washington.Intl.AP.724060	Yes	0.000000	0.478249	0.328605	0.193147
ME_Caribou.Muni.AP.727120	Yes	0.000000	0.496347	0.357648	0.146005
ME_Portland.Intl.Jetport.726060	Yes	0.000000	0.496347	0.357648	0.146005
MI_Alpena.County.Rgnl.AP.726390	Yes	0.000000	0.496347	0.357648	0.146005
MI_Detroit.Metro.AP.725370	Yes	0.000000	0.521195	0.331008	0.147797
MI_Flint-Bishop.Intl.AP.726370	Yes	0.000000	0.521195	0.331008	0.147797
MI_Grand.Rapids-Kent.County.Intl.AP.726350	Yes	0.000000	0.521195	0.331008	0.147797
MI_Houghton-Lake.Roscommon.County.AP.726380	Yes	0.000000	0.496347	0.357648	0.146005
MI_Lansing-Capital.City.AP.725390	Yes	0.000000	0.521195	0.331008	0.147797
MI_Muskegon.County.AP.726360	Yes	0.000000	0.496347	0.357648	0.146005
MI_Sault.Ste.Marie-Sanderson.Field.727340	Yes	0.000000	0.496347	0.357648	0.146005
MI_Traverse.City-Cherry.Capital.AP.726387	Yes	0.000000	0.496347	0.357648	0.146005
MN_Duluth.Intl.AP.727450	Yes	0.000000	0.496347	0.357648	0.146005
MN_International.Falls.Intl.AP.727470	Yes	0.000000	0.496347	0.357648	0.146005
MN_Minneapolis-St.Paul.Intl.AP.726580	Yes	0.000000	0.496347	0.357648	0.146005
MN_Rochester.Intl.AP.726440	Yes	0.000000	0.496347	0.357648	0.146005
MN_St.Cloud.Muni.AP.726550	Yes	0.000000	0.496347	0.357648	0.146005
MO_Columbia.Rgnl.AP.724450	Yes	0.000000	0.478249	0.328605	0.193147
MO_Kansas.City.Intl.AP.724460	Yes	0.000000	0.478249	0.328605	0.193147
