Dependency=Location Region	Dependency=Vintage	Option=Uninsulated, Vented	Option=Ceiling R-7, Vented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=Ceiling R-38, Vented	Option=Ceiling R-49, Vented
CR02	<1940	0.000000	0.040000	0.140000	0.160000	0.280000	0.130000	0.260000
CR05	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR03	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR04	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR06	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR07	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR08	<1940	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR09	<1940	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR10	<1940	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR11	<1940	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR02	1950s	0.000000	0.030000	0.080000	0.140000	0.230000	0.150000	0.360000
CR05	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR03	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR04	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR06	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR07	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR08	1950s	0.030000	0.080000	0.140000	0.230000	0.150000	0.280000	0.080000
CR09	1950s	0.110000	0.140000	0.230000	0.150000	0.280000	0.080000	0.000000
CR10	1950s	0.110000	0.140000	0.230000	0.150000	0.280000	0.080000	0.000000
CR11	1950s	0.110000	0.140000	0.230000	0.150000	0.280000	0.080000	0.000000
CR02	1960s	0.000000	0.010000	0.040000	0.160000	0.360000	0.090000	0.340000
CR05	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR03	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR04	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR06	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR07	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR08	1960s	0.010000	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000
CR09	1960s	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000	0.000000
CR10	1960s	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000	0.000000
CR11	1960s	0.040000	0.160000	0.360000	0.090000	0.260000	0.080000	0.000000
CR02	1970s	0.000000	0.010000	0.070000	0.120000	0.220000	0.190000	0.390000
CR05	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR03	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR04	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR06	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR07	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR08	1970s	0.010000	0.070000	0.120000	0.220000	0.190000	0.310000	0.080000
CR09	1970s	0.080000	0.120000	0.220000	0.190000	0.310000	0.080000	0.000000
CR10	1970s	0.080000	0.120000	0.220000	0.190000	0.310000	0.080000	0.000000
CR11	1970s	0.080000	0.120000	0.220000	0.190000	0.310000	0.080000	0.000000
CR02	1980s	0.000000	0.000000	0.010000	0.080000	0.270000	0.400000	0.230000
CR05	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR03	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR04	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR06	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR07	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR08	1980s	0.000000	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000
CR09	1980s	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000	0.000000
CR10	1980s	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000	0.000000
CR11	1980s	0.010000	0.080000	0.270000	0.400000	0.220000	0.020000	0.000000
CR02	1990s	0.000000	0.000000	0.000000	0.010000	0.200000	0.260000	0.540000
CR05	1990s	0.000000	0.000000	0.000000	0.000000	0.530000	0.440000	0.030000
CR03	1990s	0.000000	0.000000	0.000000	0.020000	0.570000	0.390000	0.030000
CR04	1990s	0.000000	0.000000	0.000000	0.020000	0.480000	0.330000	0.170000
CR06	1990s	0.000000	0.010000	0.000000	0.160000	0.140000	0.580000	0.120000
CR07	1990s	0.000000	0.000000	0.000000	0.120000	0.600000	0.220000	0.050000
CR08	1990s	0.000000	0.000000	0.000000	0.090000	0.660000	0.180000	0.060000
CR09	1990s	0.000000	0.000000	0.000000	0.270000	0.640000	0.080000	0.010000
CR10	1990s	0.000000	0.000000	0.000000	0.180000	0.540000	0.280000	0.000000
CR11	1990s	0.000000	0.000000	0.000000	0.170000	0.710000	0.120000	0.010000
CR02	2000s	0.000000	0.000000	0.000000	0.010000	0.210000	0.250000	0.530000
CR05	2000s	0.000000	0.000000	0.000000	0.060000	0.210000	0.500000	0.240000
CR03	2000s	0.000000	0.000000	0.000000	0.050000	0.540000	0.320000	0.100000
