Dependency=Location	Dependency=Geometry Building Type	Option=East	Option=West	Option=Northeast	Option=Southwest	Option=North	Option=South	Option=Northwest	Option=Southeast
AL_Birmingham.Muni.AP.722280	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AL_Huntsville.Intl.AP-Jones.Field.723230	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AL_Mobile-Rgnl.AP.722230	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AL_Montgomery-Dannelly.Field.722260	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AR_Fort.Smith.Rgnl.AP.723440	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AR_Little.Rock-Adams.Field.723403	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AZ_Flagstaff-Pulliam.AP.723755	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AZ_Prescott-Love.Field.723723	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
AZ_Tucson.Intl.AP.722740	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_Arcata.AP.725945	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_Bakersfield-Meadows.Field.723840	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_Barstow.Daggett.AP.723815	Mobile Home	0.251677853	0.251677853	0.040268457	0.040268457	0.16442953	0.16442953	0.043624161	0.043624161
CA_Fresno.Air.Terminal.723890	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_Long.Beach-Daugherty.Field.722970	Mobile Home	0.174253165	0.174253165	0.073797469	0.073797469	0.184101266	0.184101266	0.067848102	0.067848102
CA_Los.Angeles.Intl.AP.722950	Mobile Home	0.14380531	0.14380531	0.0935614	0.0935614	0.166085556	0.166085556	0.096547735	0.096547735
CA_Sacramento.Exec.AP.724830	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_San.Diego-Lindbergh.Field.722900	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CA_San.Francisco.Intl.AP.724940	Mobile Home	0.212881426	0.212881426	0.025001707	0.025001707	0.241245136	0.241245136	0.020871732	0.020871732
CA_Santa.Maria.Public.AP.723940	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Alamosa.Muni.AP.724620	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Colorado.Springs-Peterson.Field.724660	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Eagle.County.Rgnl.AP.724675	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Grand.Junction-Walker.Field.724760	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CO_Pueblo.Mem.AP.724640	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
CT_Bridgeport-Sikorsky.Mem.AP.725040	Mobile Home	0.146606575	0.146606575	0.10630965	0.10630965	0.154825027	0.154825027	0.092258749	0.092258749
CT_Hartford-Bradley.Intl.AP.725080	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
DE_Wilmington-New.Castle.County.AP.724089	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
FL_Daytona.Beach.Intl.AP.722056	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
FL_Jacksonville.Intl.AP.722060	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
FL_Key.West.Intl.AP.722010	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
FL_Miami.Intl.AP.722020	Mobile Home	0.207332029	0.207332029	0.036630946	0.036630946	0.218238094	0.218238094	0.037798932	0.037798932
FL_Orlando.Intl.AP.722050	Mobile Home	0.224207198	0.224207198	0.031916044	0.031916044	0.210787422	0.210787422	0.033089338	0.033089338
FL_Tallahassee.Rgnl.AP.722140	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
FL_West.Palm.Beach.Intl.AP.722030	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
GA_Athens-Ben.Epps.AP.723110	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Mobile Home	0.108108108	0.108108108	0.097972973	0.097972973	0.189189189	0.189189189	0.10472973	0.10472973
GA_Augusta-Bush-Field.722180	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
GA_Columbus.Metro.AP.722255	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
GA_Macon-Middle.Georgia.Rgnl.AP.722170	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
GA_Savannah.Intl.AP.722070	Mobile Home	0.165905771	0.165905771	0.072205356	0.072205356	0.184839658	0.184839658	0.077049216	0.077049216
