Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=Half Wall R-5	Option=Half Wall R-10	Option=Wall R-5	Option=Wall R-10	Option=Wall R-13	Option=Wall R-15
CR02	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	<1940	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1940s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1950s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Mobile Home	Crawl	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
