Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=0-499	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	Option=500-749	Option=750-999	sample_count	sample_weight
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	1940-59s	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	1960-79s	0.000000	0.372598	0.127402	0.121584	0.000000	0.000000	0.000000	0.254804	0.123611	8.000000	7900.903809
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	1980-99s	0.000000	0.433150	0.241581	0.080556	0.083026	0.000000	0.000000	0.039617	0.122069	25.000000	24247.597656
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	2000-09s	0.062862	0.417145	0.159817	0.080569	0.092398	0.000000	0.000000	0.161138	0.026070	13.000000	12121.802734
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	2010s	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	2278.586182
CBSA Atlanta-Sandy Springs-Roswell, GA	Mobile Home	<1940	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	1940-59s	0.103768	0.297490	0.147984	0.000000	0.000000	0.000000	0.000000	0.149914	0.300845	7.000000	6897.821289
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	1960-79s	0.071127	0.293715	0.109690	0.000000	0.000000	0.000000	0.000000	0.156228	0.369240	14.000000	13241.958984
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	1980-99s	0.045044	0.342402	0.000000	0.000000	0.000000	0.000000	0.000000	0.113291	0.499263	22.000000	22661.541016
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	2000-09s	0.000000	0.621183	0.142476	0.000000	0.000000	0.000000	0.000000	0.000000	0.236341	8.000000	8747.460938
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1522.588501
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 2 - 4 Units	<1940	0.261746	0.244482	0.000000	0.000000	0.000000	0.244482	0.000000	0.249289	0.000000	4.000000	4229.658691
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	1940-59s	0.000000	0.257065	0.000000	0.000000	0.000000	0.000000	0.000000	0.168019	0.574916	12.000000	11276.088867
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	1960-79s	0.048512	0.330787	0.041401	0.021609	0.017544	0.000000	0.000000	0.157279	0.382867	53.000000	51233.613281
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	1980-99s	0.026835	0.337406	0.034383	0.009241	0.000000	0.000000	0.009793	0.139624	0.442717	125.000000	123475.117188
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	2000-09s	0.049951	0.420975	0.031756	0.000000	0.000000	0.009927	0.000000	0.171584	0.315808	100.000000	105573.968750
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	2010s	0.085999	0.290429	0.041359	0.000000	0.000000	0.000000	0.000000	0.120171	0.462042	23.000000	23842.558594
CBSA Atlanta-Sandy Springs-Roswell, GA	Multi-Family with 5+ Units	<1940	0.000000	0.000000	0.000000	0.213586	0.000000	0.000000	0.000000	0.000000	0.786414	6.000000	5552.347168
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	1940-59s	0.000000	0.532467	0.000000	0.239561	0.000000	0.000000	0.000000	0.227973	0.000000	4.000000	4325.580078
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	1960-79s	0.051657	0.407716	0.151186	0.000000	0.000000	0.000000	0.000000	0.110056	0.279385	18.000000	19089.488281
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	1980-99s	0.023541	0.417274	0.191388	0.113097	0.000000	0.000000	0.029884	0.085260	0.139556	37.000000	38182.039062
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	2000-09s	0.022479	0.241266	0.223981	0.234721	0.068547	0.023607	0.081073	0.026210	0.078115	43.000000	44664.433594
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	2010s	0.060261	0.479418	0.183902	0.056703	0.145866	0.073850	0.000000	0.000000	0.000000	15.000000	17390.964844
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Attached	<1940	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	1940-59s	0.012336	0.304529	0.274475	0.077514	0.062789	0.066905	0.037976	0.025880	0.137596	80.000000	82389.500000
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	1960-79s	0.000000	0.277872	0.282089	0.157243	0.071733	0.135399	0.030199	0.005089	0.040376	230.000000	237064.062500
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	1980-99s	0.000000	0.159900	0.227280	0.194337	0.152654	0.160426	0.098734	0.001772	0.004896	509.000000	529093.937500
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	2000-09s	0.000000	0.103329	0.178267	0.168081	0.170711	0.254547	0.124024	0.000000	0.001041	320.000000	335855.656250
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	2010s	0.012862	0.033832	0.057281	0.140401	0.184076	0.304253	0.267295	0.000000	0.000000	68.000000	79020.867188
CBSA Atlanta-Sandy Springs-Roswell, GA	Single-Family Detached	<1940	0.027310	0.226160	0.330376	0.172830	0.062836	0.081362	0.089719	0.000000	0.009407	36.000000	36764.113281
CBSA Boston-Cambridge-Newton, MA-NH	Mobile Home	1940-59s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	812.776550
