Dependency=HVAC Cooling Efficiency	Dependency=HVAC System Is Scaled	Option=None	Option=40% Oversized	sampling_probability
AC, SEER 8	Yes	1	0	0
AC, SEER 10	Yes	1	0	0
AC, SEER 13	Yes	1	0	0
AC, SEER 15	Yes	1	0	0
Non-Ducted Heat Pump	Yes	1	0	0
Ducted Heat Pump	Yes	1	0	0
None	Yes	1	0	0
Room AC, EER 8.5	Yes	1	0	0
Room AC, EER 9.8	Yes	1	0	0
Room AC, EER 10.7	Yes	1	0	0
Room AC, EER 12.0	Yes	1	0	0
Shared Cooling	Yes	1	0	0
AC, SEER 8	No	1	0	0.0089608
AC, SEER 10	No	1	0	0.0600435
AC, SEER 13	No	1	0	0.289944
AC, SEER 15	No	1	0	0.133693
Non-Ducted Heat Pump	No	1	0	0.00974392
Ducted Heat Pump	No	1	0	0.153778
None	No	1	0	0.105404
Room AC, EER 8.5	No	1	0	0.00426809
Room AC, EER 9.8	No	1	0	0.0257334
Room AC, EER 10.7	No	1	0	0.0962424
Room AC, EER 12.0	No	1	0	0.0738147
Shared Cooling	No	1	0	0.0383741
# Created by: manually created
# Description: The cooling airflow and capacity scaling factor applied to the auto-sizing methodology (not used in project_national).
# Source: Engineering Judgment
# Assumption: HVAC sizing follows ACCA Manual J and Manual S. There is no additional oversizing or undersizing the airflow and capacity of the HVAC system.
