Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Wood Frame	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	8+	AK	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	1940-59	0.0392857	0.00535714	0.00714286	0.948214	0	1	1	560	560
Mobile Home	8+	AK	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	1960-79	0	0.0714286	0.142857	0.785714	0	14	14	14	14
Mobile Home	8+	AK	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	1980-99	0.000875103	0.0214886	0.0046186	0.973018	0	9	9	20569	20569
Mobile Home	8+	AK	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	2000-09	0.00166334	0.0184631	0.00382568	0.976048	0	4	4	6012	6012
Mobile Home	8+	AK	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	2010s	0.00265252	0.0570292	0.00795756	0.932361	0	0	0	754	754
Mobile Home	8+	AK	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AK	<1940	0.00589971	0.00344149	0.0211406	0.969518	0	0	0	2034	2034
Multi-Family with 2 - 4 Units	8+	AK	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	1940-59	0.0613363	0.00766703	0.000730194	0.930267	0	0	0	8217	8217
Multi-Family with 2 - 4 Units	8+	AK	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	1960-79	0.0659256	0.05711	0.0541715	0.822793	0	1	1	15654	15654
Multi-Family with 2 - 4 Units	8+	AK	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	1980-99	0.0460668	0.00425569	0.0399684	0.909709	0	2	2	22793	22793
Multi-Family with 2 - 4 Units	8+	AK	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	2000-09	0.00603516	0.0254526	0.00236158	0.966151	0	0	0	3811	3811
Multi-Family with 2 - 4 Units	8+	AK	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	2010s	0.01417	0.00607287	0	0.979757	0	0	0	494	494
Multi-Family with 2 - 4 Units	8+	AK	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AK	<1940	0.00855026	0.00503646	0.0119762	0.974437	0	0	0	34151	34151
Multi-Family with 5+ Units	8+	AK	1940-59	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	AK	1940-59	0.0770794	0.0539149	0.0123273	0.856678	0	0	0	7382	7382
Multi-Family with 5+ Units	8+	AK	1960-79	0	0	1	0	0	0	0	350	350
Multi-Family with 5+ Units	<8	AK	1960-79	0.0808569	0.0919828	0.00472686	0.822433	0	0	0	75949	75949
Multi-Family with 5+ Units	8+	AK	1980-99	0	0	1	0	0	0	0	588	588
Multi-Family with 5+ Units	<8	AK	1980-99	0.0178007	0.0460058	0.01049	0.925703	0	4	4	105052	105052
Multi-Family with 5+ Units	8+	AK	2000-09	0	0	1	0	0	0	0	25	25
Multi-Family with 5+ Units	<8	AK	2000-09	0.0291339	0.0817088	0.0773794	0.811778	0	0	0	41807	41807
Multi-Family with 5+ Units	8+	AK	2010s	0	0	1	0	0	0	0	69	69
Multi-Family with 5+ Units	<8	AK	2010s	0.00434283	0.0114957	0.0371695	0.946992	0	0	0	7829	7829
Multi-Family with 5+ Units	8+	AK	<1940	0	0	1	0	0	0	0	56	56
Multi-Family with 5+ Units	<8	AK	<1940	0.165468	0.0342802	0.0121659	0.788086	0	0	0	16686	16686
Single-Family Attached	8+	AK	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	1940-59	0.0482182	0.00375469	0.000263487	0.947764	0	3	3	15181	15181
Single-Family Attached	8+	AK	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	1960-79	0.0168471	0.000586327	0.000195442	0.982371	0	6	6	25583	25583
Single-Family Attached	8+	AK	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	1980-99	0.0113636	0.000317125	0.000845666	0.987474	0	4	4	18920	18920
Single-Family Attached	8+	AK	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	2000-09	0.0127184	0.000279525	0.000139762	0.986862	0	0	0	7155	7155
Single-Family Attached	8+	AK	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	2010s	0.00488827	0.00418994	0.00139665	0.989525	0	1	1	1432	1432
Single-Family Attached	8+	AK	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AK	<1940	0.011088	0.000630001	0.000630001	0.987652	0	0	0	15873	15873
