Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Ambient	Option=Heated Basement	Option=Slab	Option=Unheated Basement	Option=Unvented Crawlspace	Option=Vented Crawlspace	source_count	source_weight
1A	Mobile Home	1940-59	1	0	0	0	0	0	3	5221.35
1A	Mobile Home	1960-79	1	0	0	0	0	0	39	46340.6
1A	Mobile Home	1980-99	1	0	0	0	0	0	64	86551.2
1A	Mobile Home	2000-09	1	0	0	0	0	0	23	14194.6
1A	Mobile Home	2010s	1	0	0	0	0	0	23	14194.6
1A	Mobile Home	<1940	1	0	0	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	41853
1A	Multi-Family with 2 - 4 Units	1960-79	0	0	0.890208	0	0	0.109792	334	73419.3
1A	Multi-Family with 2 - 4 Units	1980-99	0	0	0.912848	0	0.0178263	0.0693256	409	92399.8
1A	Multi-Family with 2 - 4 Units	2000-09	0	0	0.925051	0.00562133	0	0.0693276	261	29337.4
1A	Multi-Family with 2 - 4 Units	2010s	0	0	0.925051	0.00562133	0.0231089	0.0462187	261	29337.4
1A	Multi-Family with 2 - 4 Units	<1940	0	0	0.24674	0.0322893	0	0.72097	47	11902
1A	Multi-Family with 5+ Units	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	41853
1A	Multi-Family with 5+ Units	1960-79	0	0	0.890208	0	0	0.109792	334	73419.3
1A	Multi-Family with 5+ Units	1980-99	0	0	0.912848	0	0.0165285	0.0706234	409	92399.8
1A	Multi-Family with 5+ Units	2000-09	0	0	0.925051	0.00562133	0.00295037	0.0663772	261	29337.4
1A	Multi-Family with 5+ Units	2010s	0	0	0.925051	0.00562133	0.00288848	0.0664391	261	29337.4
1A	Multi-Family with 5+ Units	<1940	0	0	0.24674	0.0322893	0	0.72097	47	11902
1A	Single-Family Attached	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	41853
1A	Single-Family Attached	1960-79	0	0	0.890208	0	0	0.109792	334	73419.3
1A	Single-Family Attached	1980-99	0	0	0.912848	0	0.0197662	0.0673857	409	92399.8
1A	Single-Family Attached	2000-09	0	0	0.925051	0.00562133	0	0.0693276	261	29337.4
1A	Single-Family Attached	2010s	0	0	0.925051	0.00562133	0	0.0693276	261	29337.4
1A	Single-Family Attached	<1940	0	0	0.24674	0.0322893	0	0.72097	47	11902
1A	Single-Family Detached	1940-59	0.220989	0	0.458912	0.00215261	0	0.317946	175	41853
1A	Single-Family Detached	1960-79	0.105623	0	0.796181	0	0	0.0981958	334	73419.3
1A	Single-Family Detached	1980-99	0.106559	0	0.815576	0	0.0112411	0.066624	409	92399.8
1A	Single-Family Detached	2000-09	0.0635874	0	0.866229	0.00526389	0.00168597	0.0632333	261	29337.4
1A	Single-Family Detached	2010s	0.0635874	0	0.866229	0.00526389	0.00721303	0.0577062	261	29337.4
1A	Single-Family Detached	<1940	0.145855	0	0.210752	0.0275797	0	0.615813	47	11902
2A	Mobile Home	1940-59	1	0	0	0	0	0	3	42245.5
2A	Mobile Home	1960-79	1	0	0	0	0	0	39	374938
2A	Mobile Home	1980-99	1	0	0	0	0	0	64	700278
2A	Mobile Home	2000-09	1	0	0	0	0	0	23	114847
2A	Mobile Home	2010s	1	0	0	0	0	0	23	114847
2A	Mobile Home	<1940	1	0	0	0	0	0	0	0
2A	Multi-Family with 2 - 4 Units	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	338629
2A	Multi-Family with 2 - 4 Units	1960-79	0	0	0.890208	0	0	0.109792	334	594029
2A	Multi-Family with 2 - 4 Units	1980-99	0	0	0.912848	0	0.0171934	0.0699585	409	747599
2A	Multi-Family with 2 - 4 Units	2000-09	0	0	0.925051	0.00562133	0.00344143	0.0658862	261	237366
2A	Multi-Family with 2 - 4 Units	2010s	0	0	0.925051	0.00562133	0.00198122	0.0673464	261	237366
2A	Multi-Family with 2 - 4 Units	<1940	0	0	0.24674	0.0322893	0	0.72097	47	96297.6
2A	Multi-Family with 5+ Units	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	338629
2A	Multi-Family with 5+ Units	1960-79	0	0	0.890208	0	0	0.109792	334	594029
2A	Multi-Family with 5+ Units	1980-99	0	0	0.912848	0	0.0152566	0.0718953	409	747599
2A	Multi-Family with 5+ Units	2000-09	0	0	0.925051	0.00562133	0.00276871	0.0665589	261	237366
2A	Multi-Family with 5+ Units	2010s	0	0	0.925051	0.00562133	0.00363007	0.0656975	261	237366
2A	Multi-Family with 5+ Units	<1940	0	0	0.24674	0.0322893	0	0.72097	47	96297.6
2A	Single-Family Attached	1940-59	0	0	0.589096	0.00276326	0	0.408141	175	338629
2A	Single-Family Attached	1960-79	0	0	0.890208	0	0	0.109792	334	594029
2A	Single-Family Attached	1980-99	0	0	0.912848	0	0.0178563	0.0692956	409	747599
2A	Single-Family Attached	2000-09	0	0	0.925051	0.00562133	0.00206306	0.0672645	261	237366
2A	Single-Family Attached	2010s	0	0	0.925051	0.00562133	0.00198122	0.0673464	261	237366
2A	Single-Family Attached	<1940	0	0	0.24674	0.0322893	0	0.72097	47	96297.6
2A	Single-Family Detached	1940-59	0.220989	0	0.458912	0.00215261	0	0.317946	175	338629
2A	Single-Family Detached	1960-79	0.105623	0	0.796181	0	0	0.0981958	334	594029
2A	Single-Family Detached	1980-99	0.106559	0	0.815576	0	0.0116271	0.066238	409	747599
2A	Single-Family Detached	2000-09	0.0635874	0	0.866229	0.00526389	0.00307547	0.0618438	261	237366
2A	Single-Family Detached	2010s	0.0635874	0	0.866229	0.00526389	0.0023328	0.0625864	261	237366
2A	Single-Family Detached	<1940	0.145855	0	0.210752	0.0275797	0	0.615813	47	96297.6
2B	Mobile Home	1940-59	1	0	0	0	0	0	0	0
2B	Mobile Home	1960-79	1	0	0	0	0	0	10	111087
2B	Mobile Home	1980-99	1	0	0	0	0	0	13	134373
2B	Mobile Home	2000-09	1	0	0	0	0	0	4	19434.5
2B	Mobile Home	2010s	1	0	0	0	0	0	4	19434.5
2B	Mobile Home	<1940	1	0	0	0	0	0	0	0
2B	Multi-Family with 2 - 4 Units	1940-59	0	0	0.941092	0	0	0.0589078	7	18314.3
2B	Multi-Family with 2 - 4 Units	1960-79	0	0	0.983564	0.00809526	0	0.00834057	33	86023.1
2B	Multi-Family with 2 - 4 Units	1980-99	0	0	0.93565	0.02284	0.00648603	0.0350241	62	166739
2B	Multi-Family with 2 - 4 Units	2000-09	0	0	0.963361	0	0	0.0366393	32	40389
2B	Multi-Family with 2 - 4 Units	2010s	0	0	0.963361	0	0	0.0366393	32	40389
2B	Multi-Family with 2 - 4 Units	<1940	0	0	0.823157	0	0	0.176843	3	6481.7
2B	Multi-Family with 5+ Units	1940-59	0	0	0.941092	0	0	0.0589078	7	18314.3
2B	Multi-Family with 5+ Units	1960-79	0	0	0.983564	0.00809526	0	0.00834057	33	86023.1
2B	Multi-Family with 5+ Units	1980-99	0	0	0.93565	0.02284	0.000659003	0.0408512	62	166739
2B	Multi-Family with 5+ Units	2000-09	0	0	0.963361	0	0.0125111	0.0241282	32	40389
2B	Multi-Family with 5+ Units	2010s	0	0	0.963361	0	0.00610605	0.0305332	32	40389
2B	Multi-Family with 5+ Units	<1940	0	0	0.823157	0	0	0.176843	3	6481.7
2B	Single-Family Attached	1940-59	0	0	0.941092	0	0	0.0589078	7	18314.3
2B	Single-Family Attached	1960-79	0	0	0.983564	0.00809526	0	0.00834057	33	86023.1
2B	Single-Family Attached	1980-99	0	0.00800534	0.92816	0.0226572	0.00142	0.0397579	62	166739
2B	Single-Family Attached	2000-09	0	0	0.963361	0	0.00732806	0.0293112	32	40389
2B	Single-Family Attached	2010s	0	0	0.963361	0	0	0.0366393	32	40389
2B	Single-Family Attached	<1940	0	0	0.823157	0	0	0.176843	3	6481.7
2B	Single-Family Detached	1940-59	0	0	0.941092	0	0	0.0589078	7	18314.3
2B	Single-Family Detached	1960-79	0	0	0.983564	0.00809526	0	0.00834057	33	86023.1
2B	Single-Family Detached	1980-99	0.0479199	0.00762173	0.883682	0.0215714	0.00217798	0.0370266	62	166739
2B	Single-Family Detached	2000-09	0	0	0.963361	0	0.00482404	0.0318152	32	40389
2B	Single-Family Detached	2010s	0	0	0.963361	0	0.00594105	0.0306982	32	40389
2B	Single-Family Detached	<1940	0	0	0.823157	0	0	0.176843	3	6481.7
3A	Mobile Home	1940-59	1	0	0	0	0	0	1	18408.6
3A	Mobile Home	1960-79	1	0	0	0	0	0	3	83586.4
3A	Mobile Home	1980-99	1	0	0	0	0	0	27	581339
3A	Mobile Home	2000-09	1	0	0	0	0	0	8	57571.9
3A	Mobile Home	2010s	1	0	0	0	0	0	8	57571.9
3A	Mobile Home	<1940	1	0	0	0	0	0	0	0
3A	Multi-Family with 2 - 4 Units	1940-59	0	0	0.361736	0.0497472	0	0.588517	116	311498
3A	Multi-Family with 2 - 4 Units	1960-79	0	0	0.481252	0.0365548	0	0.482194	225	661870
3A	Multi-Family with 2 - 4 Units	1980-99	0	0	0.631377	0.0286208	0.060472	0.27953	339	890540
3A	Multi-Family with 2 - 4 Units	2000-09	0	0	0.712396	0.0513094	0.01114	0.225154	221	281073
3A	Multi-Family with 2 - 4 Units	2010s	0	0	0.712396	0.0513094	0.00901902	0.227275	221	281073
3A	Multi-Family with 2 - 4 Units	<1940	0	0	0.243765	0.0260933	0	0.730141	42	134093
3A	Multi-Family with 5+ Units	1940-59	0	0	0.361736	0.0497472	0	0.588517	116	311498
3A	Multi-Family with 5+ Units	1960-79	0	0	0.481252	0.0365548	0	0.482194	225	661870
3A	Multi-Family with 5+ Units	1980-99	0	0	0.631377	0.0286208	0.05624	0.283762	339	890540
3A	Multi-Family with 5+ Units	2000-09	0	0	0.712396	0.0513094	0.012024	0.22427	221	281073
3A	Multi-Family with 5+ Units	2010s	0	0	0.712396	0.0513094	0.013127	0.223167	221	281073
3A	Multi-Family with 5+ Units	<1940	0	0	0.243765	0.0260933	0	0.730141	42	134093
3A	Single-Family Attached	1940-59	0	0.00959743	0.358264	0.0492698	0	0.582868	116	311498
3A	Single-Family Attached	1960-79	0	0.0225263	0.470411	0.0357314	0	0.471332	225	661870
